Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;
;250.20.401;Participação de acidentes de trabalho ou de doenças profissionais;"Comunicação para reconhecimento do direito à reparação dos danos emergentes resultantes dos riscos profissionais, associados à caracterização de acidente de trabalho ou de doença profissional.
Inicia com a participação e termina com a notificação das entidades competentes.
Inclui a qualificação como acidente de trabalho ou como doença profissional.";;Processamento da comunicação de doença ou morte por exposição a agentes biológicos#;"O processamento de indemnização por acidente de trabalho pago por apólice de seguro deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
O processamento de despesa com acidente de trabalho deve ser considerado em 350.10.503 – Liquidação de despesas decorrentes de acidentes e doenças de trabalho#
O processamento de despesa com indemnização decorrente de acidente de trabalho deve ser considerado em 350.10.508 – Processamento de indemnizações e injunções#
A certificação de doença profissional deve ser considerada em  450.30.500 – Certificação de doença, aptidão ou incapacidade#
O processamento da prestação social por doença deve ser considerado em 650.10.010 – Concessão de subsídios de doença#
O processamento da prestação social por invalidez considerar em 650.10.001 – Concessão de pensões de invalidez#
";"Lei 35/2014#
DL 503/99#
Lei 98/2009#";DL 84/97#;PC;N;AP#;ACT#;Comunicar#;"250.20.001#
250.20.400#
350.10.503#
350.10.508#
350.10.509#
400.10.033#
450.30.500#";"Registo biográfico de trabalhadores#
Controlo de assiduidade e pontualidade#
Liquidação de despesas decorrentes de acidentes e doenças de trabalho#
Processamento de indemnizações e injunções#
Processamento de remunerações#
Recenseamento nacional dos bombeiros portugueses#
Certificação de doença, aptidão ou incapacidade#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Sucessão (antecessor)#";Reduzida;S;10;;"Critério legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";Pode haver lugar a indemnização decorrente de ações de execução  das sentenças e acordãos dos tribunais;;;;;
;250.20.402;Processamento de férias;"Marcação do número de dias de férias a que o trabalhador tem direito no ano civil a que respeita.
Inicia com a marcação dos períodos de férias a que tem direito e termina com a divulgação do mapa de férias aprovado superiormente ou comunicação da decisão ao trabalhador.
Inclui a verificação de inexistência de prejuízo para o serviço e autorização.";"Pedidos de alteração ao mapa de férias#
Pedido de acumulação de férias#";;;"Lei 7/2009#
Lei 35/2014#";;PC;N;AP#;;;"250.20.400#
250.20.605#
350.10.509#
500.10.001#";"Controlo de assiduidade e pontualidade#
Acompanhamento dos trabalhadores em situação de requalificação#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Suplementar#";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 350.10.509 - Processamento de remunerações";;;;;;
;250.20.403;Processamento de licenças de ausência ao serviço;"Autorização de ausência do serviço por tempo determinado, com ou sem retribuição.
Inicia com o pedido de licença e termina com a comunicação da decisão ao trabalhador.
Inclui análise fundamentada do pedido, recolha de eventuais pareceres e decisão.";"Licenças sem vencimento#
Renovação da licença#";;A licença extraordinária (mobilidade especial) deve ser considerada em 250.20.603 – Colocação de trabalhadores em situação de requalificação#;"Lei 35/2014#
Lei 7/2009#";Lei 120/2015#;PC;N;AP#;;;"250.20.001#
250.20.400#
350.10.509#
500.10.001#";"Registo biográfico de trabalhadores#
Controlo de assiduidade e pontualidade#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
PN 350.10.509 - Processamento de remunerações
";;;;;;
;250.20.404;Processamento de pedidos de estatuto de bolseiro;"Autorização para dispensa total ou parcial do exercício de funções para realizar programas de trabalho e estudo.
Inicia com o pedido fundamentado do estatuto de bolseiro ou de equiparação a bolseiro e termina com comunicação da decisão ao trabalhador.
Inclui recolha de pareceres intermédios, análise fundamentada do pedido e decisão.";"Bolseiro de investigação#
Equiparação a bolseiro, em Portugal e no estrangeiro#
Frequência de estágio em Portugal e no estrangeiro#
Renovação de estatuto de bolseiro#
Revogação de estatuto de bolseiro#
Situação de equiparação a bolseiro";;A atribuição de bolsa de ação social escolar deve ser considerada em 650.10.100 – Concessão de auxílios económicos a estudante e formando#;"DL 448/79#
DL 185/81#
DL 272/88#
DL 282/89#
Lei 40/2004#
DL 202/2012#
DL 89/2013#
DL 233/2012#
Lei 12/2013#
";"DL 448/79 - ECDU - Estatuto da Carreira Docente Universitária#
DL 185/81 - ECPDESP - Estatuto da Carreira do Pessoal Docente do Ensino Superior Politécnico#";PC;N;AP#;;;"250.20.001#
250.20.400#
350.10.509#
500.10.001#";"Registo biográfico de trabalhadores#
Controlo de assiduidade e pontualidade#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)."; Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.20.600;Afetação transitória a postos de trabalho ;"Ocupação transitória de posto de trabalho na mesma situação funcional em diferente órgão ou serviço ou em diferente situação funcional no mesmo ou em diferente órgão ou serviço.
Inicia com o pedido do trabalhador ou por iniciativa da administração e termina com a comunicação da decisão ao trabalhador.
Inclui negociação de um acordo tripartido entre o trabalhador e os órgãos ou serviços de origem e destino.";"Trabalhadores com relação jurídica de emprego público, quando a mobilidade seja de entidade pública para entidade privada ou entidade pública não abrangida pela Lei sobre regimes de vinculação carreiras e remunerações#
Trabalhadores sem relação jurídica de emprego público de entidade privada para entidade pública#
Trabalhadores em mobilidade voluntária por extinção de orgão ou serviço#
Reafetação funcional de trabalhador#
Reafetação de trabalhadores vítima de acidente de trabalho ou doença profissional, em que o grau de incapacidade e de desvalorização implicam reajustamento ou alteração das funções do trabalhador#
Graduação de militar em posto superior#";;;Lei 35/2014#;;PC;S;AP#;AP#;Apreciar#;"250.10.401#
250.20.001#
250.20.603#
250.20.605#
250.30.001#
350.10.509#
500.10.001#";"Nomeação para postos de trabalho#
Registo biográfico de trabalhadores#
Colocação de trabalhadores em situação de requalificação#
Acompanhamento dos trabalhadores em situação de requalificação#
Negociação de convenções coletivas de trabalho#
Processamento de remunerações#
Realização de auditorias#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.20.601;Alteração de posicionamento remuneratório;"Mudança para posição remuneratória superior dentro da mesma carreira ou posto.
Inicia com a proposta de atribuição de promoção ou progressão e termina com a formalização da aceitação.
Inclui proposta de atribuição e respetiva fundamentação, recolha de eventuais pareceres intermédios.";"Alteração do posicionamento remuneratório resultante de regime de exceção#
Alteração do posicionamento remuneratório resultante de opção gestionária#
Alteração do posicionamento remuneratório resultante do regime regra#
Promoção por antiguidade#
Promoção por distinção a título excecional#
Promoção por diuturnidade#
Promoção por escolha#
Promoção por habilitação com curso específico (militar)#";;O processamento de remuneração deve ser considerado em 350.10.509 – Processamento de remunerações#;Lei 35/2014#;;PC;N;AP#;;;"150.20.202#
250.20.001#
250.20.800#
350.10.509#
400.10.033#
500.10.001#";"Preparação do orçamento#
Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Processamento de remunerações#
Recenseamento nacional dos bombeiros portugueses#
Realização de auditorias#";"Cruzada#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Cruzada#
Suplementar#";Reduzida;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.20.602;Autorização para o exercício de funções públicas em acumulação;"Permissão para acumulação de funções públicas ou privadas.
Inicia com o requerimento do trabalhador e termina com a comunicação da decisão ao interessado.
Inclui análise fundamentada do pedido, recolha de eventuais pareceres intermédios e decisão.";"Exercício de funções públicas em acumulação com o de outras funções públicas#
Exercício de funções públicas em acumulação com o de outras funções privadas#";;;Lei 35/2014#;;PC;N;AP#;;;"250.20.001#
500.10.001#";"Registo biográfico de trabalhadores#
Realização de auditorias#";"Síntese (sintetizado)#
Suplementar#";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.20.603;"Colocação de trabalhadores em situação de requalificação

Proposta do MTSSS:
Colocação de trabalhadores em situação profissional especial
Fundamentação: Criar um titulo imune às alterações legislativas 
";"Integração em mapa de pessoal próprio de trabalhador não necessário ao desenvolvimento das atividades do órgão ou serviço, em resultado de processos de reorganização de serviços ou de racionalização de efetivos e, no caso de militares, por falta de vacatura no seu posto.
Inicia com a seleção do trabalhador e termina com a publicitação de lista nominativa de colocação em situação de requalificação.
Inclui as fases de transição, requalificação e compensação e registo da Bolsa de Emprego Público. ";"Extinção ou fusão de serviços#
Racionalização de efetivos#
Reestruturação de órgãos e serviços# 
Registo na Bolsa de Emprego Público#";;A cessação do vínculo de trabalho deve ser considerada em 250.10.800 – Cessação da relação jurídica de emprego público#;"Lei 35/2014#
Lei 80/2013#
Lei 64-B/2011#
Portaria 182/2011#
Despacho 6303-B/2009#
DL 209/2009#
Lei 64-A/2008#
Lei 11/2008#
DL 200/2006#
Lei 23/2004#
Lei 25/2017#";;PC;N;AP#;;;"150.20.200#
250.10.800#
250.20.001#
250.20.600#
250.20.605#
500.10.001#";"Planeamento de necessidades de recursos humanos#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Afetação transitória a postos de trabalho#
Acompanhamento dos trabalhadores em situação de requalificação#
Realização de auditorias#";"Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#";Reduzida;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data em que o trabalhador deixa a situação de requalificação;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.20.604;Processamento de pedidos de reclassificação profissional;"Atribuição de diferente classe ou especialidade, mediante a obtenção de formação adequada.
Inicia com o pedido de autorização e termina com a comunicação da decisão ao interessado.
Inclui apresentação de prova de habilitação para o exercício de novas funções, recolha de eventuais pareceres intermédios.";"Carreira militar, aos polícias e aos bombeiros#
";;;;Regimes especiais;PC;N;AP#;;;"250.20.001#
250.10.401#
350.10.509#
500.10.001#";"Registo biográfico de trabalhadores#
Nomeação para postos de trabalho#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias(no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.20.605;Acompanhamento dos trabalhadores em situação de requalificação;Promoção da reintegração do trabalhador colocado em situação de inatividade.                                                              Inicia com a informação da colocação do trabalhador em situação de requalificação e termina com o reinício de funções ou com a cessação das mesmas a título transitório. Inclui  o processamento das solicitações dos organismos para preenchimento de posto de trabalho, informação aos trabalhadores dos procedimentos de seleção abertos, promoção e encaminhamento para a requalificação por via da formação profissional, atualização dos dados relativos aos trabalhadores.;"Requalificação de trabalhadores da Administração direta e indireta do Estado#
Requalificação de trabalhadores das instituições de ensino superior públicas#
Requalificação de trabalhadores da Administração regional mediante adaptação por diploma próprio#";;"O processamento de remunerações deve ser considerado em 350.10.509 – Processamento de remunerações#
Os estudos de avaliação das necessidades de recursos humanos da Administração Pública devem ser considerados em 150.20 – Planeamento, avaliação e melhoria de serviços#
A formação profissional deve ser considerada em 750.20.600 – Realização de atividades de ensino ou formação#
A cessação do vínculo de trabalho deve ser considerada em 250.10.800 – Cessação da relação jurídica de emprego público#";"Lei 35/2014#
Portaria 48/2014#
Despacho SEAP/SEAO 2013#
Lei 80/2013#
Despacho 16107/2012#";;PC;S;INA#;AP#;"Assessorar#

";"150.20.200#
250.10.101#
250.10.800#
250.20.001#
250.20.402#
250.20.600#
250.20.603#
350.10.509#
500.10.001#
750.20.600#";"Planeamento de necessidades de recursos humanos#
Procedimento concursal para preenchimento de postos de trabalho#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Processamento de férias#
Afetação transitória a postos de trabalho (mobilidade geral)#
Colocação de trabalhadores em situação de requalificação#
Processamento de remunerações#
Realização de auditorias#
Realização de atividades de ensino ou formação#";"Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzamento#
Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Suplementar#
Sucessão (sucessor)#";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";"Se trabalhador reinicia as funções vai para afetação transitória a posto de trabalho; se cessa as funções vai para Cessação de relação jurídica de emprego público; todos os trabalhadores que passam pela requalificação são registados na Bolsa de Emprego Público e o estado é atualizado.";;;;;
;250.20.800;Avaliação individual do desempenho;"Definição de competências ou objetivos para trabalhadores, dirigentes superiores e intermédios ou equiparados, de acordo com o ciclo de gestão.
Inicia com o acordo relativo aos objetivos, indicadores de medida, valores e respetiva ponderação e termina com a tomada de conhecimento da homologação da avaliação efetuada pela entidade competente.
Inclui contratualização das competências e objetivos, compromisso de gestão em Carta de Missão, quando devido, assinatura de contrato por parte do avaliador e do avaliado, eventual revisão dos objetivos, preenchimento da ficha de Autoavaliação ou de Relatório, no caso da avaliação de dirigentes superiores, monitorização intercalar do desempenho pela verificação das respetivas evidências e avaliação prévia do trabalhador ou dirigente pelo superior hierárquico, resposta da Comissão Paritária a eventual pedido de apreciação da avaliação do desempenho do trabalhador e resultado da harmonização em Conselho Coordenador da Avaliação.";"Carreiras Gerais e especiais da AP#
Carreira diplomática#
Carreira docente#
Carreiras das forças armadas ou militarizadas#
Desempenho dos Dirigentes da Administração Pública (SIADAP 2)#
Desempenho dos Trabalhadores da Administração Pública (SIADAP 3)#";;"A reclamação da avaliação de desempenho (pós homologação) deve ser considerada em 500.40.001 – Processamento de reclamações em atos administrativos#
A impugnação administrativa, por recurso hierárquico deve ser considerada em 500.40.500 – Processamento de recursos hierárquicos#
A impugnação administrativa, por recurso tutelar deve ser considerada em 500.40.501 – Processamento de recursos tutelares#
A impugnação judicial deve ser considerada em 600.30.001 – Comum com intervenção de tribunal coletivo ou de júri#";"Lei 66-B/2007#
Lei 55-A/2010#
Lei 66-B/2012#
Lei 35/2014#";"Lei 66-B/2007 alterada pela Lei 55-A/2010 e pela Lei 66-B/2012#
Lei 35/2014#";PC;N;AP#;;;"150.20.100#
250.20.001#
250.10.501#
250.10.401#
250.10.500#
250.10.600#
250.20.601#
250.20.801#
250.20.802#
250.20.803#
350.10.509#
500.10.001#
500.20.001#
950.20.300#
950.30.001#";"Definição de metas e objetivos organizacionais#
Registo biográfico de trabalhadores#
Designação para cargos de direção, coordenação e controlo#
Nomeação para postos de trabalho#
Designação para cargos ou funções de confiança ou de interesse público#
Contratação de trabalhadores#
Alteração de posicionamento remuneratório#
Harmonização e validação de avaliações de desempenho#
Apreciação das propostas de avaliação de desempenho#
Atribuição de prémios de desempenho, louvores ou medalhas#
Processamento de remunerações#
Realização de auditorias#
Realização de averiguações#
Processamento de elogios e agradecimentos#
Reconhecimento por mérito e serviços prestados#
";"Cruzada#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#
Sucessão (sucessor)#
Sintetiza#
Cruzada#";Elevada;S;20;;" Conjugação dos critérios:
- Legal
[Lei 66-B/2007], art. 52, n.º 1 ""e) Alteração de posicionamento remuneratório na carreira do trabalhador e atribuição de prémios de desempenho,"" conjugado com a LTFP, [Lei 35/2014], art. 156 ""7 - Há lugar a alteração obrigatória para a posição remuneratória imediatamente seguinte àquela em que o trabalhador se encontra, quando a haja, independentemente dos universos definidos nos termos do artigo 158.º, quando aquele, na falta de lei especial em contrário, tenha acumulado 10 pontos"" .
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para efeitos do PN 250.20.601 - Alteração de posicionamento remuneratório";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.20.801;Harmonização e validação de avaliações de desempenho;"Estabelecimento de diretrizes para aplicação objetiva e harmónica do sistema de avaliação do desempenho.
Inicia com a aprovação das quotas de diferenciação e aprovação dos critérios de harmonização da avaliação de desempenho e termina com a validação das propostas finais de avaliação de desempenho Relevante e de desempenho Inadequado, bem como o reconhecimento de desempenho Excelente.
Inclui convocatórias das reuniões, elaboração de listas de presenças, análise e apreciação das propostas de avaliação de desempenho de mérito e excelência e elaboração de ata.";;;;"Lei 66-B/2007#
Lei 55-A/2010#
Lei 66-B/2012#
Lei 35/2014#";"Lei 66-B/2007 alterada pela Lei 55-A/2010 e pela Lei 66-B/2012#
Lei 35/2014#";PC;N;AP#;;;"150.10.702#
250.20.001#
250.20.800#
500.10.001#";"Reunião de órgãos e estruturas operacionais e de aconselhamento#
Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Realização de auditorias#";"Sintese (sintetizado)#
Sintese (sintetizado)#
Sucessão (sucessor)#
Suplementar#";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
informação recuperável em
PN 250.20.001 - Registo Biográfico de trabalhadores
PN 150.10.702 - Reunião de órgãos e estruturas operacionais e de aconselhamento";;;;;;
;250.20.802;Apreciação das propostas de avaliação de desempenho;"Análise dos processos de avaliação individual de desempenho solicitados à Comissão Paritária pelos avaliados, em fase anterior ao ato de homologação da avaliação.
Inicia com a receção pela Comissão Paritária do requerimento do avaliado e termina com a proposta de decisão sobre a avaliação de desempenho do interessado.
Inclui convocatórias das reuniões, elaboração de listas de presenças, audição de avaliador e avaliado ou, sendo o caso, ao conselho coordenador da avaliação e redação da ata.";;;As reuniões da Comissão Paritária deve ser considerada em 150.10.702 – Reunião de órgãos e estruturas operacionais e de aconselhamento#;"Lei 66-B/2007#
Lei 55-A/2010#
Lei 66-B/2012#";Lei 66-B/2007 alterada pela Lei 55-A/2010 e pela Lei 66-B/2012#;PC;N;AP#;;;"150.10.702#
250.20.800#
500.10.001#";"Reunião de órgãos e estruturas operacionais e de aconselhamento#
Avaliação individual do desempenho#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social -art. 27º
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
A informação síntese consta do
PN 150.10.702 - Reunião de órgãos e estruturas operacionais e de aconselhamento";;;;;;
;250.20.803;Atribuição de prémios de desempenho, louvores ou medalhas;"Reconhecimento de trabalhadores que se distinguiram por serviços relevantes ou atos notáveis de qualquer natureza.
Inicia com a proposta de atribuição da distinção e termina com a comunicação da decisão ao interessado ou publicitação da mesma.
Inclui análise da proposta e da respetiva fundamentação e recolha de eventuais pareceres intermédios.";"Atribuição de medalha e placa de mérito#
Atribuição de público louvor#
Atribuição de medalhas de assiduidade e comportamento exemplar#
Concessão de prémios de desempenho#";;"A cerimónia de entrega de prémios deve ser considerada em 900.10.500 – Organização e participação em homenagens e cerimónias comemorativas#
As insígnias honoríficas devem ser consideradas em 950.30.001 – Reconhecimento por mérito e serviços prestados#";"Lei 66-B/2007#
Lei 55-A/2010#
Lei 66-B/2012#
Lei 145/99#";"Lei 66-B/2007 alterada pela Lei 55-A/2010 e pela Lei 66-B/2012#
Lei 145/99#";PC;N;AP#;;;"250.20.001#
250.20.800#
350.10.509#
400.10.033#
500.10.001#";"Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Processamento de remunerações#
Recenseamento nacional dos bombeiros portugueses#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Suplementar#";Reduzida;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.30;Gestão e acompanhamento de relações coletivas de trabalho;"Compreende os processos de negociação e celebração de convenções coletivas de trabalho em organismos de setor público, bem como o eventual acompanhamento de idênticas convenções estabelecidos no setor privado.  
Inclui o depósito de convenções coletivas nos organismos competentes, bem como os avisos de cessação de vigência. Compreende, igualmente, a gestão das relações dos organismos públicos com comissões de trabalhadores, comissões paritárias ligadas à negociação coletiva, associações profissionais, sindicatos e outras entidades representativas dos trabalhadores, quando estabelecidas fora do quadro da concertação social. Inclui negociações no âmbito do despedimento coletivo.
";"Convenções coletivas de trabalho#
Resolução de conflitos de trabalho através da negociação direta entre as partes#
Comunicação de avisos de greve#";"Acordo Coletivo de Carreira#
Acordo Coletivo de Entidade Empregadora Pública#
Acordo Coletivo de Trabalho#
Acordo de Adesão#
Acordo de Empresa#
Contrato Coletivo de Trabalho#
";"Os processos de negociação no quadro da concertação social devem ser considerados em “Planeamento e gestão estratégica / Definição e avaliação de políticas” (150.10);
Quando a resolução de conflitos de trabalho envolva a intervenção de terceiros, pode assumir variações. Assim:
- pela via da mediação, conciliação ou arbitragem deve ser considerada em “Administração da justiça / Resolução alternativa de litígios” (600.20);
- pela via do recurso dos Tribunais, considerar em “Administração da justiça / Produção de prova e decisão judicial” (600.30).";;;;;;;;;;;;;;;;;;;;;;;;
