Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos Complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma contagem de prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;
"600.30.350
";Injunção;"Processo especial declarativo que tem por fim conferir força executiva a requerimento destinado a exigir o cumprimento das obrigações a que se refere o art. 1 do DL 269/98 ou das obrigações emergentes de transações comerciais abrangidas pelo DL 32/2003.
Este processo inicia-se com um requerimento, segundo um modelo aprovado, apresentado no Balcão Nacional de Injunções, seguido-se, se não for recusado, a notificação do requerido para pagar a quantia ou deduzir oposição. Se não for deduzida oposição, o secretário aporá no requerimento de injunção a forma executória. Se for deduzida oposição ou se frustar a notificação, desde que o requerente o pretenda, serão os autos remetidos à distribuição e enviados ao tribunal competente, seguindo-se o procedimento das ações especiais para cumprimento de obrigações pecuniárias.";No caso de injunções emergentes de transações comerciais de valor superior a metade da alçada do Tribunal da Relação, a dedução de oposição e a frustração da notificação no procedimento de injunção determinam a remessa dos autos para o tribunal competente, aplicando-se a forma de processo declarativo comum#;;;"DL 269/98#
DL 32/2003#
Portaria 220-A/2008#";"DL 269/98 (art 7 e ss do Regime Anexo)#
DL 32/2003, art 10#
Portaria 220-A/2008#";PC;S;"BNI#
Trb#";"MP#
AP#";"Apreciar#
Iniciar#";150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Reduzida;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;"E
";"Critério densidade informacional:
Informação síntese recuperável no PN 150.40.001- Realização de operações estatísticas oficiais e pelo facto dos direitos associados ao PN se extinguirem com o cumprimento da obrigação.";;;;;
"600.30.351
";Ação especial para cumprimento de obrigações pecuniárias;"Processo especial declarativo destinado a exigir o cumprimento de obrigações pecuniárias emergentes de contratos de valor não superior a 15 000 Euros.
Este processo inicia-se com um articulado de uma das partes civis, seguindo-se a citação. Se não houver contestação, o juiz limita-se a conferir força executiva à petição, excepto se ocorrerem de forma evidente excepções dilatórias ou o pedido for manifestamente improcedente. Sendo deduzida contestação, há lugar à audiência de julgamento na qual são oferecidas e produzidas as provas e termina com a prolação de sentença e elaboração da conta. Inclui eventual recurso.";;;;DL 269/98#;DL 269/98 (art 1 a 5 do Regime Anexo);PC;S;Trb#;"MP#
AP#";"Apreciar#
Iniciar#";150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Reduzida;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";Portaria 368/2013, refª 82;;;;
"600.30.352
";Procedimento especial de despejo;"Meio processual que se destina a efetivar a cessação do arrendamento, independentemente do fim a que este se destina, quando o arrendatário não desocupe o locado na data prevista na lei ou na data fixada por convenção entre as partes e que não corre termos nos tribunais mas no Balcão Nacional de Arrendamento. O processo só existe, atualmente, nos tribunais se alguma das partes civis recorrer da decisão do Balcão Nacional de Arrendamento.
Este processo inicia-se com um requerimento, segundo um modelo aprovado, apresentado no Balcão Nacional de Arrendamento, seguindo-se, se não for recusado, a notificação do requerido para, designadamente, proceder ao despejo e/ou ao pagamento de rendas devidas. Se não for deduzida oposição, o Balcão Nacional de Arrendamento emite título de desocupação do locado. Se for deduzida oposição ou se for requerido o diferimento da desocupação, serão os autos remetidos à distribuição e enviados ao tribunal competente, seguindo-se, no caso de oposição, despacho do juiz a convidar as partes a aperfeiçoarem os seus requerimentos ou a exercerem o contraditório, após o que se procede à audiência de julgamento, na qual são apresentadas e produzidas as provas, terminando o processo com prolação de sentença e elaboração da conta. Inclui eventual recurso.

VER MELHOR A DESCRIÇÃO TENDO EM CONTA SE ABRANGE SÓ OS PROCESSOS QUE CHEGAM AOS TRIBUNAIS.
COLHER MAIS INFORMAÇÃO SOBRE OS REGISTOS QUE EXISTEM NO BNA.
";;;;"Lei 6/2006#
DL 1/2013#";"Lei 6/2006, art 15 e ss#
DL 1/2013";PE;S;BNA#;AL#;Iniciar#;150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Média;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";Portaria 368/2013, refª 79;;;;
"600.30.353

";Ação especial de insolvência e de recuperação de empresas;"Processo especial que tem como finalidade (i) a satisfação dos credores pela forma prevista num plano de insolvência baseado na recuperação da empresa compreendida na massa insolvente ou (ii) a liquidação do património do devedor e a repartição do produto obtido pelos credores. Este processo inicia-se com um articulado do próprio ou de um credor (que pode ser o Ministério Público no caso de o credor ser o Estado ou trabalhadores por aquele representados), seguindo-se a citação para deduzir oposição, no caso de se tratar de uma insolvência requerida por um credor, ou no caso de não ser possível a citação, prosseguimento dos autos com dispensa da sua audição. Tratando-se de um pedido de insolvência apresentado pelo próprio devedor ou se não houver oposição quando requerida pelos credores, é, de imediato, proferida sentença a declarar a insolvência. No caso de ser deduzida oposição ou de haver lugar à dipensa de audição, é designada data para a realização da audiência audiência de julgamento com produção de prova, após o que proferida uma sentença, da qual pode ser interposto recurso ou deduzidos embargos. O processo segue os seus termos para execução universal do património do devedor ou para aprovação de um plano de insolvência destinado, nomeadamente, à sua recuperação.

";Podem correr por apenso ao processo, nomeadamente, os seguintes incidentes: apreensão de bens, liquidação, reclamação de créditos, prestação de contas, qualificação de insolvência, plano de pagamentos, restituição e separação de bens, impugnação de resolução em benefício da massa, bem como outros processos declarativos e executivos, de natureza civel ou tributária, cuja apensação possa ser decretada#;"Apreensão de bens#
Liquidação#
Reclamação de créditos#
Prestação de contas#
Qualificação de insolvência#
Plano de pagamentos#
Restituição e separação de bens#
Impugnação de resolução em benefício da massa#";;DL 53/2004#;Código da Insolvência e Recuperação de Empresas;PE;S;Trb#;MP#;Apreciar#;"150.40.001#
600.20.304#";"Realização de operações estatísticas oficiais#
Ação de conciliação para viabilização de empresas#";"Síntese (sintetizado)#
Sucessão (sucessor)#";Média;S;;;;;;;Portaria 368/2013, refª 119;;;;
600.30.353.01;Ação especial de insolvência e de recuperação de empresas: articulados, gestão processual e audiência;Inicia com a entrega da petição inicial e termina com a realização da audiência. Inclui todos os articulados, incluindo os da fase de recurso, audiências e demais decisões que não sejam sentenças ou acórdãos bem como todos os atos e diligências da secretaria.;Documentação das empresas que suporta o processo judicial#;;;;;;;;;;;;;Reduzida;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no PN 600.30.353.02 - Ação especial de insolvência e de recuperação de empresas: decisão.
Sem prejuízo da conservação dos ""fat files"".";;;;;
600.30.353.02;Ação especial de insolvência e de recuperação de empresas: decisão;Prolação da sentença ou acórdão em caso de tribunal de 1ª instância ou decisão singular ou acórdão em caso de tribunais de recurso. Inclui todas as sentenças proferidas no processo prinicipal e em todos os apensos.;Sentença ou acórdão#;;;;;;;;;;;;;;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Para salvaguarda de outros direitos imprescritíveis decorrentes da sentença.";;;;;
"600.30.354

";"Ação especial de revitalização
";"Processo especial que tem por objectivo permitir aos devedores em situação económica difícil ou situação de insolvência eminente a sua recuperação mediante acordo com os seus credores, sem que seja decretada a sua insolvência. É um processo que exige a intervenção do tribunal em três momentos chave: no início; na decisão de impugnação da lista provisória de créditos; e no final, para tornar gerais os efeitos do acordo ou para extrair as devidas consequências da não aprovação do mesmo. Existem duas modalidades possíveis de revitalização, cuja escolha dependerá do devedor: (i) processo que começa com a manifestação de vontade do devedor e de, pelo menos, um dos seus credores de que pretendem encetar negociações conducentes à revitalização, seguindo-se a nomeação de um administrador provisório que apresenta uma lista de provisória de credores, que se não impugnada converte-se em definitiva, sendo que no caso de ser impugnada é proferida decisão judicial quanto às impugnações, terminando com a homologação ou não do plano de revitalização, que foi previamente sujeito à aprovação dos credores; (ii) processo no qual o devedor apresenta ao tribunal, para homologação um acordo extrajudicial já alcançado com os credores representando a maioria da aprovação necessária, terminado com a homologação ou não do plano.
A decisão de homologação ou não homologação do plano pode ser objecto de recurso, sendo que no caso de não aprovação ou homologação do plano, o administrador provisório requer que seja declarada a insolvência do devedor.";No caso de não aprovação do plano e proposta a insolvência pelo administrador de insolvência, será apensado ao processo de insolvência#;;;DL 53/2004#;Código da Insolvência e Recuperação de Empresas, art 17-A e ss;PE;S;Trb#;MP#;Apreciar#;150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Média;S;;;;;;;Portaria 368/2013, refª 81;;;;
600.30.354.01;Ação especial de revitalização: articulados, gestão processual e audiência;Inicia com a entrega da petição inicial e termina com a realização da audiência. Inclui todos os articulados, incluindo os da fase de recurso, audiências e demais decisões que não sejam sentenças ou acórdãos bem como todos os atos e diligências da secretaria.;;;;;;;;;;;;;;Reduzida;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no PN 600.30.354.02 - Ação especial de revitalização: decisão.";;;;;
600.30.354.02;Ação especial de revitalização: decisão;Prolação da sentença ou acórdão em caso de tribunal de 1ª instância ou decisão singular ou acórdão em caso de tribunais de recurso.;Sentença ou acórdão#;;;;;;;;;;;;;;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Para salvaguarda de outros direitos imprescritíveis decorrentes da sentença.";;;;;
"600.30.355
";"Ação judicial de expropriação por utilidade pública
";"Processo especial por intermédio do qual se efectiva a expropriação litigiosa de bens imóveis e os direitos a eles inerentes por causa de utilidade pública compreendida nas atribuições, fins ou objecto da entidade expropriante, mediante o pagamento contemporâneo de uma justa indemnização.
Este processo inicia-se, após a frustração do processo de expropriação amigável, com uma fase arbitral destinada a fixar o valor da indemnização, mediante a intervenção de três árbitros nomeados pelo presidente do tribunal da Relação competente, que proferem uma decisão arbitral. Após, o processo é remetido ao tribunal competente acompanhado, nomeadamente, da decisão arbitral e da guia de depósito à ordem do tribunal do montante arbitrado, seguindo-se despacho de adjudicação da propriedade e posse à entidade expropriante. Em simultâneo, são notificados todos os intervenientes do teor dos elementos juntos ao processo, bem como da faculdade de interposição de recurso. Sendo apresentado recurso pelo expropriante, pelo expropriado ou por qualquer interessado, e exercido o contraditório, o juiz atribui imediatamente aos interessados o montante sobre o qual se verifique acordo, seguindo-se a realização de diligências instrutórias, incluindo, obrigatoriamente, nova avaliação por cinco peritos, e eventual produção de outras provas, e termina com uma sentença a fixar o montante das indemnizações a pagar pela entidade expropriante. Inclui eventual recurso.";;;;Lei 168/99#;Código das Expropriações, art 38 a 73#;PE;S;Trb#;"MP#
AL#";"Apreciar#
Iniciar#";150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Média;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Conservação para garante do exercício de direitos reais de propriedade.";;;;;
"600.30.356
";"Inventário judicial
";"Processo especial destinado a pôr termo à comunhão hereditária ou, não carecendo de realizar-se partilha judicial, a relacionar os bens que constituem objecto de sucessão e a servir de base à eventual liquidação da herança, à partilha de bens em caso de justificação de ausência e ainda para partilha em consequência de separação, divórcio, declaração de nulidade ou anulação de casamento e ainda para separação de bens nos casos de penhora de bens comuns do casal ou tendo de proceder-se a separação por virtude da insolvência de um dos cônjuges.
Este processo inicia-se com um requerimento junto do notário, no qual é indicado o cabeça-de-casal, segue-se a nomeação deste e a prestação de declarações e apresentação da relação de bens, após o que se procede à citação dos interessados para deduzirem oposição ou reclamarem da relação de bens, havendo lugar a diligências probatórias necessárias e a decisão. Após há lugar a conferência preparatória e a conferência de interessados presidida pelo notário, seguindo-se despacho determinativo da forma à partilha, mapa ou mapas da partilha e termina com uma sentença homologatória da partilha que é proferida pelo juiz. Inclui eventuais recursos.";Ao notário compete dirigir todas as diligências do processo de inventário e da habilitação de uma pessoa como sucessora por morte de outra, sem prejuízo dos casos em que os interessados são remetidos para os meios judiciais comuns. Compete ao tribunal da comarca do cartório notarial onde o processo foi apresentado praticar os atos que, nos termos da presente lei, sejam da competência do juiz#;;;"Lei 23/2013#
Portaria 278/2013#";;PE;S;"CN#
Trb#";MP#;;150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Reduzida;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Conservação para garante do exercício de direitos reais de propriedade.";Portaria 368/2013, refª 120 e 170.;;;;
"600.30.357
";"Ação popular
";Ação especial no âmbito administrativo ou civil, destinado a promover a prevenção, a cessação ou a perseguição judicial das infrações contra determinados direitos ou a proteção de bens do Estado, de autarquias locais e das regiões autónomas. A ação popular administrativa compreende a ação para defesa dos interesses referidos na lei e o recurso contencioso com fundamento em ilegalidade contra quaisquer atos administrativos lesivos dos mesmos interesses. A ação popular civil pode revestir qualquer das formas previstas no Código de Processo Civil. São titulares do direito de ação popular quaisquer cidadãos no gozo dos seus direitos civis e políticos e as associações e fundações defensoras dos interesses previstos na lei, independentemente de terem ou não interesse direto na demanda, bem como as autarquias locais em relação aos interesses de que sejam titulares residentes na área da respetiva circunscrição. Recebida petição de ação popular, serão citados os titulares dos interesses em causa na ação de que se trate, e não intervenientes nela, para o efeito de, no prazo fixado pelo juiz, passarem a intervir no processo a título principal, querendo, aceitando-o na fase em que se encontrar, e para declararem nos autos se aceitam ou não ser representados pelo autor ou se, pelo contrário, se excluem dessa representação. Termina com a prolação de sentença e elaboração da conta. Inclui eventual recurso.;;;;"Lei Constitucional 1/2005#
Lei 83/95#";"Constituição da República Portuguesa, art 52, nº 3#
Lei 83/95, art 1, nº 2 e art 12, nº 1 e 2#";PC;S;Trb#;"MP#
AP#";"Apreciar#
Iniciar#";150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Média;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Conservação para garante do exercício de direitos reais de propriedade.";Portaria 368/2013, refª 226.;;;;
"600.30.358
";"Ação tutelar educativa
";"Definição e aplicação, pelo tribunal competente a menor que cometa facto qualificado pela lei como crime, de medida(s) tutelar(es) tendo em vista promover a sua educação para o direito e a sua inserção, de forma digna e responsável, na vida em comunidade.
Inicia, no tribunal competente, com a receção do requerimento para abertura da fase jurisdicional e termina com a decisão judicial de arquivamento do processo ou, no caso de ser aplicada medida tutelar, com a extinção ou cessação da medida. Inclui eventual recurso.
Inclui, a comprovação judicial dos factos; a avaliação da necessidade de aplicação de medida tutelar; a determinação da medida tutelar; a execução da medida tutelar e a(s) entidade(s) encarregada(s) de acompanhar e assegurar a execução da medida aplicada; a homologação do projeto educativo pessoal, no caso de jovem internado em centro educativo; a, eventual, revisão da medida tutelar aplicada.";"Admoestação#
Privação do direito de conduzir ciclomotores ou de obter permissão para conduzir ciclomotores#
Reparação ao ofendido#
Realização de prestações económicas ou de tarefas a favor da comunidade#
Imposição de regras de conduta#
Imposição de obrigações#
Frequência de programas formativos#
Acompanhamento educativo#
Internamento em centro educativo (em regime aberto, em regime semiaberto ou em regime fechado)#";;"O ingresso, afetação e saída de jovem em centro educativo no âmbito da execução da medida tutelar de internamento deve ser considerado em 600.40.xxx – Ingresso, afetação e saída de jovem em centro educativo;
A elaboração e acompanhamento do projeto educativo pessoal de jovem internado em centro educativo deve ser considerada em 600.40.100 – Execução de medida de internamento em centro educativo;
A realização por parte do menor de tarefa a favor da comunidade deve ser considerado em 600.40.301 – Prestação de trabalho ou tarefa a favor da comunidade;
O acompanhamento da execução de medida tutelar educativa não privativa da liberdade deve ser considerado em 600.40.303 – Acompanhamento da execução de medida tutelar educativa não privativa da liberdade.";Lei 4/2015#;Lei 4/2015, de 15-01 (lei tutelar educativa);PE;S;Trb#;MP#;Apreciar#;"150.40.001#
400.10.044#
600.10.007#
600.10.501#
600.40.100#
600.40.303#
600.40.301#";"Realização de operações estatísticas oficiais#
Registo de medidas tutelares educativas#
Processamento de informação criminal#
Processamento de inquérito tutelar educativo#
Execução de medida de internamento em centro educativo#
Acompanhamento da execução de medida tutelar educativa não privativa da liberdade#
Prestação de trabalho ou tarefa a favor da comunidade#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data da maioridade ou, nos casos em que o jovem tenha solicitado a continuidade da medida para além da maioridade, até à data em que complete os 21 anos.;C;"Densidade informacional:
As relações de sintese  estabelecidas com outros PN, como as estatisticas e a avaliação da atividade da entidade, apenas permitem recuperar a enumeração dos casos (a sua dimensão geral), não habilitando a uma síntese qualitativa que represente a complexidade do PN.
Pelo que, se torna necessário a conservação da atuação particular.
 
";"Portaria 368/2013, refª 192.

NOTA RELATIVA À RESERVA";;;;
"600.30.359
";"Processo de promoção ou proteção
";Processo de jurisdição voluntária destinado a assegurar a promoção dos direitos e a proteção das crianças e dos jovens em perigo, por forma a garantir o seu bem-estar e desenvolvimento integral. A intervenção tem lugar quando os pais, o representante legal ou quem tenha a guarda de facto, ponham em perigo a segurança, saúde, formação, educação ou desenvolvimento da criança e do jovem, ou quando esse perigo resulte de ação ou omissão de terceiros ou da própria criança ou do jovem a que aquelas não se oponham de modo adequado a removê-lo.  A iniciativa processual cabe ao Ministério Público, quando não estejam reunidos os requisitos para a intervenção da Comissão de Promoção de Crianças e Jovens em Perigo, seguindo-se as fases de instrução, debate judicial e decisão do Tribunal competente ou de um Tribunal Superior, em caso de recurso.;"Apoio junto dos pais#
Apoio junto de outro familiar#
Confiança a pessoa idónea#
Apoio para autonomia de vida#
Acolhimento familiar#
Acolhimento em instituição#
Confiança a pessoa selecionada para adoção ou a instituição com vista a futura adoção#";;O processo não se aplica no caso de estar instalada Comissão de Proteção de Crianças e Joves com competência no município ou na freguesia da respetiva área de residência da criança ou jovem e estejam reunidos os requisitos necessários à sua intervenção.;"Lei 147/99#
142/2015#";Lei 147/99 na redação da Lei 142/2015 (lei de proteção de crianças e jovens em perigo);PE;S;Trb#;"MP#
INMLCF#";"Apreciar#
Assessorar#";"150.40.001#
800.10.603#";"Realização de operações estatísticas oficiais#
Realização de perícias#";"Síntese (sintetizado)#
Cruzada#";Reduzida;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data da maioridade ou, nos casos em que o jovem tenha solicitado a continuidade da medida para além da maioridade, até à data em que complete os 21 anos.;C;"Critério legal:
Imprescritibilidade de direitos de personalidade.";Portaria 368/2013, refª 180;;;;
"600.30.360
";"Averiguação oficiosa de paternidade
";"Processo de jurisdição voluntária destinado a habilitar a formação de um juízo de viabilidade da ação de investigação ou impugnação de maternidade ou de paternidade. Começa com a remessa de assento de nascimento pela conservatória, segue-se a instrução pelo MP que no final emite despacho declarando o arquivamento (por perfilhação ou caducidade); despacho declarando a inviabilidade (por falta de elementos) ou despacho declarando a viabilidade, caso em que proporá ação de investigação ou de impugnação.";;;;"DL 47344/66#
Lei 141/2015#";"Arts 1808 a 1813 e 1864 a 1868.º do Código Civil#
RGPTC, art 60 a 64";PE;S;"Trb#
MP#";"MP#
INMLCF#";"Apreciar#
Assessorar#";"150.40.001#
800.10.603#";"Realização de operações estatísticas oficiais#
Realização de perícias#";"Síntese (sintetizado)#
Cruzada#";Reduzida;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
[Lei 143/2015], artº 4 - Direito ao conhecimento das origens.";;;;;
"600.30.361
";"Instauração da tutela e administração de bens
";Processo de jurisdição voluntária destinado à nomeação de um tutor nos casos em que os pais do menor houverem falecido, estiverem inibidos do poder paternal quanto à regência da pessoa do filho, estiverem há mais de seis meses impedidos de facto de exercer o poder paternal ou se forem incógnitos. O processo inicia-se com um requerimento inicial, seguindo-se eventual fase de inquérito, reunião do conselho de família e decisão pelo tribunal competente do tutor e pró-tutor ou de um Tribunal Superior, se houver recurso.;;;;"DL 47344/66#
Lei 141/2015#";"Código Civil, art 1921 a 1962#
Organização Tutelar de Menores, art 210 (revogado o DL 314/78 e substituído pela Lei 141/2015 - Regime Geral do Processo Tutelar Cível)#";PE;S;Trb#;MP#;;"150.40.001#
400.10.001#";"Realização de operações estatísticas oficiais#
Registo civil#";"Síntese (sintetizado)#
Síntese (sintetizado)#";Reduzida;S;80;;"Critérios utilidade administrativa:
Para efeitos de responsabilização e considerando que a ação pode ser relativa a pessoas ininputáveis tomou-se por base a esperança média de vida à nascença (80 anos, fonte INE).";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no PN 400.10.001 - Registo Civil.

";;;;;
"600.30.362
";"Regulação das responsabilidades parentais

";Processo de jurisdição voluntária destinado a regular o exercício das responsabilidades parentais no caso de divórcio, separação judicial de pessoas e bens, nulidade ou anulação do casamento ou separação de facto. Começa com o requerimento de um dos progenitores ou do Ministério Público, após o que o juiz designa uma data para a realização de conferência, que pode terminar por acordo que é homologado por sentença ou, e não havendo acordo, determina a suspensão do processo e remessa das partes para mediação ou audição técnica especializada. Terminada a suspensão sem que exista acordo, há lugar à continuação da conferência, após o que há lugar a alegações e à realização de diligências, e termina com uma sentença e elaboração de conta. Inclui eventual recurso.;Podem correr por apenso ao processo de Regulação das responsabilidades parentais os Incidentes de Incumprimento e de Alteração das Responsabilidades Parentais, previstos nos Arts 41 e 42 do RGPTC#;;;"DL 47344/66#
Lei 141/2015#";"Código Civil, art 1905 e 1909#
RGPTC, art 34 a 40 e 43#";PE;S;Trb#;"MP#
INMLCF#";"Apreciar#
Assessorar#";"150.40.001#
800.10.603#";"Realização de operações estatísticas oficiais#
Realização de perícias#";"Síntese (sintetizado)#
Cruzada#";Reduzida;S;60;;"Critérios utilidade administrativa:
Para efeitos de responsabilização e considerando que a ação pode ser relativa a filhos ininputáveis tomou-se por base a esperança média de vida à nascença (80 anos, fonte INE), descontados a idade dos progenitores.";Data em que forem considerados findos para efeitos de arquivo.;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";"Portaria 368/2013, refª 181;
A informação é registado no Registo Civil, obrigatoriamente.";;;;
"600.30.363
";Consentimento prévio à adoção;Processo destinado à prestação, perante o juiz, de consentimento para a adoção,  designadamente, pelos pais do adotando ou do parente ou tutor que, tendo falecido os pais, tenha o adotando a seu cargo e com ele viva. Pode ser requerido pelas pessoas que o devam prestar, pelo MP ou pelos organismos da segurança social, após o que o juiz designa imediatamente para a prestação do consentimento, o qual tem lugar no próprio dia ou no maus curto prazo possível. Da prestação de consentimento é lavrado auto assinado pelo próprio, sendo este irrevogável e não sujeito a caducidade. Inclui eventual recurso;O processo pode ser instaurado independentemente da instauração do processo de adoção. Requerida a adoção é o processo de consentimento apensado como incidente#;;;"DL 47344/66#
Lei 143/2015#";"Código Civil, art 1982 e 1983#
Regime Jurídico da Adoção, art 32 e 35 (aprovado pela Lei 143/2015)#";PE;S;Trb#;MP#;Apreciar#;150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Reduzida;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
[Lei 143/2015], artº 4 - Direito ao conhecimento das origens.";;;;;
