Título da classe de terceiro nível / quarto nível;Código;Termo
Inventariação e cadastro de bens imóveis;300.30.005;Perfil de albufeira
Inventariação e cadastro de bens imóveis;300.30.005;Perfil de praia
Inventariação e cadastro de bens imóveis;300.30.005;Registo nacional das grandes barragens
Inventariação e cadastro de fauna e de flora;300.30.006;Atlas das aves nidificantes 
Inventariação e cadastro de fauna e de flora;300.30.006;Atlas dos anfíbios e répteis 
Inventariação e cadastro de fauna e de flora;300.30.006;Classificação dos mamíferos
Inventariação e cadastro de fauna e de flora;300.30.006;Classificação dos peixes
Inventariação e cadastro de fauna e de flora;300.30.006;Inventário da flora nacional
Inventariação e cadastro de fauna e de flora;300.30.006;Inventário das espécies piscícolas
Inventariação e cadastro de fauna e de flora;300.30.006;Inventário de espécies animais
Inventariação e cadastro de fauna e de flora;300.30.006;Inventário de espécies vegetais
Inventariação e cadastro de fauna e de flora;300.30.006;Inventário do património natural
Inventariação e cadastro de fauna e de flora;300.30.006;Livro vermelho dos vertebrados 
Inventariação e cadastro de fauna e de flora;300.30.006;Património natural 
Inventariação e cadastro de fauna e de flora;300.30.006;Registo do efetivo animal
Inventariação e cadastro de fauna e de flora;300.30.006;Sistema de informação do património natural
Registo de bens móveis não duradouros;300.30.007;Cedência de medicação a utentes em ambulatório
Registo de bens móveis não duradouros;300.30.007;Controlo de stocks 
Registo de bens móveis não duradouros;300.30.007;Existências em armazém, registo de 
Registo de bens móveis não duradouros;300.30.007;Inventário de consumíveis
Registo de bens móveis não duradouros;300.30.007;Inventário de economato
Registo de bens móveis não duradouros;300.30.007;Inventário de existências 
Registo de bens móveis não duradouros;300.30.007;Inventário de stocks 
Registo de bens móveis não duradouros;300.30.007;Recursos materiais 
Registo de bens móveis não duradouros;300.30.007;Registo de material de economato
Registo de bens móveis não duradouros;300.30.007;Stocks, controlo de 
Registo de documentos e informação;300.30.008;Biblioteca, registo de catálogo em
Registo de documentos e informação;300.30.008;Gestão de informação
Registo de documentos e informação;300.30.008;Inventário dos processos de avaliação ambiental estratégica
Registo de documentos e informação;300.30.008;Inventário dos processos de avaliação do impacto ambiental
Registo de documentos e informação;300.30.008;Inventário dos processos de pós-avaliação ambiental 
Registo de documentos e informação;300.30.008;Metadados 
Registo de documentos e informação;300.30.008;Metainformação descritiva 
Registo de documentos e informação;300.30.008;Plano de classificação, aplicação do 
Registo de documentos e informação;300.30.008;Recursos de informação 
Registo de documentos e informação;300.30.008;Registo de circulação de processos 
Registo de documentos e informação;300.30.008;Registo de documentos de arquivo 
Registo de documentos e informação;300.30.008;Registo de entrada de documentos
Registo de documentos e informação;300.30.008;Registo de expediente 
Registo de documentos e informação;300.30.008;Registo de saída de informação 
Registo de documentos e informação;300.30.008;Registo do código de classificação 
Registo de documentos e informação;300.30.008;Registo do fluxo de processos 
Registo de documentos e informação;300.30.008;Tecnologias de informação e comunicação 
Registo de perdidos e achados;300.30.009;Achado, registo de 
Registo de perdidos e achados;300.30.009;Arrojo, registo de
Registo de perdidos e achados;300.30.009;Documento de identidade 
Registo de perdidos e achados;300.30.009;Documento nominativo 
Registo de perdidos e achados;300.30.009;Objeto achado 
Registo de perdidos e achados;300.30.009;Objeto perdido 
Registo de perdidos e achados;300.30.009;Perdidos 
Registo de perdidos e achados;300.30.009;Restituição de objetos encontrados na via pública
Gestão de correspondência do recluso;300.30.010;Encomenda expedida pelo recluso
Gestão de correspondência do recluso;300.30.010;Encomenda recebida pelo recluso
Gestão de correspondência do recluso;300.30.010;Recluso, correspondência do
Determinação da comunicabilidade de documentos e informação;300.30.300;Acesso à informação, determinação da comunicabilidade para
Determinação da comunicabilidade de documentos e informação;300.30.300;Classificação de segurança 
Determinação da comunicabilidade de documentos e informação;300.30.300;Conservação física, documentos em mau estado de 
Determinação da comunicabilidade de documentos e informação;300.30.300;Desclassificação da informação ou documentação 
Determinação da comunicabilidade de documentos e informação;300.30.300;Documentação ou informação confidencial 
Determinação da comunicabilidade de documentos e informação;300.30.300;Documentação ou informação pública 
Determinação da comunicabilidade de documentos e informação;300.30.300;Documentos em mau estado de conservação física 
Determinação da comunicabilidade de documentos e informação;300.30.300;Informação, gestão de 
Determinação da comunicabilidade de documentos e informação;300.30.300;Níveis de acesso 
Determinação da comunicabilidade de documentos e informação;300.30.300;Reclassificação da informação ou documentação 
Determinação da comunicabilidade de documentos e informação;300.30.300;Restrições de acesso à informação 
Determinação da comunicabilidade de documentos e informação;300.30.300;Sistema de informação, gestão de classificações de segurança em
Avaliação de bens imóveis;300.30.600;Avaliação de edifício
Avaliação de bens imóveis;300.30.600;Avaliação de imóvel
Avaliação de bens imóveis;300.30.600;Avaliação de imóvel cultural
Avaliação de bens imóveis;300.30.600;Avaliação de infraestrutura
Avaliação de bens imóveis;300.30.600;Avaliação de prédio rústico
Avaliação de bens imóveis;300.30.600;Avaliação de prédio urbano
Avaliação de bens imóveis;300.30.600;Avaliação patrimonial 
Avaliação de bens imóveis;300.30.600;Valor patrimonial de bem imóvel, avaliação de 
Avaliação de bens móveis;300.30.601;Avaliação de bem móvel
Avaliação de bens móveis;300.30.601;Avaliação de bem móvel cultural
Avaliação de bens móveis;300.30.601;Avaliação de mobiliário
Avaliação de bens móveis;300.30.601;Avaliação de obra de arte
Avaliação de bens móveis;300.30.601;Avaliação de peça de arte
Avaliação de bens móveis;300.30.601;Valor patrimonial de bem móvel, avaliação de 
Avaliação de bens móveis;300.30.601;Valor unitário de bem móvel, avaliação de
Avaliação de informação arquivística;300.30.602;Avaliação arquivística de documentos acumulados
Avaliação de informação arquivística;300.30.602;Documentação acumulada 
Avaliação de informação arquivística;300.30.602;Documentação de arquivo 
Avaliação de informação arquivística;300.30.602;Massas acumuladas 
Avaliação de informação arquivística;300.30.602;Tabela de seleção de documentos
Loteamento de iniciativa pública;300.40.001;Emparcelamento 
Loteamento de iniciativa pública;300.40.001;Loteamento de iniciativa municipal
Loteamento de iniciativa pública;300.40.001;Loteamento urbano
Loteamento de iniciativa pública;300.40.001;Reparcelamento 
Urbanização de iniciativa pública;300.40.002;Infraestrutura urbanística pública
Urbanização de iniciativa pública;300.40.002;Urbanização de iniciativa municipal
Edificação de iniciativa pública;300.40.003;Construção de iniciativa pública
Edificação de iniciativa pública;300.40.003;Ficha técnica da matéria-prima 
Edificação de iniciativa pública;300.40.003;Ficha técnica de segurança do material 
Edificação de iniciativa pública;300.40.003;Projeto de construção de iniciativa pública
Edificação de iniciativa pública;300.40.003;Projeto de especialidade, edificação de
Reprodução de espécies de fauna e flora;300.40.004;Animais domésticos, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Animais selvagens, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies em cativeiro, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies exóticas, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies florestais, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies in-vitro, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies marinhas, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies piscícolas, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Espécies ripícolas, reprodução de
Reprodução de espécies de fauna e flora;300.40.004;Produção ou reprodução de espécies em viveiro
Reprodução de espécies de fauna e flora;300.40.004;Produção ou reprodução de espécies vegetais
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de animais domésticos
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de animais selvagens
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies em cativeiro
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies exóticas
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies florestais
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies in-vitro
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies marinhas
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies piscícolas
Reprodução de espécies de fauna e flora;300.40.004;Reprodução de espécies ripícolas
Transformação de matérias primas;300.40.005;Escultura 
Transformação de matérias primas;300.40.005;Manipulação de medicamentos 
Transformação de matérias primas;300.40.005;Produção de arte urbana 
Transformação de matérias primas;300.40.005;Produção de objetos 
Transformação de matérias primas;300.40.005;Produção de vinho 
Conservação e proteção de bens culturais;300.40.500;Conservação e proteção de bens culturais
Conservação e proteção de bens culturais;300.40.500;Preservação digital 
Conservação e proteção de bens culturais;300.40.500;Restauro de bens culturais
Conservação e proteção de informação;300.40.501;Acondicionamento de documentos 
Conservação e proteção de informação;300.40.501;Backup 
Conservação e proteção de informação;300.40.501;Certificado de assinatura digital, proteção de 
Conservação e proteção de informação;300.40.501;Cópia de segurança 
Conservação e proteção de informação;300.40.501;Digitalização
Conservação e proteção de informação;300.40.501;Higienização de documentos 
Conservação e proteção de informação;300.40.501;Implementação de plano de preservação de documentos
Conservação e proteção de informação;300.40.501;Implementação de plano de preservação digital
Conservação e proteção de informação;300.40.501;Microfilmagem no âmbito da proteção de informação
Conservação e proteção de informação;300.40.501;Migração de dados 
Conservação e proteção de informação;300.40.501;Plano de preservação de documentos, implementação de
Conservação e proteção de informação;300.40.501;Plano de preservação digital, implementação de
Conservação e proteção de informação;300.40.501;Sistema de informação, controlo de cópias de segurança em
Conservação e proteção de informação;300.40.501;Sistema de informação, monitorização de
Conservação e proteção de informação;300.40.501;Substituição de suporte no âmbito da conservação da informação
Conservação e proteção de informação;300.40.501;Transferência de suporte 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Ação agroecológica 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Combate à erosão do solo 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Conservação da paisagem agricola
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Conservação de ecossistema
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Conservação de espécie agrícola
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Conservação de espécie florestal
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Conservação de habitat
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Controlo do uso do solo 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Criação de asseiros
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Criação de linhas de fogo
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Delimitação de limite de incêndio 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Desenvolvimento sustentável 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Ecossistema, preservação de
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies animais, conservação e proteção de
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies avícolas, conservação e proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies exóticas, conservação e proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies florestais, conservação e proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies piscícolas, conservação e proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies ripícolas, conservação e proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Espécies vegetais, conservação e proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Introdução de espécie exótica 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de ecossistema
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de espécie animal
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de espécie avicola
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de espécie piscicola
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de espécie ripícula
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de espécie vegetal
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de geomonumento
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de habitats
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de paisagem natural
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de parque natural
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação de plâncton
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Preservação do património natural
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Recurso natural, proteção de 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Regularização de curso de água 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Remoção de espécie crítica 
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Repovoamento de área protegida
Conservação e proteção de recursos naturais, espécies e paisagens;300.40.502;Requalificação de linha de água 
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Colocação de mobiliário urbano 
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Instalação de Ecopontos 
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção de instalação
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção de jardim
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção de mobiliário urbano
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção de parque
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção de pavimento
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção de piscina
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção e reparação de edifício público
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção e reparação de infraestrutura de monitorização de recursos hídricos
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção e reparação de rede de água e saneamento
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção e reparação de redes e sistemas de informação e comunicação
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Manutenção e reparação de sistema elétrico
Conservação e valorização de edifícios, infraestruturas e equipamentos;300.40.503;Sinalização de instalações para intervenção e valorização
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Ação de controlo e segurança
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Câmara de vigilância, instalação 
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Deteção de incêndio 
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Furto, controlo de  
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Intrusão, controlo de 
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Registo de visitantes 
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Relatório de ocorrência 
Controlo de segurança e vigilância de instalações e equipamentos;300.40.504;Relatório de vigilância 
Higienização de instalações e equipamentos;300.40.505;Desinfestação de instalações e equipamentos
Higienização de instalações e equipamentos;300.40.505;Expurgo 
Higienização de instalações e equipamentos;300.40.505;Limpeza de edifício
Higienização de instalações e equipamentos;300.40.505;Limpeza de equipamento
Higienização de instalações e equipamentos;300.40.505;Limpeza de instrumento
Higienização de instalações e equipamentos;300.40.505;Limpeza de reservatório
Higienização de instalações e equipamentos;300.40.505;Limpeza de utensílios
Higienização de instalações e equipamentos;300.40.505;Limpeza de veículo
Higienização de instalações e equipamentos;300.40.505;Relatório de limpeza 
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Água, manutenção de parâmetros ambientais da
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Cloragem da água, manutenção dos parâmetros da
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Cumprimento de parâmetros microbiológicos
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Emissões atmosféricas 
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Implementação de medidas preventivas 
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Manutenção da qualidade da água 
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Manutenção de parâmetros ambientais
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Microbiologia 
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Prevenção de micro-organismos 
Implementação de ações para cumprimento de parâmetros ambientais;300.40.506;Solo 
Implementação de planos de contingência;300.40.507;Ameaça interna 
Implementação de planos de contingência;300.40.507;Instrução particular de atuação 
Implementação de planos de contingência;300.40.507;Medida corretiva 
Implementação de planos de contingência;300.40.507;Plano de contingência ambiental 
Implementação de planos de contingência;300.40.507;Plano de contingência interno 
Implementação de planos de contingência;300.40.507;Plano de emergência interno, implementação do 
Implementação de planos de contingência;300.40.507;Plano de risco 
Implementação de planos de contingência;300.40.507;Plano de segurança, implementação de medida de contingência
Implementação de redes e sistemas tecnológicos;300.40.508;Configuração de redes e sistemas 
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de infraestrutura de comunicação 
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de infraestrutura tecnológica
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de rede de comunicação
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de sistema de segurança preventiva
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de sistema tecnológico
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de sistema tecnológico de apoio à gestão
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de sistema tecnológico de deteção de incêndios
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de sistema tecnológico de gestão documental
Implementação de redes e sistemas tecnológicos;300.40.508;Implementação de sistema tecnológico de informação
Implementação de redes e sistemas tecnológicos;300.40.508;Infraestrutura de comunicação, implementação de 
Implementação de redes e sistemas tecnológicos;300.40.508;Infraestrutura tecnológica, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Rede de comunicação, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Redes e sistemas, configuração de 
Implementação de redes e sistemas tecnológicos;300.40.508;Servidor de sistema tecnológico
Implementação de redes e sistemas tecnológicos;300.40.508;Sistema de segurança preventiva, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Sistema tecnológico de apoio à gestão, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Sistema tecnológico de deteção de incêndios, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Sistema tecnológico de gestão documental, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Sistema tecnológico de informação, implementação de
Implementação de redes e sistemas tecnológicos;300.40.508;Sistema tecnológico, implementação de
Manutenção e reparação de bens móveis duradouros;300.40.509;Assistência técnica a bem móvel duradouro
Manutenção e reparação de bens móveis duradouros;300.40.509;Contador 
Manutenção e reparação de bens móveis duradouros;300.40.509;Equipamento informático 
Manutenção e reparação de bens móveis duradouros;300.40.509;Instrumento de medição 
Manutenção e reparação de bens móveis duradouros;300.40.509;Pedido de reparação 
Manutenção e reparação de bens móveis duradouros;300.40.509;Reparação de bem móvel duradourols
Manutenção e reparação de bens móveis duradouros;300.40.509;Reparação de utensílios e ferramentas
Manutenção e reparação de bens móveis duradouros;300.40.509;Veículo, reparação de 
Monitorização de redes e sistemas tecnológicos;300.40.510;Infraestrutura de comunicações, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Infraestrutura tecnológica, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de infraestrutura de comunicações
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de infraestrutura tecnológica
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de rede de comunicações
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico da rede hidrografica e hridrológica
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico de apoio à gestão
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico de deteção de incêndios
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico de gestão documental
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico de informação
Monitorização de redes e sistemas tecnológicos;300.40.510;Monitorização de sistema tecnológico de segurança preventiva
Monitorização de redes e sistemas tecnológicos;300.40.510;Rede de comunicações, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Sistema tecnológico de apoio à gestão, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Sistema tecnológico de deteção de incêndios, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Sistema tecnológico de gestão documental, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Sistema tecnológico de informação, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Sistema tecnológico de segurança preventiva, monitorização de
Monitorização de redes e sistemas tecnológicos;300.40.510;Sistema tecnológico, monitorização de
Participação de danos patrimoniais;300.40.511;Acidente de viação, reclamação de 
Participação de danos patrimoniais;300.40.511;Acidente, participação de 
Participação de danos patrimoniais;300.40.511;Avaria, participação de 
Participação de danos patrimoniais;300.40.511;Buraco na via pública, reclamação de
Participação de danos patrimoniais;300.40.511;Dano, participação de 
Participação de danos patrimoniais;300.40.511;Defeito no pavimento, reclamação de 
Participação de danos patrimoniais;300.40.511;Extravio,participação de 
Participação de danos patrimoniais;300.40.511;Inundação, reclamação de 
Participação de danos patrimoniais;300.40.511;Participação de acidente 
Participação de danos patrimoniais;300.40.511;Participação de avaria 
Participação de danos patrimoniais;300.40.511;Participação de dano 
Participação de danos patrimoniais;300.40.511;Participação de extravio 
Participação de danos patrimoniais;300.40.511;Participação de responsabilidade civil extracontratual 
Participação de danos patrimoniais;300.40.511;Participação de roubo 
Participação de danos patrimoniais;300.40.511;Pedido de Indemnização 
Participação de danos patrimoniais;300.40.511;Queda de muro ou aluimento de terras, reclamação de 
Participação de danos patrimoniais;300.40.511;Queda de ramos ou árvores, reclamação de 
Participação de danos patrimoniais;300.40.511;Reclamação de acidente de viação 
Participação de danos patrimoniais;300.40.511;Reclamação de buraco na via pública 
Participação de danos patrimoniais;300.40.511;Reclamação de defeito no pavimento 
Participação de danos patrimoniais;300.40.511;Reclamação de inundação 
Participação de danos patrimoniais;300.40.511;Reclamação de queda de muro ou aluimento de terras 
Participação de danos patrimoniais;300.40.511;Reclamação de queda de ramos ou árvores 
Participação de danos patrimoniais;300.40.511;Reclamação de sinalização 
Participação de danos patrimoniais;300.40.511;Reclamação de tampas de esgoto ou de águas pluviais 
Participação de danos patrimoniais;300.40.511;Responsabilidade civil extracontratual, participação de 
Participação de danos patrimoniais;300.40.511;Roubo, participação de 
Participação de danos patrimoniais;300.40.511;Sinalização, reclamação de 
Participação de danos patrimoniais;300.40.511;Tampas de esgoto ou de águas pluviais, reclamação de 
Afetação de bens imóveis ao domínio público;300.50.001;Afetação de imóvel ao domínio público
Afetação de bens imóveis ao domínio público;300.50.001;Afetação de imóvel ao uso público
Afetação de bens imóveis ao domínio público;300.50.001;Desafetação de imóvel ao domínio público
Afetação de bens imóveis ao domínio público;300.50.001;Desafetação de imóvel de utilidade pública
Afetação de bens imóveis ao domínio público;300.50.001;Domínio público, afetação de imóvel ao
Afetação de bens imóveis ao domínio público;300.50.001;Domínio público, desafetação de imóvel ao
Afetação de bens imóveis ao domínio público;300.50.001;Uso público, afetação de imóvel ao
Afetação de bens imóveis ao domínio público;300.50.001;Uso público, desafetação de imóvel ao
Reserva do uso privativo de imóveis do domínio público;300.50.002;Domínio público, uso privativo do
Reserva do uso privativo de imóveis do domínio público;300.50.002;Uso privativo do domínio público
Reserva do uso privativo de imóveis do domínio público;300.50.002;Uso privativo, utilização de imóvel público para
Reserva do uso privativo de imóveis do domínio público;300.50.002;Utilização de imóvel público para uso privativo
Afetação interna de bens móveis culturais;300.50.003;Afetação interna de bens móveis culturais
Afetação interna de bens móveis culturais;300.50.003;Afetação interna de obra de arte
Afetação interna de bens móveis culturais;300.50.003;Afetação interna de peça museológica
Afetação interna de bens móveis culturais;300.50.003;Auto de entrega interna de bem móvel cultural
Afetação interna de bens móveis culturais;300.50.003;Bem móvel cultural, afetação interna de
Afetação interna de bens móveis culturais;300.50.003;Guia de remessa de bens móveis culturais
Afetação interna de bens móveis culturais;300.50.003;Obra de arte, afetação interna de
Afetação interna de bens móveis culturais;300.50.003;Peça museológica, afetação interna de
Afetação interna de bens móveis duradouros não culturais;300.50.004;Afetação de bem móvel duradouro
Afetação interna de bens móveis duradouros não culturais;300.50.004;Afetação de hardware
Afetação interna de bens móveis duradouros não culturais;300.50.004;Afetação de mobiliário
Afetação interna de bens móveis duradouros não culturais;300.50.004;Auto de entrega interna de bem móvel duradouro
Afetação interna de bens móveis duradouros não culturais;300.50.004;Auto de transferência interna de bem móvel duradouro
Afetação interna de bens móveis duradouros não culturais;300.50.004;Bem móvel duradouro, desafetação de
Afetação interna de bens móveis duradouros não culturais;300.50.004;Bens móveis duradouros, afetação de
Afetação interna de bens móveis duradouros não culturais;300.50.004;Desafetação de bem móvel duradouro
Afetação interna de bens móveis duradouros não culturais;300.50.004;Hardware, afetação de
Afetação interna de bens móveis duradouros não culturais;300.50.004;Mobiliário, afetação de
Afetação e utilização provisória de bens apreendidos;300.50.005;Afetação provisória de bem apreendido
Afetação e utilização provisória de bens apreendidos;300.50.005;Bem apreendido, afetação provisória de
Afetação e utilização provisória de bens apreendidos;300.50.005;Bem apreendido, utilização provisória de
Afetação e utilização provisória de bens apreendidos;300.50.005;Empréstimo provisório de bem apreendido
Afetação e utilização provisória de bens apreendidos;300.50.005;Utilização provisória de bem apreendido
Constituição do direito de superfície sobre bens imóveis;300.50.200;Direito de superfície sobre bem imóvel
Constituição do direito de superfície sobre bens imóveis;300.50.200;Testamento, constituição do direito de superfície por
Constituição do direito de superfície sobre bens imóveis;300.50.200;Usucapião, direito de superfície sobre imóvel por
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Arrendamento de terras da Bolsa Nacional de terras
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Arrendamento temporário de espaço 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Arrendamento, utilização de imóvel por
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Atribuição de lugar em feira
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Atribuição de lugar em mercado
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Bolsa Nacional de terras, arrendamento de terras da 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Bolsa Nacional de terras, cedência de terras da 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Cedência de espaço a entidade sem fins lucrativos 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Cedência de terras da Bolsa Nacional de terras
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Cedência de utilização de imóvel 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Comodato, utilização de imóvel por
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Empréstimo externo de instalações 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Filmagens, pedido para utilização de imóvel para realização de
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Locação, utilização de imóvel por 
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Lugar em feira, atribuição de
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Lugar em mercado, atribuição de
Arrendamento ou cedência de utilização de bens imóveis;300.50.201;Pedido para filmagens, arrendamento ou cedência de utilização de bens imóveis na sequência de
Cedência de bens móveis culturais;300.50.202;Cedência de imagens 
Cedência de bens móveis culturais;300.50.202;Empréstimo bibliográfico a entidade externa
Cedência de bens móveis culturais;300.50.202;Empréstimo de bem móvel cultural a entidade externa
Cedência de bens móveis culturais;300.50.202;Empréstimo de documento de arquivo a entidade externa
