Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
200.20.502;Acreditação de agentes diplomáticos;"Ato através do qual um Estado acredita determinada pessoa como agente diplomático ao seu serviço para, nessa qualidade, atuar perante outro Estado ou perante uma organização internacional.
Inicia com o pedido e termina com a emissão de cartas credenciais, cartas de plenos poderes, cartas de gabinete e/ou de cartões.
Inclui instrução do processo e consulta ao Serviço de Estrangeiros e Fronteiras para visar a emissão de cartões, o qual confere antecedentes e insere dados no sistema informático.
";"Atribuição de cartas de acreditação, nomeadamente, os documentos relativos às instalações da representação e aos procedimentos de acreditação dos titulares#
Identificação de agentes diplomáticos e consulares (Anterior PN 400.10.030)#
Identificação de pessoal administrativo e doméstico, ou equiparado, em missões diplomáticas ou de organizações internacionais e aos membros das respetivas famílias#


";;"A Concessão de imunidades e privilégios deve ser considerada em 200.20.501 –  Concessão de imunidades, dispensas e privilégios#
A formalização do direito de residência em Portugal de cidadão da União Europeia, da Islândia, do Liechtenstein, da Noruega e da Suíça deve ser considerado em 400.10.004 – Registo de cidadãos da União Europeia#
A autorização de residência deve ser considerada em 550.10.303 – Autorização de residência#
A identificação de estrangeiros de países terceiros deve ser considerada em 400.10.029 – Emissão de título de residente#";"Regulamento (CE) 562/2006# 
DL 48295/68#";"Regulamento (CE) 562/2006 do Parlamento Europeu e do Conselho#
Regime especial previsto para pessoal diplomático e consular decorre do disposto nos artºs 29 e segs. da Convenção de Viena (Decreto-Lei n.º 48295/68) sobre relações diplomáticas e dos arts. 46 e 47 da Convenção de Viena sobre relações consulares#";PE;S;SGMNE#;SEF#;Apreciar#;;;;Reduzida;S;20;;"Critério legal:
Por analogia com a emissão de passaportes -
[DL 86/2000], artº 12 ""Os dados pessoais são conservados até 10 anos após a última emissão do passaporte do seu titular e durante 20 anos em ficheiro histórico após a data da última emissão de passaportes.""";Data da emissão do documento de identificação;C;"Densidade informacional:
Não é recuperável noutro PN.";;
200.30;Projetos de execução da política externa;"Compreende o conjunto das atividades que concretizam projetos de política externa realizados no país ou no estrangeiro, no que se inclui o respetivo planeamento operacional, controlo e avaliação.
Consideram-se projetos de execução da política externa aqueles que cumprem objetivos políticos que o Estado português pretende alcançar nas suas relações com outros países.";Os projetos de execução da política externa podem manifestar-se através de relações de cooperação interinstitucional mas são, por princípio, politicamente enquadrados por acordos de Estado.#;"Projetos de ajuda pública ao desenvolvimento (também designados de cooperação para o desenvolvimento)#
Missões de ajuda humanitária no estrangeiro#
Missões de observação eleitoral no estrangeiro#
Atribuição de prémios estabelecidos em acordos bilaterais ou multilaterais#
Homenagens atribuídas a representantes de outros Estados ou de entidades externas, ou recebidas por entidades portuguesas, enquanto atos de política externa#
Ações de promoção do país no estrangeiro, de caráter geral ou específico (com incidência comercial, cultural ou outra), no que se inclui a organização da representação nacional em feiras e outros eventos internacionais#
Apoio logístico à internacionalização das empresas e dos agentes culturais portugueses#
Apoio e acompanhamento ao recrutamento de funcionários e agentes portugueses para instituições EU e agências EU no que se inclui o registo de portugueses em instituições da EU#
Colaboração em ações de promoção de países estrangeiros em Portugal#";"Nem todos os projetos de cooperação internacional devem ser aqui considerados. Concretamente, os projetos e ações que dão execução a outras funções do Estado deverão ser considerados na área funcional correspondente, ainda que sejam implementados ao abrigo de acordos internacionais de cooperação.#
Participação em operações de manutenção da paz considerar em ""Execução de operações de segurança, proteção ou defesa/ Missões de defesa e apoio à paz"" (550.30)#
Candidatura a programa de cooperação transfronteiriça no quadro europeu considerar em ""Execução de programas e de ações de incentivo/ Atribuição e controlo de financiamentos e de ajudas diretas"" (850.10)#
Solicitação e execução de pedidos apresentados pelos tribunais nacionais para outros Estados ou de outros Estados para Portugal (execução de cartas rogatórias, detenção ao abrigo de mandato europeu ou internacional, extradição, entre outros), devem ser consideradas em ""Administração da Justiça"" (600)#
O auxílio judiciário prestado pelo Estado português a uma entidade estrangeira deve ser considerado em ""Prestação de serviços de proteção e inclusão social/ Serviços e equipamentos sociais"" (650.20)#
As ações para a definição da posição portuguesa em todos os casos de pré-contencioso e contencioso comunitário devem ser consideradas em ""Administração da Justiça"" (600)#
Os Pareceres sobre compatibilidade dos diplomas nacionais com o direito comunitário e as notificações à Comissão Europeia sobre a transposição de diretivas devem ser considerados em ""Ordenamento jurídico e normativo"" (100)#";;;;;;;;;;;;;;;;;;;;
200.30.001;Coordenação e execução de ações de ajuda humanitária e de emergência;"Organização de respostas a situações de calamidade ou de emergência identificadas pelos serviços, organizadas em função de uma decisão da tutela ou decorrentes de apelos das Nações Unidas, das missões afetadas ou das representações diplomáticas nacionais nos países beneficiários.
Inicia com a informação da situação de calamidade ou emergência e termina com o envio de apoio.
Inclui a receção dos pedidos de apoio, informação da solicitação de elementos adicionais às entidades envolvidas, análise da viabilidade do empreendimento e de apuramento dos encargos deles resultantes, autorização, notificação da decisão à embaixada.
A participação da Administração Local neste processo ocorre nas fases de solicitação de contributos e de planeamento da organização logística, em articulação com outras entidades.";"Ajuda humanitária internacional#
Apoio a ações concretas desenvolvidas no terreno por Organizações da Sociedade Civil (OSC)#
Deslocação de técnicos para zonas carenciadas de ajuda humanitária ou de emergência#
Envio de bens materiais ou equipamento específico necessários#";;"A aquisição de bens no âmbito da resposta a catástrofes deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
A cabimentação de verbas necessárias para as ações de ajuda humanitária e de emergência, devem ser consideradas em 350.10.600 – Lançamento de receitas e de despesas#";"Lei 27/2006#
Lei Orgânica n.º 1/2011#
Lei 80/2015#
RCM 65/2015#";"Lei 27/2006, de 3 de julho, alterada pela Lei Orgânica n.º 1/2011, de 30 de novembro#
Lei 80/2015, de 3 de agosto#
RCM 65/2015#";PE;S;"DGPE#
";"ANPC#
FA#
FS#
INMLCF#
PJ#
Camões#
DGS#
ANPC#
DGPDN#
AL#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#";"150.10.500#
150.10.700#
150.10.701#
200.10.800#
300.10.005#
350.30.001#
350.10.600#
550.30.004#
550.30.600#
550.30.601#
800.10.603#
";"Elaboração de instrumentos de cooperação interinstitucional#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Celebração de acordos e outros atos internacionais#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Cobrança de receitas e pagamento de despesas#
Lançamento de receitas e de despesas#
Evacuação de cidadãos nacionais em áreas de tensão#
Participação em operações de resposta a crises#
Participação em missões de apoio à paz#
Realização de perícias#";"Sucessão (sucessor)#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Cruzada#";Elevada;S;;;;;;;;
200.30.001.01;Coordenação e execução de ações de ajuda humanitária e de emergência: coordenação;"Inicia com o pedido de ajuda internacional (ECHO) e termina com a notificação da decisão à embaixada.
Inclui o planeamento da organização logística desde a receção dos pedidos de apoio, informação da solicitação de elementos adicionais às entidades envolvidas, análise da viabilidade do empreendimento e de apuramento dos encargos deles resultantes, autorização, notificação da decisão à embaixada.

";;;;;;;;;;;;;;;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Densidade informacional:
Informação sintetizada em
PN 200.30.001.02 - Coordenação e execução de ações de ajuda humanitária e de emergência: execução.";;
200.30.001.02;Coordenação e execução de ações de ajuda humanitária e de emergência: execução;"Inicia com o envio de apoio e termina com o fim da ação de ajuda humanitária e de emergência.
Incluí a deslocação de técnicos para zonas carenciadas de ajuda humanitária ou de emergência e o respectivo envio de bens materiais ou equipamento específico para a concretização de ações no terreno.
";;;;;;;;;;;;;;;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;E;"Densidade informacional:
Sintetiza a informação de
PN 200.30.001.01 - Coordenação e execução de ações de ajuda humanitária e de emergência: coordenação.";;
200.30.300;Aprovação de projetos da sociedade civil;"Seleção, contratação e acompanhamento de projetos de cooperação para o desenvolvimento e de educação para o desenvolvimento no âmbito da Sociedade Civil, controlo e fiscalização da respetiva execução  material e financeira.
Inicia com a apresentação do projeto e termina com a comunicação da decisão.
Inclui a análise e a consulta de outras entidades.";;;;;;PE;S;Camões#;;;;;;;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Densidade informacional:
A informação não está sintetizada noutros PN.";;
200.30.301;Conceção de programas de cooperação e de ajuda pública ao desenvolvimento;"Elaboração dos instrumentos de orientação estratégica que estabelecem os critérios, os objetivos e os atores envolvidos, bem como os mecanismos e os recursos necessários à prossecução das políticas de cooperação para o desenvolvimento, normalmente designados por programas de cooperação.
Inicia com proposta e termina com aprovação de programa de cooperação e ajuda pública ao desenvolvimento.
Inclui articulação com autoridades de países parceiros, recolha de contributos para a elaboração do programa, consulta de informação relativa a anteriores programas de cooperação, articulação com organizações não-governamentais, constituição e mandatos de grupos de trabalho, nomeação de representantes, elaboração e análise de planos de ação, de quadros de caracterização das medidas e de ações de implementação e elaboração de proposta de programa.";"Conceção de programas de cooperação e ajuda pública ao desenvolvimento#
Revisão de programas já existentes#
";;"A celebração de acordos, tratados e protocolos deve ser considerada em 200.10.800 – Celebração de acordos e outros atos internacionais#
A execução de projetos decorrentes de programas de cooperação, acordos, protocolos e outros atos internacionais devem ser classificados em 200.30.302 – Execução de projetos de cooperação para o desenvolvimento#";RCM 17/2014;;PC;S;"Camões#
AL#";AP#;Assessorar#;"150.10.100#
150.10.500#
150.10.700#
150.10.701#
200.10.002#
200.10.800#
200.20.001#
200.30.302#
200.30.303#";"Definição de políticas setoriais#
Elaboração de instrumentos de cooperação interinstitucional#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Representação e participação em organizações internacionais#
Celebração de acordos e outros atos internacionais#
Acompanhamento da situação política internacional#
Execução de projetos de cooperação para o desenvolvimento#
Acompanhamento e avaliação da execução de projetos de cooperação e de ajuda pública ao desenvolvimento#";"Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetiza)#
Complementar#";;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Complementaridade informacional:
É complementar do
PN 200.30.303 - Acompanhamento e avaliação da execução de projetos de cooperação e ajuda pública ao desenvolvimento.";;
200.30.302;Execução de projetos de cooperação e de ajuda pública ao desenvolvimento;"Concretização de projetos decorrentes de acordos e protocolos de cooperação.
Inicia com apresentação de proposta de projeto específico e termina com aprovação de relatório final de execução técnica e financeira.
Inclui discussão de propostas apresentadas, caracterização das ações a desenvolver, aprovação do projeto, preparação dos meios necessários para o desenvolvimento do projeto e acompanhamento da sua execução.";"Execução de projetos de cooperação ao abrigo de acordos e protocolos de geminação de municípios portugueses com estrangeiros#
Execução de projetos no âmbito de acordos entre regiões transfronteiriças, transnacionais e interregionais#
Execução de projetos no âmbito de programas de cooperação e ajuda pública ao desenvolvimento em parceria com a Sociedade Civil ou Organizações Internacionais#
Execução de projetos no âmbito de programas de cooperação e assistência militar de natureza bilateral e multilateral #";"Ações de formação e treino, âmbito de programas de cooperação e assistência militar de natureza bilateral e multilateral #
Assistência militar a fim de apoiar a politica externa do Estado no quadro das relações internacionais de cooperação, nomeadamente no âmbito CPLP, da NATO e EU#";"A formalização de acordos ou protocolos internacionais deve ser considerada em 200.10.800 – Celebração de acordos e outros atos internacionais#
A conceção de programas no âmbito dos quais se desenvolvem projetos de cooperação para o desenvolvimento, deve ser considerada em 200.30.301 – Conceção de programas de cooperação e de ajuda pública ao desenvolvimento#";RCM 17/2014;;PC;S;AP#;Camões#;Comunicar#;"150.10.100#
150.10.700#
150.10.701#
200.10.002#
200.10.800#
200.30.301#
200.30.303#
850.10.002#
850.10.003#
850.10.004#
850.10.005#";"Definição de políticas setoriais#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Representação e participação em organizações internacionais#
Celebração de acordos e outros atos internacionais#
Conceção de programas de cooperação e ajuda pública ao desenvolvimento#
Acompanhamento e avaliação da execução de projetos de cooperação e ajuda pública ao desenvolvimento#
Formalização de candidaturas e acompanhamento de apoios regulares#
Formalização de candidaturas e acompanhamento de apoios pontuais#
Controlo da atribuição dos incentivos financeiros#
Formalização de candidaturas a ajudas diretas#";"Sucessão (sucessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;E;"Densidade informacional:
A informação encontra-se sintetizada e é recuperável nos
PN 200.30.301 - Conceção de programas de cooperação e ajuda pública ao desenvolvimento;
PN 200.30.303 - Acompanhamento e avaliação da execução de projetos de cooperação e ajuda pública ao desenvolvimento.";;
200.30.303;Acompanhamento e avaliação da execução de projetos de cooperação e de ajuda pública ao desenvolvimento;"Avaliação dos programas de cooperação e de ajuda ao desenvolvimento, executados por entidades públicas e privadas
Inicia com verificação de procedimentos previamente estabelecidos e termina com a apresentação de relatório final.
Inclui, quando devido, apresentação de caderno de encargos, convite ou candidatura do avaliador, apresentação do memorando da cooperação em análise, compilação de informação de referência, análise da matriz de seguimento das recomendações, produção de relatórios das reuniões, avaliação do seguimento das recomendações e do respetivo plano de implementação e produção de um relatório final da avaliação.";"Avaliação de projetos no âmbito de acordos e protocolos de geminação de municípios portugueses com estrangeiros#
Exames a Portugal, no âmbito da OCDE, assim como os exames de outros estados-membros nos quais Portugal é avaliador#
Produção de recomendações no âmbito dos processos de avaliação das políticas de cooperação para o desenvolvimento#
Verificação da adequação do sistema aos compromissos internacionais e aos objetivos nacionais#
Verificação da implementação de recomendações#
Acompanhamento de projetos de cooperação internacional#";;"A celebração de acordos e outros atos internacionais deve ser considerada em 200.10.800 – Celebração de acordos e outros atos internacionais#
Os projetos decorrentes de programas de cooperação, acordos, protocolos e outros atos internacionais devem ser considerados em 200.30.302 – Execução de projetos de cooperação e de ajuda pública ao desenvolvimento#


";RCM 17/2014;;PC;S;"Camões#
AL#";AP#;"Assessorar#
";"200.10.002#
200.30.301#
200.30.302#
850.10.004#";"Representação e participação em organizações internacionais#
Conceção de programas de cooperação e ajuda pública ao desenvolvimento#
Execução de projetos de cooperação para o desenvolvimento#
Controlo da atribuição dos incentivos financeiros#";"Cruzada#
Complementar#
Sintese (sintetiza)#
Cruzada#";;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Complementaridade informacional:
É complementar do
PN 200.30.301 - Conceção de programas de cooperação e ajuda pública ao desenvolvimento.";;
200.30.600;Apoio à internacionalização e à promoção do país ;"Realização de ações de promoção da imagem de Portugal no estrangeiro e de apoio à internacionalização de empresas, ou agentes culturais, portugueses. 
Inicia com contacto entre entidades e termina com a realização de eventos de promoção e de apoio à internacionalização. 
Inclui compilação de dados e informação, realização de estudos de natureza social, cultural e económica, programação e calendarização de iniciativas, definição de recursos a afetar e planeamento das ações a desenvolver. ";"Apoio à participação nacional em feiras, certames, festivais e plataformas internacionais de promoção do país#
Divulgação internacional de produtos e marcas portuguesas#
Atração de investimento estrangeiro#
Fomento de intercâmbio cultural#
Fomento de intercâmbio empresarial#
Divulgação internacional de autores e criadores de língua portuguesa#
Promoção da língua portuguesa# 
Promoção de projetos e conteúdos ligados à criação portuguesa#
Apoio à circulação de agentes culturais no estrangeiro#
Apoio à internacionalização de entidades privadas no estrangeiro#
Participação em organismos multilaterais, através de atividades de natureza cultural, de promoção do país#";;"A aquisição de bens e serviços no âmbito da organização de eventos e respetivo apoio logístico deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
As ações de dinamização da sociedade em Portugal devem ser consideradas em 900.10 – Execução de atividades de dinamização da sociedade#
Os pedidos de informação sobre oportunidades de negócio e de investimento que se esgotam na pergunta e resposta, nunca se consubstanciando em ações concretas, devem ser considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#";"DL 20/2014
Lei 105/2007
Lei 3/2004#
Lei 4/2004#
Despacho regulamentar 1989/2011#";"DL 20/2014
Lei 105/2007
(introduz alterações às Lei 3/2004 e Lei 4/2004)#
Despacho regulamentar 1989/2011#";PC;S;"Camões#
AL#
IAPMEI#
Cinemateca#
DGLAB#
AICEP#";AP#;Assessorar#;"150.10.100#
150.10.600#
150.20.101#
150.20.300#
200.20.500#
300.30.008#
850.10.002#
850.10.003#
850.10.500#
850.10.600#
900.20.001#
900.20.002#
900.20.200#
900.20.400#";"Definição de políticas setoriais#
Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Avaliação de atividades#
Organização de visitas de Estado ou equiparadas#
Registo de documentos e informação#
Formalização de candidaturas e acompanhamento de apoios regulares#
Formalização de candidaturas e acompanhamento de apoios pontuais#
Atribuição de prémios#
Atribuição de patrocínios#
Criação de imagem e identidade gráficas#
Criação de produtos e artigos promocionais#
Conceção de conteúdos institucionais para divulgação#
Elaboração de informações ou esclarecimentos institucionais para a comunicação social#";"Sucessão (sucessor)#
Sintese (sintetizado)#
Sucessão (sucessor)#
Sintese (sintetizado)#
Cruzada#
Sintese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;N;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;E;"Densidade informacional:
A informação encontra-se sintetizada e é recuperável nos PN 150.10.600 - Avaliação de políticas e instrumentos de operacionalização, PN 150.20.300 - Avaliação de atividades e PN 300.30.008 - Registo de documentos e informação.";;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
