Estado;Código;Título;PN que aglutina;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;
;"450.10.445.01






";Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;;"Inicia com o pedido ou apresentação de candidatura e termina com a proposta de decisão.
Inclui análise do pedido, consulta de entidades, audiência de interessados e comprovativo do pagamento do valor devido.";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
[DL 433/99], CPPT, art 27º, n.º 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade acreditada)

";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade);E;"Critério: Densidade informacional
Informação sintetizada no PN 450.10.445.02 - Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título";;;;;;;;;;;
;"450.10.445.02


";Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;;"Inicia com decisão sobre a acreditação e termina com a comunicação das entidades acreditadas.
Inclui admissão de documento comprovativo de acreditação, se aplicável.";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
[DL 433/99], CPPT, art 27º, n.º 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade acreditada)

";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade);C;"Critério: Densidade informacional
Informação que sintetiza a sintetizada o PN  450.10.445.01 - Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições";;;;;;;;;;;
;450.10.446;Reconhecimento de fundações;"450.10.422
450.10.423";"Atribuição de personalidade jurídica a fundação.
Inicia com o pedido de reconhecimento e termina com o envio para publicação.
Inclui instrução do pedido, identificação dos objetivos da fundação, identificação dos bens necessários para a prossecução dos objetivos, verificação dos estatutos, decisão e respetiva notificação.
";"Autorização para a criação de fundações privadas#
Autorização para a criação de fundações públicas de direito público#
Autorização para a criação de fundações públicas de direito privado#
Autorização para abertura de representação permanente de fundação estrangeira (Anterior PN 450.10.423)#
Alteração de estatutos de fundação#
Autorização para a criação de fundações de solidariedade social#
Autorização para a criação de fundações de cooperação para o desenvolvimento#
Autorização para a criação de fundações de estabelecimentos de ensino superior privados#
";;"A extição de fundação deve ser considerada em 350.40.602 – Liquidação de entidades#
A atribuição do estatuto de utilidade pública deve ser considerado em 450.20.001 – Reconhecimento de pessoas coletivas de utilidade pública#";"Portaria 75/2013#
Lei 24/2012#
DL 47344/66#";;PE;N;SGPCM#;;;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
400.10.009#
400.10.200#
400.30.001#
500.10.001#
500.10.300#
500.10.301#
900.20.201#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo Nacional de Pessoas Coletivas#
Registo comercial#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Edição e publicação de conteúdos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória (Lei 98/97, artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade acreditada)";Data da extinção da entidade;E;"Critério: densidade informacional
Informação que se encontra sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha e tratamento de dados estatísticos para apoio à decisão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.009 - Registo nacional de pessoas coletivas;
PN 400.10.200 - Registo comercial;
Informação recuperável em
PN 400.30.001 - Celebração de contratos, escrituras, títulos equivalentes e testamentos;
PN 900.20.201- Edição e publicação de conteúdos.
";;;;;;;;;;;
;450.10.447;Reconhecimento da natureza, âmbito e representatividade de entidades;"450.10.406
450.10.409
450.10.419
450.10.420
450.10.421";"Identificação da natureza jurídica, do âmbito de atuação e do carater representativo a entidades.
Inicia com a apresentação do pedido e termina com a emissão ou retirada do respetivo título de reconhecimento e de utilização de denominação ou com o registo, quando devido.
Inclui  a análise do pedido, eventual pedido de novos elementos ou confirmação de informação, consulta de entidades, emissão de parecer, despacho de decisão, notificação da decisão ao interessado, período de contraditório, caso seja necessário, e comprovativo de pagamento do montante devido.
";"Reconhecimento da natureza agricola de cooperativas agrícolas#
Reconhecimento de associações de estudantes (Anterior PN 450.10.406)#
Reconhecimento de associações de imigrantes (Anterior PN 450.10.419)#
Reconhecimento de associações de jovens e equiparadas (Anterior PN 450.10.420)#
Equiparação ao estatuto de associação juvenil (Anterior PN 450.10.421)#
Reconhecimento de associações de municípios e de freguesias#
Reconhecimento de organizações não governamentais para o desenvolvimento#
Reconhecimento de Instituições# particulares de solidariedade social (IPSS)#
Reconhecimento de dirigente associativo jovem (Anterior PN 450.10.409)#
Registo de associações de pais e encarregados de educação#
Reconhecimento como sociedade de agricultura de grupo ou outras formas congéneres# ";;"A atribuição do estatuto de utilidade pública deve ser considerado em 450.20.001 – Reconhecimento de pessoas coletivas de utilidade pública#
A publicação de lista de títulos de reconhecimento atribuídos deve ser considerada em 900.20.201 – Edição e publicação de conteúdos#";"Portaria 376/2015#
DL  124/2013#
Lei 75/2013#
Lei 55/2012#
Portaria 771/2009#
Portaria 71/2003#
Portaria 478/99#
DL 129/98#
Lei 35/98#";;PE;S;"DGADR#
SGPCM#
";AL#;Apreciar#;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
400.10.009#
400.10.053#
400.10.200#
400.30.001#
500.10.001#
500.10.300#
500.10.301#
900.20.201#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo Nacional de Pessoas Coletivas#
Registo de organizações da sociedade civil em autoridade setorial#
Registo comercial#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Edição e publicação de conteúdos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória (Lei 98/97, artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade acreditada)";Data da extinção da entidade;E;"Critério: densidade informacional
Informação que se encontra sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha e tratamento de dados estatísticos para apoio à decisão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.009 - Registo nacional de pessoas coletivas;
PN 400.10.200 - Registo comercial;
Informação recuperável em
PN 400.30.001 - Celebração de contratos, escrituras, títulos equivalentes e testamentos;
PN 900.20.201 - Edição e publicação de conteúdos.";;;;;;;;;;;
;450.10.448;Credenciação de segurança e acesso;"450.10.415
450.10.416
450.10.615";"Autorização para aceder e manusear informação sensível bem como para desenvolver atividades específicas que envolvam o uso dessa informação ou que necessitem de credenciação de acesso ou de segurança.
Inicia com o pedido de credenciação e termina com a comunicação da decisão.
Inclui análise do pedido, decisão e emissão do certificado de credenciação ou de chaves de acesso.
";"Credenciação dos pontos de presença do sistema europeu de georreferenciação#
Aplica-se à autoridade responsável pela componente#
codificada do sistema GALILEO#
Credenciação de segurança a entidades para o exercício de atividades industriais, tecnológicas e de investigação Ex (PN 450.10.415)#
Credenciação de segurança de pessoas singulares ou coletivas para administração de informação classificada (Anterior PN 450.10.416)#
Processamento de dados para credenciar os pontos de contacto nacionais no âmbito da componente de segurança#
Gestão de chaves de acesso em sistemas de segurança#
Credenciação de pessoal ao nível dos subregistos e postos de controlo, de postos diplomáticos e NATO#
Credenciação de segurança na componente codificada do sistema GALILEO (Anterior PN 450.10.615)#
Renovação e elevação da credenciação#
Credenciação de sistemas de apoio a situações de sobreendividamento#";;;"RCM 36/2015#
Lei 20/2014#
RCM 42/2012#
RCM 12/2012#
Lei 49/2009#
Lei 36/2003#
RCM 16/94#
RCM 13/93#
RCM 5/90#
RCM 37/89#
RCM 50/88#";;PE;N;"GNS#
SIS#
SGPCM#
PM#
DGRDN#
";;;"500.10.001#
500.10.300#
500.10.301#";"Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à ao produto)";data do encerramento do processo;C;"Densidade informacional
Informação que não se encontra sintetizada nem é recuperável em nenhum outro PN";;;;;;;;;;;
;"450.10.640


";Autorização de introdução de produtos e substâncias no mercado;"450.10.621
450.10.622
450.10.623
450.10.624
450.10.631
450.10.633
450.10.634
450.10.637";"Permissão para colocar novos produtos ou substâncias no mercado nacional.
Inicia com o pedido e termina com a autorização ou com a comunicação da autorização, quando devido.
Inclui análise do pedido, verificação de conformidade com documentos reguladores, fundamentação da decisão, emissão de certificado, notificação ao interessado, cálculo da taxa devida e comprovativo do seu pagamento.

 

            
";"Autorização de introdução no mercado (AIM) de medicamentos por procedimento nacional (Anterior PN 450.10.621)#
Autorização de introdução no mercado (AIM) de medicamentos por procedimento de reconhecimento mútuo (Anterior PN 450.10.622)#
Autorização de introdução no mercado (AIM) por procedimento descentralizado (Anterior PN 450.10.623)#
Autorização de introdução no mercado (AIM) de medicamentos por procedimento centralizado (Anterior PN 450.10.624)#
Autorização de colocação no mercado de produtos biocidas (Anterior PN 450.10.633)#
Notificação para o período transitório de produtos biocidas (Anterior PN 450.10.634)#
Autorização de novas marcas de tabaco manufaturado, ou quaisquer alterações dos elementos de marcas ja existentes#
Procedimento europeu de registo, avaliação, autorização e restrição de substâncias químicas e misturas (REACH)#
Autorização de novas marcas de tabaco manufaturado, ou quaisquer alterações dos elementos de marcas já existentes#


";;;"DL 176/2006#
DL 144/2004#
DL 121/2002#
DL 73/2010#
DL 20/2013#";;PE;N;"INFARMED#
AT#
APA#";;;"150.20.300#
300.30.008#
350.10.301#
350.30.001#
400.10.411#
500.10.001#
500.10.300#
500.10.301#
550.10.307#
800.10.301#
800.10.304#
800.10.601#";"Avaliação de atividades#
Registo de documentos e informação#
Liquidação dos Impostos Especiais Sobre o Consumo#
Cobrança de receitas e pagamento de despesas#
Registo de Drug Master Files (DMF)#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Controlo e implementação de medidas de segurança de medicamentos e produtos de saúde#
Monitorização de índices da qualidade ambiental#
Monitorização de segurança de medicamentos após autorização de introdução no mercado (AIM)#
Realização de ensaios laboratoriais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Cruzada#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
[DL 433/99], CPPT, art 27º, n.º 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à ao produto)";data da caducidade ou cancelamento da licença ou da revogação da autorização (sendo que no caso das autorizações permanentes, deve considerar-se a data da extinção do produto no mercado);E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
PN 400.10.411 - Registo de Drug Master Files;

";;;;;;;;;;;
;450.10.641;Autorização para atribuição de designação a produtos;450.10.620;"Permissão para conceder denominação a produtos de acordo com critérios definidos.
Inicia com a receção do pedido e termina com a comunicação da decisão.
Inclui análise do processo, decisão sobre o pedido e comprovativo de pagamento do valor devido.  ";"Autorização para atribuição da designação de medicamento órfão (Anterior PN 450.10.620) concedida pelo Comité de Medicamentos Órfãos,que funciona na dependência da Agência Europeia do Medicamento (designação dada a substâncias utilizadas no tratamento e/ou diagnóstico de doenças raras, que ponham a vida em perigo, gravemente debilitantes ou uma afeção grave e crónica, com base num número definido de critérios)#
";;;DL 176/2006#;;PE;N;INFARMED#;;;"150.20.300#
300.30.008#
400.10.411#
";"Avaliação de atividades#
Registo de documentos e informação#
Registo de Drug Master Files (DMF)#

";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito ao produto)";data de revogação da autorização ;C;"Embora a informação se encontre sintetizada em
PN 150.20.300 - Avaliação de atividades e PN 300.30.008 - Registo de documentos, não se dispõe de PN sintetizador sobre o argumentário utilizado, pelo que aplicando a escala de risco se opta pela conservação.";;;;;;;;;;;
;450.10.643;Autorização de preço de produtos;"450.10.628
450.10.629
";"Aprovação de preço de produto ou reavaliação a título excecional do preço por motivos de interesse público ou por iniciativa do titular da autorização de introdução no mercado.
Inicia com o pedido e termina com a notificação da decisão ao requerente.
Inclui avaliação do pedido,comparação internacional de preços, consulta de entidades, quando devido, comparticipação das partes (ex.: valor da comparticipação do Serviço Nacional de Saúde) e decisão.";"Autorização do preço de venda ao público (PVP) de medicamentos (PN 450.10.628)#
Revisão excecional de preços (PN 450.10.629), nomeadamente quando o medicamento não é economicamente vantajoso para o fabricante#
Pode autorizar-se a alteração de preço quando não há alternativa terapêutica#";;;"DL 34/2013#
DL 97/2015#
Portaria 195-C/2015#";;PE;N;INFARMED#;;;"150.20.300#
150.40.500#
150.20.404#
300.30.008#
350.10.400#
350.10.600#
350.30.001#
500.10.001#
500.10.300#
500.10.301#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Prestação de contas#
Registo de documentos e informação#
Liquidação dos direitos e demais imposições aduaneiras#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#


";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito ao produto)";data do encerramento do processo;E;"Critério: densidade informacional
Informação que se encontra sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha e tratamento de dados estatísticos para apoio à decisão;
PN 300.30.008 - Registo de documentos e informação;";;;;;;;;;;;
;450.10.644;Autorização para transação de produtos;"450.10.043
450.10.610
450.10.617
450.10.626
450.10.630";"Permissão para transacionar ou comercializar bens e produtos sensíveis podendo a transação ser a título oneroso ou gratuito e revestir-se das modalidades de aquisição por grosso, importação, expedição e exportação.
Pode tratar-se de autorização com caráter de exceção por motivos de saúde pública.
Inicia com o pedido ou comunicação prévia e termina com a comunicação da decisão ou emissão do certificado para comercialização.
Inclui a instrução do processo, análise dos requisitos exigidos, peritagem ou verificação, consulta de entidades (quando necessário) e decisão.

 ";"Emissão de certificados para comercialização de hemoderivados e vacinas (Anterior PN 450.10.626)#
Autorização de utilização de lotes de medicamentos hemoderivados e vacinas  (Anterior PN 450.10.626)#
Autorização de libertação de lotes de medicamentos hemoderivados e vacinas (Anterior PN 450.10.626)#
Certificado Oficial Europeu de Libertação de Lote#
Certificado de Autorização de Utilização de Lote#
Importação, expedição ou exportação de bens do património cultural (Anterior PN 450.10.610)#
Licença de expedição, exportação, importação e admissão de bens culturais móveis# 
Autorização de expedição, exportação, importação e admissão de bens culturais móveis#
Importação e exportação de armas e munições (Anterior PN 450.10.617)#
Realização de peritagens ou verificação de armas e seus acessórios no âmbito da autorização para a importação e exportação de armas#
Autorização de aquisição de armas e munições (Anterior PN 450.10.043)#
Movimentos de entrada e saída temporária de armas em território nacional#
Autorização de importação e a exportação de armas, partes essenciais de armas de fogo, munições, cartuchos ou invólucros com fulminantes ou só fulminantes#
Autorização de importação e exportação de explosivos e matérias perigosas#
Autorização de aquisição direta de medicamentos (Anterior PN 450.10.630)#
Autorização de aquisição direta de substâncias estupefacientes e psicotrópicas#
Licenciamento para aquisição direta#
Autorização de importação paralela#
Autorização de utilização excecional (AUE)# 
Autorização de comercialização de medicamentos sem autorização ou registo válido (SAR)#";;"A permissão para a mudança temporária de lugar e para a importação/ exportação temporária de bens móveis culturais classificados, ou em vias de classificação, deve ser considerada em 450.10.646 – Autorização de circulação de bens e produtos sujeitos a regime especial#
A autorização de importação temporária de armas e munições deve ser considerada em 450.10.646 – Autorização de circulação de bens e produtos sujeitos a regime especial#";"DL 176/2006#
Lei 107/2001#
DL 16/93#";;PE;S;"INFARMED#
SGPCM#
AT#
DGPC#
DGLAB#
BNP#
Cinemateca#
PSP#";"PSP#
AL#
";"Assessorar#
Iniciar#";"150.20.300#
300.10.004#
300.30.002#
300.30.008#
400.10.410#
400.10.411#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Transação e transmissão de bens móveis culturais#
Inventariação de bens móveis culturais#
Registo de documentos e informação#
Registo de armas e munições#
Registo de Drug Master Files (DMF)#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
";"Síntese (sintetizado)#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito ao produto)";data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
E recuperável em
PN 400.10.410 - Registo de armas e munições;  
PN 400.10.411 - Registo de Drug Master Files;
PN 450.20.503 - Inventariação de património cultural.";;;;;;;;;;;
;"450.10.645

";Autorização de uso controlado de produtos e equipamentos;"450.10.033
450.10.427
450.10.612
450.10.618
450.10.625
450.10.627
450.10.006";"Permissão para, em circunstancias específicas, usar equipamentos e produtos sensíveis de modo controlado.
Inicia com o pedido e termina com a notificação da decisão ao interessado ou com a assinatura de contrato.
Inclui instrução do processo, avaliação das circunstâncias do uso pretendido, consulta de entidades, quando devido e decisão.
";"Avaliação prévia de tecnologias de saúde para utilização nos estabelecimentos do Serviço Nacional de Saúde#
Autorização de utilização de medicamentos pelos hospitais do Serviço Nacional de Saúde (Anterior PN 450.10.625)#
Autorização para utilização terapêutica de substâncias proibidas (Anterior PN 450.10.612)#
Autorização de uso de equipamentos (Anterior PN 450.10.618)#
Autorização de utilização de medicamentos em ambulatório (Anterior PN 450.10.627)#
Autorização para utilização de detetores de metais (Anterior PN 450.10.033)#
Autorização de uso e porte de armas ou detenção (Anterior PN 450.10.427)#
Licenciamento de equipamentos sob pressão#
Permissão para a utilização de sistemas de vigilância através de câmaras de vídeo por parte das forças e serviços de segurança em locais públicos de utilização comum (PN 450.10.006)#";;;"DL 140/2005#
DL 176/2006#
Lei 5/2006#";;PE;N;"INFARMED#
SGPCM#
IPQ#
PSP#";;;"150.20.300#
300.30.008#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito ao produto)";data de encerramento do processo;CP;"Não se dispõe de PN sintetizador sobre o tipo de utilização licenciada e suas condições. A enumeração e tipificação dos casos é recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;
;450.10.646;Autorização de circulação de bens e produtos sujeitos a regime especial;"450.10.609
";"Permissão para a movimentação de entrada e saída temporária e para a mudança de lugar de bens móveis sensíveis que necessitam de controlo, classificados ou em vias de classificação.
Inicia com o pedido ou comunicação prévia e termina com a decisão.
Inclui a análise, consulta de entidades, quando devido, registos operacionais sobre a circulação dos bens.";"Circulação de bens móveis culturais classificados (PN 450.10.609)#
Permissão para a mudança de lugar de bens móveis culturais classificados ou em vias de classificação# 
Autorização de importação temporária de armas e munições destinadas a integrar mostruários e demonstrações, a pedido de agentes comerciais e de representantes de fábricas nacionais ou estrangeiras, credenciadas pela PSP#
Importação temporária de armas dos seus proprietários e/ou organismos que promovem as iniciativas destinadas à prática venatória, competições desportivas ou feiras de colecionadores, reconhecidas pelas respetivas federações ou associações e autorização prévia a agentes comerciais e de representantes de fábricas nacionais ou estrangeiras#";;A autorização de aquisição, importação /exportação definitiva (com transmissão dos direitos de propriedade) de bens e produtos sujeitos a regime especial deve ser considerada em 450.10.644 – Autorização para transação de produtos#;"DL 148/2015#
Lei 107/2001#
Lei 5/2006#
DL 16/93#
Lei 47/2004#";;PE;S;"PCM#
PSP#
DGPC#
DGLAB#
BNP#
Cinemateca#";AP#;Iniciar#;"150.20.300#
300.30.008#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
 - Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito ao produto)";data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
E recuperável em
PN 400.10.410 - Registo de armas e munições;  
PN 450.20.503 - Inventariação de património cultural.";;;;;;;;;;;
