Ano do diploma;Tipo de diploma;N.º do diploma;Data do diploma;Título / âmbito do diploma;Link;;
2002;Lei;5-A/2002;11 de janeiro;Primeira alteração à Lei n.o 169/99, de 18 de Setembro, que estabelece o quadro de competências, assim como o regime jurídico de funcionamento, dos órgãos dos municípios e das freguesias;https://dre.pt/application/file/570436;;
2002;Lei;27/2002;8 de novembro;Aprova o novo regime jurídico da gestão hospitalar e procede à primeira alteração à Lei n.º 48/90, de 24 de Agosto;https://dre.pt/application/file/425435;;
2002;Lei;32/2002;20 de dezembro;Aprova as bases da segurança social;https://dre.pt/application/file/405435;;
2002;DL;86/2002;6 de abril;Atualiza o regime jurídico das obras de aproveitamento hidroagrícola, aprovado pelo Decreto-Lei n.o 269/82, de 10 de Julho.;https://dre.pt/application/file/a/303037;;
2002;Portaria;1010/2002;9 de agosto;Estabelece as regras complementares necessárias à gestão e acompanhamento do regime específico de abastecimento das Regiões Autónomas dos Açores e da Madeira, no âmbito do Regulamento (CE) n.º 1453/2001, do Conselho, de 28 de Junho, e do Regulamento (CE) n.º 20/2002, da Comissão, de 28 de Dezembro de 2001 (POSEIMA). Revoga a Portaria n.º 1231/92, de 31 de Dezembro;https://dre.pt/application/file/183902;;
2003;DL;91/2003;30 de abril;Altera o Decreto-Lei n.º 279/98, de 17 de Setembro, que estabelece o regime jurídico dos bilhetes do Tesouro.;https://dre.pt/application/file/571366;;
2003;Circular Normativa DGS;04/2003;31 de março;Orientações para a operacionalização do módulo de vacinação SINUS - 04/DT/2003;https://www.dgs.pt/upload/membro.id/ficheiros/i005567.pdf;;
2003;Diretiva (CE);2003/110/CE;25 de novembro;Relativa ao apoio em caso de trânsito para efeitos de afastamento por via aérea.;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32003L0110&from=PT;;
2003;DL;7/2003;15 de janeiro;Elaboração da Carta Educativa e criação do Conselho Municipal de Educação;http://dre.pt/pdf1sdip/2003/01/012A00/01300137.pdf;;
2003;DL;32/2003;17 de fevereiro;Estabelece o regime especial relativo aos atrasos de pagamento em transações comerciais, transpondo a Diretiva n.º 2000/35/CE, do Parlamento Europeu e do Conselho, de 29 de Junho, e altera o artigo 102.º do Código Comercial e os artigos 7.º, 10.º, 12.º, 12.º-A e 19.º do Decreto-Lei n.º 269/98, de 1 de Setembro;https://dre.pt/application/file/189443;;
2003;DL;36/2003;5 de março;Aprova o novo Código da Propriedade Industrial, no uso da Lei, de autorização legislativa, n.º 17/2002, de 15 de Julho;https://dre.pt/application/file/220609;;
2003;DL;37/2003;6 de março;Estabelece a distribuição de receitas da Lotaria Nacional dos anos 2003 a 2005 e do Totoloto dos anos 2004 e 2005;https://dre.pt/application/file/220652;;
2003;DL;41/2003;11 de março;Altera o Decreto-Lei n.º 251/98, de 11 de Agosto, que regula a actividade de transportes em táxi;dre.pt/application/file/a/221390;;
2003;DL;59/2003;1 de abril;Transpõe para a ordem jurídica nacional a Diretiva n.º 1999/22/CE, do Conselho, de 29 de Março, relativa à detenção de animais da fauna selvagem em parques zoológicos, estabelecendo as normas para a manutenção e bem-estar dos animais, o licenciamento e inspecções dos parques, a gestão das colecções, a promoção de estudos científicos, a salvaguarda da biodiversidade e a educação pedagógica dos visitantes;https://dre.pt/application/file/232405;;
2003;DL;67/2003;8 de abril;Transpõe para a ordem jurídica nacional a Diretiva n.º 1999/44/CE, do Parlamento Europeu e do Conselho, de 25 de Maio, sobre certos aspectos da venda de bens de consumo e das garantias a ela relativas, e altera a Lei n.º 24/96, de 31 de Julho;https://dre.pt/application/file/223573;;
2003;DL;93/2003;30 de abril;Disciplina as condições de acesso e análise, em tempo real, da informação pertinente para a investigação dos crimes tributários pela Polícia Judiciária e pela administração tributária;https://dre.pt/application/file/571367;;
2003;DL;122/2002;4 de maio;Aprova o regime jurídico das novas séries de certificados de aforro e altera o Decreto-Lei n.º 172-B/86, de 30 de Junho, e o Decreto n.º 43454, de 30 de Dezembro de 1960;https://dre.pt/application/file/370931;;
2003;DL;134/2003;28 de junho;Aprova o registo das pessoas colectivas religiosas, previsto na Lei da Liberdade Religiosa, aprovada pela Lei n.º 16/2001, de 22 de Junho;https://dre.pt/application/file/693342;;
2003;DL;153/2003;11 de julho;Estabelece o regime jurídico da gestão de óleos usados;https://dre.pt/application/file/667649;;
2003;DL;154/2003;15 de julho;Regulamenta a aplicação do Tratado de Amizade, Cooperação e Consulta entre a República Portuguesa e a República Federativa do Brasil, assinado em Porto Seguro em 22 de Abril de 2000, no que respeita ao regime processual de atribuição e registo do estatuto de igualdade aos cidadãos brasileiros residentes em Portugal e aos cidadãos portugueses residentes no Brasil;https://dre.pt/application/file/671571;;
2003;DL; 178/2003;5 de agosto;Estabelece limitações às emissões para a atmosfera de certos poluentes provenientes de grandes instalações de combustão,;https://dre.pt/application/file/653401;;
2003;DL;190/2003;22 de agosto;Regulamenta a Lei n.º 93/99, de 14 de Julho, que regula a aplicação de medidas para proteção de testemunhas em processo penal;https://dre.pt/application/file/656009;;
2003;DL;193/2003;22 de agosto;Fixa os tectos de emissão nacionais de determinados poluentes atmosféricos,;https://dre.pt/application/file/656024;;
2003;DL;196/2003;23 de agosto;Transpõe para a ordem jurídica nacional a Diretiva n.º 2000/53/CE, do Parlamento Europeu e do Conselho, de 18 de Setembro, relativa aos veículos em fim de vida;https://dre.pt/application/file/655869;;
2003;DL;273/2003;29 de outubro;Procede à revisão da regulamentação das condições de segurança e de saúde no trabalho em estaleiros temporários ou móveis, constante do Decreto-Lei n.º 155/95, de 1 de Julho, mantendo as prescrições mínimas de segurança e saúde no trabalho estabelecidas pela Diretiva n.º 92/57/CEE, do Conselho, de 24 de Junho;https://dre.pt/application/dir/pdf1sdip/2003/10/251A00/71997211.pdf;;
2003;DL;304/2003;9 de dezembro;Estabelece o regime jurídico de acesso e de exercício da actividade de promoção e organização de campos de férias;https://dre.pt/application/file/429123;;
2003;DL;287/2003;12 de novembro;Aprova o Código do Imposto Municipal sobre Imóveis e o Código do Imposto Municipal sobre as Transmissões Onerosas de Imóveis, altera o Código do Imposto do Selo, altera o Estatuto dos Benefícios Fiscais e os Códigos do IRS e do IRC e revoga o Código da Contribuição Predial e do Imposto sobre a Indústria Agrícola, o Código da Contribuição Autárquica e o Código do Imposto Municipal de Sisa e do Imposto sobre as Sucessões e Doações.;https://dre.pt/web/guest/pesquisa-avancada/-/asearch/advanced/maximized?types=SERIEI&anoDoc=2003&tipo=decreto+lei&numero=287%2F2003&search=Pesquisar&p_auth=qmF5VWIr&fpb=dHJ1ZQ%3D%3D;;
2003;DL;293/2003;19 de novembro;Transpõe para a ordem jurídica nacional a Diretiva n.º 2002/30/CE, relativa ao estabelecimento de regras e procedimentos para a introdução de restrições de operação relacionadas com o ruído;https://dre.pt/application/file/445393;;
2003;DL;314/2003;17 de dezembro;Aprova o Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses (PNLVERAZ) e estabelece as regras relativas à posse e detenção, comércio, exposições e entrada em território nacional de animais susceptíveis à raiva;https://dre.pt/application/file/432911;;
2003;DL;315/2003;17 de dezembro;Altera o Decreto-Lei n.º 276/2001, de 17 de Outubro, que estabelece as normas legais tendentes a pôr em aplicação em Portugal a Convenção Europeia para a Proteção dos Animais de Companhia;https://dre.pt/application/file/432912;;
2003;Lei;48/2003;22 de janeiro;Segunda alteração à Lei n.º 144/99, de 31 de Agosto, que aprova a lei da cooperação judiciária internacional em matéria penal;https://dre.pt/application/file/656000;;
2003;Lei;11/2003;13 de maio;Estabelece o regime de criação, o quadro de atribuições e competências das comunidades intermunicipais de direito público e o funcionamento dos seus órgãos.;http://www.ces.uc.pt/aigaion/attachments/lL112003.pdf-e2ea7d81b414021f4f9a478ed873530b.pdf;;
2003;Lei;19/2003;20 de junho;Financiamento dos partidos políticos e das campanhas eleitorais;https://dre.pt/application/file/692937;;
2003;Lei;36/2003;22 de agosto;Estabelece normas de execução da decisão do Conselho da União Europeia que cria a EUROJUST, a fim de reforçar a luta contra as formas graves de criminalidade, e regula o estatuto e competências do respectivo membro nacional;https://dre.pt/application/file/656017;;
2003;Lei;52/2003;22 de agosto;Lei de combate ao terrorismo (em cumprimento da Decisão Quadro n.º 2002/475/JAI, do Conselho, de 13 de Junho) - décima segunda alteração ao Código de Processo Penal e décima quarta alteração ao Código Penal;https://dre.pt/application/file/656029;;
2003;Lei;65/2003;23 de agosto;Aprova o regime jurídico do mandado de detenção europeu (em cumprimento da Decisão Quadro n.º 2002/584/JAI, do Conselho, de 13 de Junho);https://dre.pt/application/file/655868;;
2003;Lei;99/2003;27 de agosto;Aprova o Código do Trabalho;https://dre.pt/application/file/632814;;
2003;Lei;100/2003;15 de novembro;Aprova o novo Código de Justiça Militar e revoga a legislação existente sobre a matéria;https://dre.pt/application/file/a/446423;;
2003;Portaria;71/2003;20 de janeiro;Altera o Regulamento do Registo Nacional das Organizações não Governamentais de Ambiente (ONGA) e Equiparadas, aprovado pela Portaria n.º 478/99, de 29 de Junho;https://dre.pt/application/file/172786;;
2003;Regulamento (CE);859/2003;14 de maio;Regulamento (CE) n.° 859/2003 do Conselho, de 14 de Maio de 2003, que torna extensivas as disposições do Regulamento (CEE) n.° 1408/71 e (CEE) n.° 574/72 aos nacionais de Estados terceiros que ainda não estão abrangidos por estas disposições por razões exclusivas de nacionalidade.;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32003R0859&from=PT;;
2003;Regulamento (CE);998/2003;26 de maio;"Relativo às condições de polícia sanitária aplicáveis à circulação sem caráter comercial de animais
de companhia e que altera a Diretiva 92/65/CEE do Conselho";http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:146:0001:0009:PT:PDF;;
2003;Regulamento (CE);2201/2003;27 de novembro;relativo à competência, ao reconhecimento e à execução de decisões em matéria matrimonial e em matéria de responsabilidade parental e que revoga o Regulamento (CE) n.o 1347/2000;http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:338:0001:0029:PT:PDF;;
2003;Deliberação do Conselho Superior de Magistratura;55/2003;31 de agosto;Conselho Superior da Magistratura. Aprova o Regulamento das Inspecções Judiciais.;https://dre.pt/application/file/1255209;;
2003;Resolução da Assembleia da República;67/2003;7 de agosto;Aprova, para adesão, a Convenção de Viena sobre o Direito dos Tratados, assinada em 23 de Maio de 1969;https://dre.pt/application/file/645669;;
2004;Circular DSIRC;2/2004;20 de janeiro;Tratamento fiscal dos donativos;https://info.portaldasfinancas.gov.pt/NR/rdonlyres/28B8B5C4-76E8-4411-83F8-C55C2CAB7D4D/0/circular_2-2004_de_20_de_janeiro_da_dsirc.pdf;;
2004;Circular Informativa DSPCS;20/2004;18 de maio;Cartão Europeu de Seguro de Doença;http://www2.portaldasaude.pt/NR/rdonlyres/5FDE16C9-ACE0-418A-B97B-A274AEEE403B/0/CircularInformativan20DPCS.pdf;;
2004;Decreto Regulamentar;25/2004;15 de julho;Regulamenta o Decreto-Lei n.º 290-D/99, de 2 de Agosto, que aprova o regime jurídico dos documentos electrónicos e da assinatura digital;https://dre.pt/application/file/527139;;
2004;DL;2/2004;2 de janeiro;Aprova o Regulamento Técnico da Produção e Comercialização de Sementes de Espécies Oleaginosas e Fibrosas, destinadas a produção agrícola, com exclusão da utilização para fins ornamentais, transpondo para a ordem jurídica nacional a Diretiva n.º 2002/57/CE, do Conselho, de 13 de Junho, relativa à comercialização de sementes de espécies oleaginosas e fibrosas, com a redação que lhe foi dada pelas Diretivas n.os 2002/68/CE, do Conselho, de 19 de Julho, e 2003/45/CE, da Comissão, de 28 de Maio;https://dre.pt/application/file/240315;;
2004;DL;3/2004;3 de janeiro;Estabelece o regime jurídico a que fica sujeito o licenciamento da instalação e da exploração dos centros integrados de recuperação, valorização e eliminação de resíduos perigosos (CIRVER);https://dre.pt/application/file/240303;;
2004;DL; 12/2004;9 de janeiro;Estabelece o regime jurídico de ingresso e permanência na actividade da construção;https://dre.pt/application/file/241107;;
2004;DL;26/2004;4 de fevereiro;No uso da autorização legislativa concedida pela Lei n.º 49/2003, de 22 de Agosto, aprova o Estatuto do Notariado;https://dre.pt/application/file/592269;;
2004;DL;38/2004;27 de fevereiro;Altera as datas limite de utilização dos empréstimos contraídos ao abrigo da linha de crédito criada pelo Decreto-Lei n.º 306/2003, de 9 de Dezembro;https://dre.pt/application/file/568247;;
2004;DL;47/2004;3 de março;Define o regime geral das incorporações da documentação de valor permanente em arquivos públicos;https://dre.pt/application/file/551682;;
2004;DL;53/2004;18 de março;No uso da autorização legislativa concedida pela Lei n.º 39/2003, de 22 de Agosto, aprova o Código da Insolvência e da Recuperação de Empresas;https://dre.pt/application/file/538358;;
2004;DL;68/2004;25 de março;Estabelece os requisitos a que obedecem a publicidade e a informação disponibilizadas aos consumidores no âmbito da aquisição de imóveis para habitação;https://dre.pt/application/file/211086;;
2004;DL;78/2004;3 de abril;Estabelece o regime da prevenção e controlo das emissões de poluentes para a atmosfera, fixando os princípios, objectivos e instrumentos apropriados à garantia da proteção do recurso natural ar,;https://dre.pt/application/file/218379;;
2004;DL;108/2004;11 de maio;Altera o Decreto-Lei n.º 83/2000, de 11 de Maio, que aprova o regime legal da concessão e emissão de passaportes;https://dre.pt/application/file/264263;;
2004;DL;142/2004;11 de junho;Aprova o regime jurídico da actividade termal;https://dre.pt/application/file/286010;;
2004;DL;144/2004;15 de junho;Aprova a articulação entre as diversas entidades nacionais para execução das tarefas decorrentes da participação no programa previsto no n.º 2 do artigo 16.º da Diretiva n.º98/8/CE, do Parlamento Europeu e do Conselho, de 16 de Fevereiro;https://dre.pt/application/file/287716;;
2004;DL;165/2004;6 de julho;Altera o artigo 29.º do Decreto-Lei n.º 290-D/99, de 2 de Agosto, que aprova o regime jurídico dos documentos electrónicos e da assinatura digital, na redação que lhe foi dada pelo Decreto-Lei n.º 62/2003, de 3 de Abril;https://dre.pt/application/file/517312;;
2004;DL;201/2004;18 de agosto;Altera o Decreto-Lei n.º 316/98, de 20 de Outubro, que institui o procedimento extrajudicial de conciliação para viabilização de empresas em situação de insolvência ou em situação económica difícil;https://dre.pt/application/file/480648;;
2004;DL;202/2004;18 de agosto;Estabelece o regime jurídico da conservação, fomento e exploração dos recursos cinegéticos, com vista à sua gestão sustentável, bem como os princípios reguladores da actividade cinegética;http://dre.pt/pdf1sdip/2004/08/194A00/53185351.pdf;;
2004;DL;212/2004;23 de agosto;Estabelece a organização institucional do sector vitivinícola;https://dre.pt/application/file/479716;;
2004;Lei; 2/2004;15 de janeiro;Aprova o estatuto do pessoal dirigente dos serviços e organismos da administração central, regional e local do Estado;https://dre.pt/application/file/603296;;
2004;Lei;3/2004;15 de janeiro;Aprova a lei quadro dos institutos públicos;https://dre.pt/application/file/603298;;
2004;Lei;4/2004;15 de janeiro;Estabelece os princípios e normas a que deve obedecer a organização da administração direta do Estado;https://dre.pt/application/file/603295;;
2004;Lei;5/2004;10 de fevereiro;Lei das Comunicações Electrónicas;https://dre.pt/application/file/581093;;
2004;Lei;19/2004;20 de maio;Revisão da lei quadro que define o regime e forma de criação das polícias municipais;http://dre.pt/pdf1sdip/2004/05/118A00/31523155.pdf;;
2004;Lei;23/2004;22 de junho;Aprova o regime jurídico do contrato individual de trabalho da Administração Pública;https://dre.pt/application/file/271940;;
2004;Lei;26/2004;8 de julho;Aprova o Estatuto do Mecenato Científico e procede à nona alteração do Decreto-Lei n.º 74/99, de 16 de Março (Estatuto do Mecenato);https://dre.pt/application/file/517278;;
2004;Lei;31/2004;22 de julho;Adapta a legislação penal portuguesa ao Estatuto do Tribunal Penal Internacional, tipificando as condutas que constituem crimes de violação do direito internacional humanitário - 17.ª alteração ao Código Penal;https://dre.pt/application/file/507476;;
2004;Lei;34/2004;29 de julho;Altera o regime de acesso ao direito e aos tribunais e transpõe para a ordem jurídica nacional a Diretiva n.º 2003/8/CE, do Conselho, de 27 de Janeiro, relativa à melhoria do acesso à justiça nos litígios transfronteiriços através do estabelecimento de regras mínimas comuns relativas ao apoio judiciário no âmbito desses litígios;https://dre.pt/application/file/502332;;
2004;Lei;35/2004;29 de julho;Regulamenta a Lei n.º 99/2003, de 27 de Agosto, que aprovou o Código do Trabalho;https://dre.pt/application/file/502337;;
2004;Lei;40/2004;18 de agosto;Estatuto do Bolseiro de Investigação;https://dre.pt/application/file/480646;;
2004;Lei;41/2004;18 de agosto;Transpõe para a ordem jurídica nacional a Diretiva n.º 2002/58/CE, do Parlamento Europeu e do Conselho, de 12 de Julho, relativa ao tratamento de dados pessoais e à proteção da privacidade no sector das comunicações electrónicas;https://dre.pt/application/file/480651;;
2004;Lei;45/2004;19 de agosto;Estabelece o regime jurídico das perícias médico-legais e forenses;https://dre.pt/application/file/480460;;
2004;Lei;47/2004;19 de agosto;Aprova a Lei Quadro dos Museus Portugueses;https://dre.pt/application/file/480457;;
2004;n/a;s/nº;;"Concordata entre a Santa Sé e a República Portuguesa - 2004
";http://www.educris.com/v2/123-geral/927-concordata-entre-a-santa-se-e-a-república-portuguesa---2004;;
2004;Portaria;209/2004;3 de março;Aprova a Lista Europeia de Resíduos;https://dre.pt/application/file/551687;;
2004;Portaria;303-A/2004;22 de março;Introduz restrições de operação relacionadas com o ruído, adequadas ao objectivo ambiental estabelecido para o Aeroporto de Lisboa;https://dre.pt/application/file/644592;;
2004;Portaria;421/2004;24 de abril;Aprova o Regulamento de Registo, Classificação e Licenciamento de Cães e Gatos. Revoga a Portaria n.º 1427/2001, de 15 de Dezembro;https://dre.pt/application/file/222942;;
2004;Regulamento (CE); 273/2004;11 de fevereiro;Relativo aos precursores de drogas: Medidas para o controlo e a fiscalização de substâncias frequentemente utilizadas no fabrico ilegal de estupefacientes ou de substâncias psicotrópicas;http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=URISERV%3Al33215;;
2004;Regulamento (CE);883/2004;29 de abril;Rectificação ao Regulamento (CE) n.o 883/2004 do Parlamento Europeue do Conselho, de 29 de Abril de 2004, relativo à coordenação dos sistemas de segurança social;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32004R0883R(01)&from=PT;;
2004;RCM;53/2004;21 de abril;Aprova a operacionalização da reforma da Administração Pública, áreas de actuação e metodologias de aplicação;https://dre.pt/application/file/223322;;
2005;Circular Normativa DGS;08/2005;21 de dezembro;Programa Nacional de Vacinação 2006.mOrientações Técnicas 08/DT/2005.;https://www.dgs.pt/upload/membro.id/ficheiros/i007442.pdf;;
2005;Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais;825/2005;16 de junho;Por deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais de 30 de Maio de 2005, rectificada por despacho de 1 de Junho de 2005, são reformulados os critérios de classificação das espécies de processos;https://dre.pt/application/file/3341180;;
2005;DL;44/2005;23 de fevereiro;Altera o Código da Estrada, aprovado pelo Decreto-Lei n.º 114/94, de 3 de Maio;https://dre.pt/application/file/608662;;
2005;DL;49/2005;24 de fevereiro;Primeira alteração ao Decreto-Lei n.º 140/99, de 24 de Abril, que procedeu à transposição para a ordem jurídica interna da Diretiva n.º 79/409/CEE, do Conselho, de 2 de Abril, relativa à conservação das aves selvagens (Diretiva aves) e da Diretiva n.º 92/43/CEE, do Conselho, de 21 de Maio, relativa à preservação dos habitats naturais e da fauna e da flora selvagens (Diretiva habitats);https://dre.pt/application/file/608095;;
2005;DL;50/2005;25 de fevereiro;Transpõe para a ordem jurídica interna a Diretiva n.º 2001/45/CE, do Parlamento Europeu e do Conselho, de 27 de Junho, relativa às prescrições mínimas de segurança e de saúde para a utilização pelos trabalhadores de equipamentos de trabalho;https://dre.pt/application/file/584329;;
2005;DL;67/2005;15 de março;Regula o reconhecimento pelo Estado Português dos graus académicos conferidos na sequência da conclusão com êxito de um curso de mestrado «Erasmus Mundus» e a sua titulação;https://dre.pt/pdf1sdip/2005/03/052A00/22652266.pdf;;
2005;DL;111/2005;8 de julho;Cria a «empresa na hora», através de um regime especial de constituição imediata de sociedades, alterando o Código das Sociedades Comerciais, o regime do Registo Nacional das Pessoas Colectivas, o Código do Registo Comercial, o Decreto-Lei n.º 322-A/2001, de 14 de Dezembro, o Regulamento Emolumentar dos Registos e Notariado, o Decreto-Lei n.º 8-B/2002, de 15 de Janeiro, o Código do Imposto sobre o Rendimento das Pessoas Colectivas e o Código do Imposto sobre o Valor Acrescentado;https://dre.pt/application/file/235844;;
2005;DL;133/2005;16 de agosto;Aprova o regime de licenciamento da actividade das entidades que operam no sector da pesquisa, captação e montagem de equipamentos de extração de água subterrânea;https://dre.pt/application/file/243614;;
2005;DL;140/2005;17 de agosto ;Estabelece os valores de dispensa de declaração do exercício de práticas que impliquem risco resultante das radiações ionizantes e, bem assim, os valores de dispensa de autorização prévia para o exercício das mesmas actividades, transpondo as correspondentes disposições da Diretiva n.º 96/29/EURATOM, do Conselho, de 13 de Maio;https://dre.pt/application/file/243418;;
2005;DL;146/2005;26 de agosto;Altera o Decreto-Lei n.º 28/2004, de 4 de Fevereiro, que estabelece o novo regime jurídico de proteção social na eventualidade doença no âmbito do subsistema previdencial de segurança social;https://dre.pt/application/file/245205;;
2005;DL;152/2005; 31 de agosto;Regula a aplicação na ordem jurídica interna do artigo 16.º e do n.º 1 do artigo 17.º do Regulamento (CE) n.º 2037/2000,;https://dre.pt/application/file/248383;;
2005;DL;167/2005;23 de setembro ;Estabelece o regime jurídico da assistência na doença aos militares das Forças Armadas;https://dre.pt/application/file/147919;;
2005;DL;156/2005;15 de setembro;Estabelece a obrigatoriedade de disponibilização do livro de reclamações a todos os fornecedores de bens ou prestadores de serviços que tenham contacto com o público em geral;https://dre.pt/application/file/143386;;
2005;DL;178-A/2005;28 de outubro;Aprova o documento único automóvel, mediante a criação do certificado de matrícula, transpondo para a ordem jurídica nacional a Diretiva n.º 1999/37/CE, do Conselho, de 29 de Abril, com a redação dada pela Diretiva n.º 2003/127/CE, da Comissão, de 23 de Dezembro, relativa aos documentos de matrícula dos veículos;https://dre.pt/application/file/404424;;
2005;DL;201/2005;24 de novembro;Altera o Decreto-Lei n.º 202/2004, de 18 de Agosto, que regulamenta a Lei n.º 173/99, de 21 de Setembro, Lei de Bases Gerais da Caça;https://dre.pt/application/file/481438;;
2005;DL;207/2005;29 de novembro;Regula os procedimentos previstos no artigo 23.º da Lei n.º 39-A/2005, de 29 de Julho, quanto à instalação de sistemas de vigilância rodoviária e ao tratamento da informação;https://dre.pt/application/file/483330;;
2005;DL;234/2005;30 de dezembro;Procede à terceira alteração do Decreto-Lei n.º 118/83, de 25 de Fevereiro, que estabelece o funcionamento e o esquema de benefícios da Direcção-Geral de Proteção Social aos Funcionários e Agentes da Administração Pública (ADSE);https://dre.pt/application/file/473445;;
2005;Lei;1/2005;10 de janeiro;Regula a utilização de câmaras de vídeo pelas forças e serviços de segurança em locais públicos de utilização comum;http://dre.pt/pdf1sdip/2005/01/006A00/02050208.pdf;;
2005;Lei;5-A/2005;11 de janeiro;Primeira alteração à Lei 169/99, de 18 de Setembro, que estabelece o quadro de competências, assim como o regime jurídico de funcionamento, dos órgãos dos municípios e das freguesias;http://dre.pt/pdf1sdip/2002/01/009A01/00020032.pdf;;
2005;Lei;12/2005;26 de janeiro;Informação genética pessoal e informação de saúde;https://dre.pt/application/file/624477;;
2005;Lei;13/2005;26 de janeiro;Primeira alteração ao Decreto-Lei n.º 108/2004, de 11 de Maio (altera o Decreto-Lei n.º 83/2000, de 11 de Maio, que aprova o regime legal da concessão e emissão de passaportes);https://dre.pt/application/file/624370;;
2005;Lei;49/2005; 30 de agosto;Segunda alteração à Lei de Bases do Sistema Educativo e primeira alteração à Lei de Bases do Financiamento do Ensino Superior;https://dre.pt/application/file/245260;;
2005;Lei;51/2005;30 de agosto;Estabelece regras para as nomeações dos altos cargos dirigentes da Administração Pública;https://dre.pt/application/file/245259;;
2005;Lei; 54/2005;15 de novembro;Estabelece a titularidade dos recursos hídricos;https://dre.pt/application/file/583915;;
2005;Lei;58/2005;29 de dezembro;Aprova a Lei da Água, transpondo para a ordem jurídica nacional a Diretiva n.º 2000/60/CE, do Parlamento Europeu e do Conselho, de 23 de Outubro, e estabelecendo as bases e o quadro institucional para a gestão sustentável das águas;http://dre.pt/pdf1sdip/2005/12/249A00/72807310.pdf;;
2005;Lei Constitucional;1/2005;12 de agosto;Sétima revisão constitucional;https://dre.pt/pdf1sdip/2005/08/155A00/46424686.pdf;;
2005;Lei Orgânica;4/2005;8 de setembro;rocede à primeira alteração à Lei Orgânica n.º 15-A/98, de 3 de Abril, flexibilizando os mecanismos de realização de referendos, à segunda alteração à Lei n.º 13/99, de 22 de Março, e à décima sexta alteração ao Decreto-Lei n.º 319-A/76, de 3 de Maio;https://dre.pt/application/file/142588;;
2005;Lei Orgânica;5/2005;8 de setembro;Décima sétima alteração ao regime jurídico da eleição do Presidente da República e terceira alteração ao regime jurídico do recenseamento eleitoral;https://dre.pt/application/file/142587;;
2005;NP EN ISO/IEC; 17025/2005;;Especifica os requisitos gerais de competência para laboratórios de ensaio e calibração, incluindo amostras.;http://www.iso.org/iso/catalogue_detail.htm?csnumber=39883;;
2005;Portaria;256/2005;16 de março;Aprova a atualização da Classificação Nacional das Áreas de Educação e Formação (CNAEF). Revoga a Portaria n.º 316/2001, de 2 de Abril;https://dre.pt/application/file/572804;;
2005;Portaria;263/2005;17 de março;Fixa novas regras para o cálculo da altura de chaminés e define as situações em que devem para esse efeito ser realizados estudos de poluentes atmosféricos;https://dre.pt/application/file/574395;;
2005;Portaria;85/2005;28 de abril;Estabelece o regime legal da incineração e co-incineração de resíduos, transpondo para a ordem jurídica interna a Diretiva n.º 2000/76/CE,;https://dre.pt/application/file/532733;;
2005;Portaria;961/2005;22 de setembro;Ministérios das Finanças e da Administração Pública, do Ambiente, do Ordenamento do Território e do Desenvolvimento Regional e da Agricultura, do Desenvolvimento Rural e das Pescas.;https://dre.pt/application/file/1895150;;
2005;Portaria;1135-B/2005;31 de outubro;Aprova o modelo de certificado de matrícula;https://dre.pt/application/file/143651;;
2005;Portaria; 1141/2005;8 de novembro;Define e regulamenta os cursos específicos para alta direcção em Administração Pública, ;https://dre.pt/application/file/583138;;
2005;Regulamento (CE);111/2005;22 de dezembro;Regras de controlo do comércio de precursores de drogas entre a Comunidade e países terceiros.;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32005R0111&from=PT;;
2005;RCM;124/2005;4 de agosto;Determina a reestruturação da administração central do Estado, estabelecendo os seus objectivos, princípios, programas e metodologia;https://dre.pt/application/file/240538;;
2006;Despacho;484/2006;9 de janeiro;"qualidade do sistema do ensino superior num quadro
que garanta a sua integração no actual contexto europeu, assim como
a qualificação dos Portugueses no espaço europeu.";https://dre.pt/application/file/2108986;;
2006;Despacho Normativo;28/2006;3 de maio;Aprova o Regulamento das Condições de Organização, Instalação e Funcionamento das Estruturas Residenciais para Pessoas com Deficiência;http://dre.pt/pdf1sdip/2006/05/085B00/32173222.pdf;;
2006;Despacho conjunto;275/2006;22 de março;Determina a observação, nos estabelecimentos militares de ensino Colégio Militar, Instituto Militar dos Pupilos do Exército e Instituto de Odivelas, são observadas as normas relativas à avaliação das aprendizagens definidas pelo Ministério da Educação para a generalidade dos estabelecimentos de ensino oficial e, ainda, as condições constantes do presente despacho visando a aprovação e transição de ano no âmbito de cada um dos estabelecimentos militares de ensino.;;;
2006;DL; 24/2006;6 de fevereiro;Altera o Decreto-Lei n.º 74/2004, de 26 de Março, que estabelece os princípios orientadores da organização e da gestão curricular, bem como da avaliação das aprendizagens, no nível secundário de educação;https://dre.pt/application/file/551908;;
