Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;
;900.20.002;Criação de produtos e artigos promocionais;"Conceção de produtos que consolidem e projetem a imagem da instituição na comunidade ou reforcem o simbolismo de um determinado acontecimento ou data.
Inicia com a proposta de criação do produto ou artigo e termina com a apresentação do produto.
Inclui definição e a aprovação do layout final.";;;A aquisição de serviços deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#;;;PC;N;AP#;;;"300.10.005#
400.10.606#
500.10.001#
900.10.001#
900.10.002#
900.10.501#
900.10.502#
900.10.503#";"Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de marcas e outros sinais distintivos de comércio#
Realização de auditorias#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Organização e participação em iniciativas de partilha e debate crítico#
Organização e participação em iniciativas de prevenção e sensibilização#
Organização e participação em iniciativas de promoção ou divulgação de produtos e serviços#";"Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Reduzida;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.20.200;Conceção de conteúdos institucionais para divulgação;"Elaboração de conteúdos inerentes às atividades da organização e à definição de modalidades de difusão.
Inicia com a definição dos conteúdos e termina com o envio para processo editorial ou a publicação.
Inclui a criação, a redação de textos e a gestão de conteúdos.";"Criação de conteúdos para divulgação na internet, intranet e nas redes sociais#
Criação de conteúdos para folhetos institucionais e newsletter#
Realização de campanhas e spots publicitários#";;"A aquisição de serviços de ou para publicidade deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
O arranjo gráfico de conteúdos informacionais no âmbito da atividade de edição deve ser considerado em 900.20.201 – Edição e publicação de conteúdos#
A comunicação de atos legislativos deve ser considerada em ""Ordenamento jurídico e normativo/ Elaboração de diplomas jurídico-normativos e de normas técnicas"" (100.10)#
A elaboração de conteúdos decorrentes de um PN específico deve ser considerada  no respetivo PN  150.20.101 – Planeamento estratégico de atividades#";"Lei 95/2015#
RCM 91/2012#
Lei 36/2011#
RCM 47/2010#";;PC;N;AP#;;;"150.20.100#
150.20.200#
150.20.301#
150.20.501#
150.40.001#
150.40.500#
300.10.005#
400.10.607#
500.10.001#
900.10.001#
900.10.002#
900.10.501#
900.10.502#
900.10.503#
900.10.504#
900.20.201#";"Preparação de regras e orientações internas#
Definição de metas e objetivos organizacionais#
Planeamento de necessidades de recursos humanos#
Avaliação do desempenho das organizações#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de domínio de .PT#
Realização de auditorias#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Organização e participação em iniciativas de partilha e debate crítico#
Organização e participação em iniciativas de prevenção e sensibilização#
Organização e participação em iniciativas de promoção ou divulgação de produtos e serviços#
Publicitação de iniciativas e atividades#
Edição e publicação de conteúdos#";"Síntese (sintetiza)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetiza)#";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.20.201;Edição e publicação de conteúdos;"Edição de publicações e comunicação de conteúdos institucionais, por iniciativa própria, imposição legal ou proposta de outras entidades. 
Inicia com a proposta de elaboração, cumprimento legal ou convite para participação na obra ou produto e termina com a divulgação.
Inclui a definição e aprovação de layout, execução gráfica, e a apresentação da versão final.
";"Edição, reedição e reimpressão#
Publicitação da informação institucional de forma tradicional (por exemplo sob a forma de edital ou anúncio) ou eletrónica (como os portais, plataformas)#
Publicação de diretórios de entidades#";;A conceção de conteúdos informacionais institucionais para posterior edição deve ser considerada em 900.20.200 – Conceção de conteúdos institucionais para divulgação#;"DL 63/85#
Lei 16/2008#";;PC;N;AP#;;;"100.10.001#
100.10.002#
100.10.003#
100.10.200#
100.10.400#
100.10.600#
100.10.800#
150.10.001#
150.10.100#
150.10.200#
150.10.300#
150.10.400#
150.20.001#
150.20.100#
150.20.101#
150.40.001#
150.40.500#
300.10.005#
400.10.602#
400.10.603#
400.10.604#
400.10.607#
400.10.201#
400.10.445#
400.10.446#
450.10.447#
450.20.003#
450.20.503#
450.20.504#
450.20.505#
500.10.001#
500.30.004#
800.10.604#
800.10.605#
800.20.001#
900.10.001#
900.10.002#
900.10.501#
900.10.502#
900.10.503#
900.10.504#
900.20.200#
950.10.400#
950.10.601#
";"Produção e comunicação de atos legislativos#
Aprovação e comunicação de convenções internacionais#
Comunicação de decisões dos tribunais a que a lei confira força obrigatória geral#
Produção e comunicação de atos regulamentares gerais#
Produção e comunicação de atos regulamentares locais#
Produção e comunicação de regras institucionais#
Produção e comunicação de normas técnicas#
Definição de políticas globais#
Definição de políticas setoriais#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal#
Preparação de regras e orientações internas#
Definição de metas e objetivos organizacionais#
Planeamento estratégico de atividades#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de International Standard Book Number (ISBN)#
Registo de International Standard Music Number (ISMN)#
Registo de International Standard Serial Number (ISSN)#
Registo de domínio de .PT#
Licenciamento ou autorização de loteamentos#
Acreditação de entidade para prestação de serviços de avaliação de conformidade#
Reconhecimento de fundações#
Reconhecimento da natureza, âmbito e representatividade de entidades#
Reconhecimento de projeto ou programa de interesse social, cultural e científico#
Inventariação de património cultural#
Estabelecimento de reservas arqueológicas de proteção#
Classificação de bens sítios e áreas#
Realização de auditorias#
Aplicação de sanções disciplinares#
Realização de traduções#
Realização de transcrições#
Realização de estudos de investigação básica#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Organização e participação em iniciativas de partilha e debate crítico#
Organização e participação em iniciativas de prevenção e sensibilização#
Organização e participação em iniciativas de promoção ou divulgação de produtos e serviços#
Publicitação de iniciativas e atividades#
Conceção de conteúdos institucionais para divulgação#
Apoio técnico e logístico ao processo eleitoral e referendário#
Constituição de assembleias de apuramento geral#
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Complemetar#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade Informacional:
O conteúdo é recuperável no
PN 900.20.200 - Conceção de conteúdos institucionais para divulgação";;;;
;900.20.400;Elaboração de informações ou esclarecimentos institucionais para a comunicação social;"Preparação e divulgação de informações e esclarecimentos sobre assuntos de interesse para a organização ou para a comunidade, através de órgãos de comunicação social.
Inicia com a proposta ou decisão de transmitir a informação ou esclarecimento e termina com a comunicação da mesma.
Inclui decisão e redação dos termos em que a comunicação vai ser feita.";Exercício de direito de resposta#;;;"Lei 54/2010#
Lei 27/2007#
Lei 31/96#
Lei 2/99#
DL 106/88#";;PC;N;AP#;;;"500.10.001#
900.20.402#";"Realização de auditorias#
Recolha e tratamento de dados de imprensa#";"Suplementar#
Cruzada#";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.20.401;Promoção ou participação em conferências de imprensa e entrevistas;"Organização ou intervenção em conferências de imprensa e entrevistas.
Inicia com a decisão de organizar ou intervir e termina com a realização da conferência de imprensa ou entrevista.
Inclui, no caso da entrevista, a seleção dos órgãos de comunicação social.";;;;"Lei 54/2010#
Lei 27/2007#
Lei 2/99#
Lei 31/96#
DL 106/88#
";;PC;N;AP#;;;"500.10.001#
";"Realização de auditorias#
";"Suplementar#
";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.20.402;Recolha e tratamento de dados de imprensa;"Processamento de informação veiculada pela comunicação social, independentemente do suporte, sobre matérias ou temas de interesse para a instituição ou relacionados com esta.
Inicia com a seleção dos meios onde se faz a recolha e termina com a disponibilização dos resultados da análise ao serviço/entidade competente.
Inclui consulta e seleção de notícias ou artigos de opinião e análise dos seus conteúdos.";;;A contratação de agência para esta recolha deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#;Lei 16/2008#;;PC;N;AP#;;;"300.30.002#
900.20.400#
500.10.001#";"Inventariação de bens móveis culturais#
Elaboração de informações ou esclarecimentos institucionais para a comunicação social#
Realização de auditorias#";"Cruzada#
Cruzada#
Suplementar#";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;Informação recuperável nos meios de comunicação;;;;
;900.20.600;Criação e atualização de contactos institucionais;"Criação e atualização de listagens, bases de dados ou outra agregação de contactos singulares ou coletivos que interagem ou são destinatários de produtos ou serviços institucionais.
Inicia com a identificação dos potenciais interlocutores ou destinatários de interesse para o desenvolvimento das atividades organizacionais e termina com a criação ou atualização do contacto.
Inclui sistematização da informação dos contactos e respetivo registo.";"Criação de mailing list da Entidade#
Gestão de mailing list da Entidade#";;"A aquisição de base de dados a outras entidades deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
A criação e gestão de utilizadores de Sistemas de Informação da entidade devem ser considerados no PN 300.50.802 – Registo e identificação de utilizadores de serviços e de sistemas de informação#
O registo e controlo de entidades prestadoras de serviços devem ser considerados no PN 300.50.803 – Identificação e caracterização de prestadores e fornecedores de bens e serviços# ";"Lei 46/2007#
Lei 67/98#";;PC;N;AP#;;;300.30.008#; Registo de documentos e informação#;Sucessão(sucessor)#;Média;N;1;;"Critério legal:
Responsabilidade disciplinar  ([Lei 35/2014] artº 178)
Prescrição da infração disciplinar e do procedimento disciplinar 1 — A infração disciplinar prescreve no prazo de um ano sobre a respetiva prática e [Lei 7/2009] artº 329 Procedimento disciplinar e prescrição 1 — O direito de exercer o poder disciplinar prescreve um ano após a prática da infração, ou no prazo de prescrição da lei penal se o facto constituir igualmente crime)";Data de suspensão do registo;E;"Densidade informacional:
Informação relativa à interação com os contactos institucionais recuperável no
PN 300.30.008 - Registo de documentos e informação";PN não pode ser criado em sistemas informatizados sem autorização da CADA, para o fim indicado.;;;
;900.20.601;Organização de cerimónias de tomada de posse e assinatura de documentos;"Preparação e realização de atos solenes que assinalam o início do exercício de um cargo ou função ou o estabelecimento de uma relação de colaboração.
Inicia com a comunicação do órgão ou serviço competente e termina com a realização da cerimónia.
Inclui, entre outras, a logística e organização dos espaços, de acordo com as regras do protocolo, e dos meios de divulgação.";;;"A aquisição de serviços deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e prestação de serviços#
As questões de segurança devem ser consideradas em 550.10 – Segurança pública#";Lei 40/2006#;;PC;N;AP#;;;"150.10.500#
150.10.501#
200.10.800#
250.10.500#
250.10.700#
300.10.005#
350.30.001#
500.10.001#
550.10.001#
900.10.500#
900.20.602#
950.30.001#";"Elaboração de instrumentos de cooperação interinstitucional#
Negociação e celebração de acordos de concertação social#
Celebração de acordos e outros atos internacionais#
Designação para cargos ou funções de confiança ou de interesse público#
Provimento por eleição em cargos ou funções#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Segurança de espaços públicos e abertos ao público#
Organização e participação em homenagens e cerimónias comemorativas#
Organização de visitas institucionais#
Reconhecimento por mérito e serviços prestados#";"Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#";Média;N;;;;;;;;;;
;900.20.601.01;Organização de cerimónias de tomada de posse e assinatura de documentos: preparação;"Sucessão de atos preparativos das cerimónias.
Inicia com a comunicação do órgão ou serviço competente e termina com o esboço da cerimonia.
Inclui a escolha do espaço e dos recursos humanos e materiais a afetar, previsão de encargos, lista de intervenientes e de entidades convidadas.";;;;;;;;;;;;;;;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada no
PN 900.20.601.02 - Organização de cerimónias de tomada de posse e assinatura de documentos: realização";;;;
;900.20.601.02;Organização de cerimónias de tomada de posse e assinatura de documentos: realização;"Execução da cerimónia.
Inicia com a organização do espaço de acordo com as regras de protocolo e termina com a concretização da cerimónia.
Inclui o registo documental (em imagem, som ou texto).";;;;;;;;;;;;;;;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;Densidade informacional:Informação não recuperável noutro PN.;;;;
;900.20.602;Organização de visitas institucionais;"Preparação e realização de visitas de comitivas nacionais ou estrangeiras.
Inicia com o pedido ou proposta da visita e termina com a concretização da mesma.
Inclui, entre outras, o planeamento, a logística e organização dos espaços ou materiais, a definição do programa e dos meios de divulgação.";"Receção de entidades#
Participação em visitas a outras entidades#";;"As visitas de Estado devem ser consideradas em 200.20.500 – Organização de visitas de Estado ou equiparadas#
A aquisição de serviços deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
As questões de segurança devem ser consideradas em 550.10 - Segurança pública#";Lei 40/2006#;;PC;N;AP#;;;"300.10.005#
350.30.001#
500.10.001#
550.10.001#
900.10.500#
950.30.001#";"Transação e transmissão de bens móveis não culturais e contratação de serviços#
Cobrança de receitas e pagamento de despesas#
Segurança de espaços públicos e abertos ao público#
Realização de auditorias#
Organização e participação em homenagens e cerimónias comemorativas#
Reconhecimento por mérito e serviços prestados#";"Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Cruzada#
Síntese (sintetizado)#";Média;N;;;;;;;;;;
;900.20.602.01;Organização de visitas institucionais: preparação;"Sucessão de atos preparativos das visitas.
Inicia com o pedido ou proposta de realização da visita e termina com definição programa.
Inclui a identificação das necessidades e preparação dos espaços a visitar.";;;;;;;;;;;;;;;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada no
PN 900.20.602.02 - Organização de visitas institucionais: realização";;;;
;900.20.602.02;Organização de visitas institucionais: realização;"Concretização da visita.
Inicia com a tomada de conhecimento do programa definitvo e termina com a sua realização ou execução. Inclui o registo documental.
";;;;;;;;;;;;;;;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;Densidade informacional: Informação não recuperável noutro PN.;;;;
;900.20.603;Processamento de pedidos de audiência;"Solicitação de audiências ou reuniões por parte de cidadãos ou entidades.
Inicia com o pedido e termina com a resposta ao interessado.
Inclui agendamento e resposta ao pedido.";;;;DL 4/2015#;;PC;N;AP#;;;"150.20.300#
300.30.008#";"Avaliação de atividades#
Registo de documentos e informação#";"Síntese (sintetizado)#
Síntese (sintetizado)#";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).
";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação";;;;
;900.20.604;Processamento de pedidos de informação e de esclarecimento;"Tratamento de pedidos de informações e/ou esclarecimentos dirigidos à ou pela instituição.
Inicia com a receção ou envio do pedido e termina com a resposta ao mesmo.
Inclui análise ou elaboração do pedido, recolha de informação pertinente e preparação da resposta.";"Pedidos de informação que não integrem um processo específico# 
Receção e resposta a pedidos efetuados à entidade ou pela entidade#
";;"A emissão de informações vinculativas deve ser considerada em 100.20.001 – Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos#
As reclamações devem ser consideradas em 950.20.001 – Processamento de petições, reclamações e sugestões#
A elaboração de informações ou esclarecimentos institucionais para a comunicação social deve ser considerada em 900.20.400 – Elaboração de informações ou esclarecimentos institucionais para a comunicação social#
Os pedidos de informação sobre processos específicos devem ser considerados no âmbito dos mesmos#";DL 4/2015#;;PC;N;AP#;;;"150.20.300#
300.30.008#
";"Avaliação de atividades#
Registo de documentos e informação#

";"Síntese (sintetizado)#
Síntese (sintetizado)#

";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).
";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação";;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
