Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
;700.20.101;"Realização de ações de  saúde em campanha
";"Cuidados de prevenção secundária de saúde através da realização de atos clínicos envolvendo os cidadãos no sentido de os consciencializar e responsabilizar pelas suas próprias escolhas em matéria de saúde e bem-estar.
Inicia com o diagnóstico de necessidades de formação/informação em matéria de saúde e termina com a realização da ação de promoção.
Inclui desenvolvimento de atos clínicos e orientação dos utentes em relação a matérias de saúde e bem-estar.
";"Projetos ou ações de promoção da saúde não integrados em Programas Nacionais#
Ações de sensibilização e educação para a saúde tais como nutrição de grávidas e idosos ou Dia da alimentação Férias em saúde#
Ações de sensibilização para a parentalidade#
Ações de intervenção comunitária (tais como# centro de recuperação de jovens)#
Todas as campanhas de promoção da saúde que envolvam atos clínicos (exames médicos, vigilância de níveis, entre outros)#

";;"As ações integradas nos Programas nacionais do Plano nacional de Saúde devem ser consideradas em 150.10.200 – Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
 Os Rastreios devem ser considerados em 700.20.100 – Rastreios#
As campanhas baseadas em instrumentos de comunicação devem ser consideradas em 900.10.502 – Organização e participação em iniciativas de prevenção e sensibilização#
Os instrumentos promocionais das campanhas devem ser considerados em 900.20.002 – Criação de produtos e artigos promocionais#";"DL 157/99#
DL 28/2007#";Plano Nacional de Saúde#;PE;S;UPCS#;"ACES#
ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#";"Apreciar#
Decidir#
Decidir#
Decidir#
Decidir#
Decidir#";"150.10.200#
150.10.300#
150.10.400#
150.10.600#
150.20.101#
150.20.300#
150.20.501#
150.40.500#
400.10.040#
500.10.301#
700.10.006#";"Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal#
Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Avaliação de atividades#
Análise e melhoria de serviços#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo nacional de utentes#
Realização de fiscalização#
Registo clinico de utentes#

";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese(sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese(sintetizado)#
Síntese(sintetizado)#
Cruzada#
Suplementar#
Síntese(sintetizado)#";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo documental;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável nos PN 150.20.101 (Planeamento estratégico de atividades; 150.20.300 (Avaliação de atividades); 150.20.501 (Análise e melhoria de serviços); 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão) e 700.10.006 (Registo clinico de utentes) ";;

;700.20.102;Prevenção de crises pandémicas e situações de emergência sanitária ou de saúde pública;"Cuidados de prevenção secundária de saúde através da realização de atos de assistência médica no âmbito das competências profissionais do médico de saúde pública.
Inicia com a intervenção das autoridades de saúde, sempre que instadas e/ou alertadas para situações potencialmente criticas de saúde pública e termina com relatório onde se elabora o diagnóstico e propõe medidas.
Inclui ativação de meios de prevenção e relato de resultados. ";"Atividades das autoridades de saúde e coordenação do funcionamento global em rede dessas autoridades#
Intervenção em situações de grave risco para a saúde pública#
Limitação da realização de viagens, em especial para zonas com identificação de casos de doença, suspeitos ou confirmados, após a avaliação do risco potencial associado à sua realização#
Encerramento de escolas, locais de trabalho, centros de dia ou outras instituições, após avaliação do risco potencial associado à sua manutenção em atividade#
Adoção de ações de proteção aos agentes funerários e outros intervenientes nas atividades de remoção, transporte e inumação de cadáveres, em que a morte foi provocada pela crise pandémica, designadamente nas situações de excesso#
";;;Lei 81/2009#;;PE;S;"AS#
DGS#
ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
UPCS#
HH#";"HH#
INEM#
PSP#
ANPC#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#";"150.10.200#
150.10.300#
150.10.400#
150.10.600#
150.20.101#
150.20.300#
500.10.301#
550.20.006#
700.20.300#
700.20.403#
";"Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal#
Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Avaliação de atividades#
Realização de fiscalização#
Atendimento telefónico de emergência#
Prestação de cuidados de emergência médica#
Atendimentos urgentes#

";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#
Sucessão(Antecessor)#
Cruzada#
Cruzada#
";Reduzida;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo documental;C;"#Critério de densidade informacional:
As relações de síntese  estabelecidas com outros PN, como as estatisticas e a avaliação da atividade da entidade, apenas permitem recuperar a enumeração dos casos (a sua dimensão geral), não habilitando a uma síntese qualitativa que represente a complexidade do PN.
Pelo que, se torna necessário a conservação da atuação particular.
 
";;

;700.20.200;Prestação de cuidados de saúde personalizados;"Prestação continuada de assistência médica e de cuidados de saúde por médico de medicina geral e familiar.
Inicia com a realização de consulta e termina com a avaliação de resultados.
Inclui elaboração de diagnóstico, aplicação de fármacos, registo dos atos médicos praticados e acompanhamento do utente.";"Acompanhamento clínico em ambiente prisional#
Acompanhamento dos utentes da instituição nas entidades com serviços clínicos#
Acompanhamento de toxicodependentes#
Apoio domiciliário de saúde#
Intervenção personalizada com envolvente familiar#
Planeamento familiar#
Vigilância da saúde infantil#";;A certificação de incapacidade permanente, de doença profissional ou de acidente de trabalho deve ser considerada em 450.30.500 – Certificação de doença, aptidão ou incapacidade#;"Lei 48/90#
Lei 27/2002#
Lei 48/90#
DL 157/99#
DL 28/2008#
Lei 12/2005#
Lei 26/2016#
Lei 101/99#
Lei 21/2014#";"Lei  Base da Saúde (Lei 48/90, 24 Agosto), alterada pela Lei 27/2002, de 8 de Novembro, que aprova o novo regime jurídico da gestão hospitalar e procede à primeira alteração à Lei 48/90#
DL 157/99#
DL 28/2008#
Lei 12/2005#
Lei 26/2016#
Lei 67/98 (3ª versão Lei 103/2015)#
Lei 101/99#
Lei 21/2014#";PE;S;"UPCS#
AL#";"HH#
ACES#";"Comunicar#
Comunicar#";"150.10.600#
150.20.101#
150.20.501#
150.20.300#
150.40.500#
400.10.040#
400.10.036#
400.10.037#
400.10.038#
400.10.039#
450.30.504#
500.10.001#
700.10.001#
700.10.002#
700.10.003#
700.10.006#
700.20.001#
700.20.100#
700.20.404#
700.20.406#
700.20.407#
700.20.500#
700.20.600#




";"Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Análise e melhoria de serviços#
Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo nacional de utentes#
Registo nacional de dadores de medula óssea#
Registo nacional de dador de sangue#
Registo nacional de não dador de órgãos#
Registo nacional do testamento vital#
Certificação de óbito#
Realização de auditorias#
Referenciação de utentes para consultas#
Referenciação para a rede de cuidados continuados integrados#
Referenciação de utentes para cirurgias#
Registo clinico de utentes#
Imunização#
Rastreio#
Realização de cuidados de saúde de ambulatório médico#
Apoio ao diagnóstico e terapêutica#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#

";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Complementar#
Suplementar#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetizado)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#



";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;"Data do falecimento do utente

";CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.300;Prestação de cuidados de emergência médica;"Prestação de assistência médica a vítimas de acidente ou de doença súbita.
Inicia com o pedido de assistência e termina com a estabilização do utente pela equipa de emergência médica ou com o encaminhamento do sinistrado para unidade de saúde adequada.
Inclui registo sonoro do pedido e respetivo atendimento, eventual reencaminhamento da chamada, encaminhamento de meios de assistência médica e aplicação de cuidados médicos e de enfermagem adequados à situação.";"Apoio a traumáticos em situação de crise#
Atos praticados por pessoal médico e de enfermagem em atendimento telefónico#
Informação e encaminhamento do Centro de Informação Antivenenos (CIAV)#";;O transporte de doentes e sinistrados que não envolva assistência médica deve ser considerado em 550.20.500 – Ação de proteção e socorro#;"Despacho 14041/2012#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"Despacho 14041/2012 - competências Centro de Orientação de Doentes Urgentes#
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;INEM#;HH#;Comunicar#;"400.10.036#
400.10.037#
400.10.038#
400.10.039#
400.10.040#
450.30.504#
500.10.001#
500.10.301#
550.20.500#
700.10.002#
700.10.003#
700.20.001#
700.20.102#
700.10.006#
700.20.400#
700.20.402#
700.20.403#
700.20.406#
700.20.407#
700.20.500#
700.20.600#




";"Registo nacional de dadores de medula óssea#
Registo nacional de dador de sangue#
Registo nacional de não dador de órgãos#
Registo nacional do testamento vital#
Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Realização de fiscalização#
Ação de proteção e socorro#
Referenciação para a rede de cuidados continuados integrados#
Referenciação de utentes para cirurgias#
Imunização#
Prevenção de crises pandémicas e situações de emergência sanitária ou de saúde pública#
Registo clinico de utentes#
Internamento de doentes agudos e crónicos#
Realização de consultas de especialidade#
Atendimentos urgentes#
Apoio ao diagnóstico e terapêutica#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#
";"Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Síntese (sintetiza)#
Síntese (sintetiza)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetiza)#
Cruzada#
Cruzada#
Cruzada#

";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.400;Internamento de doentes agudos e crónicos;"Acolhimento em unidade hospitalar para tratamento de episódio agudo ou acompanhamento de doença crónica.
 Inicia com o internamento numa unidade de especialidade Hospitalar e termina com a estabilização dos sintomas revelados, emitindo-se uma nota de alta hospitalar.
 Inclui o diagnóstico, prescrição e monitorização da evolução da doença (consultas subsequentes). Inclui ainda, actos das várias especialidades clinicas e administração de fármacos hospitalares para doenças específicas, bem como o registo dos actos praticados no sistema de informação.
";"Internamento forense (doentes inimputáveis)#
Internamento compulsivo#";;;"Circular Normativa DGS 6/2008#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 12/2009#
Lei 1/2015#
Lei 36/2013#
Lei 2/2015#
Lei 21/2014#
DL 267/2007#
DL 185/2015#";"Circular Normativa  ACSS nº 6/ 31 _07_2008#
Lei 67/98 (3ª versão Lei 103/2015)#
Lei 12/2009, alterada pela Lei 1/2015#
Lei 36/2013, alterada pela Lei 2/2015#
DL 267/2007, alterado pelo DL 185/2015#";PE;S;"HH#
";UPCS#;Comunicar#;"400.10.036#
400.10.037#
400.10.038#
400.10.036#
400.10.037#
400.10.038#
500.10.001#
700.10.002#
700.10.003#
700.10.006#
700.20.200#
700.20.300#
700.20.401#
700.20.402#
700.20.403#
700.20.404#
700.20.405#
700.20.406#
700.20.407#
700.20.500#
700.20.600#
";"Registo nacional de dadores de medula óssea#
Registo nacional de dador de sangue#
Registo nacional de não dador de órgãos#
Registo nacional do testamento vital#
Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Referenciação para a rede de cuidados continuados integrados#
Referenciação de utentes para cirurgias#
Registo clínico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#
Prestação de assistência médica no estrangeiro#
Apoio ao diagnóstico e terapêutica#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#
";"Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Complementar#
Suplementar#
Síntese (sintetiza)#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetiza)#
Cruzada#
Cruzada#
Cruzada#
";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.401;Realização de cirurgias de ambulatório;"Acolhimento em unidade hospitalar para realização de cirurgia ambulatória.
Inicia com a consulta pré-operatória e termina com a emissão da alta hospitalar.
Incluí todos os actos praticados no âmbito da atividade no hospital e o registo dos actos praticados no sistema de informação.
";"Cirurgias em que a admissão, intervenção cirúrgica e alta hospitalar para o domicílio ou para unidade não abrangida pelos serviços de saúde, não requerem que o doente pernoite no hospital#
Cedência de medicação a utentes em ambulatório#";;Os procedimentos relacionados com a gestão do Sistema Integrado de Gestão de Inscritos para Cirurgia (SIGIC) devem ser considerados em 700.10.003 – Referenciação de utentes para cirurgia#;"Circular Normativa DGS 6/2009#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"Circular Normativa  ACSS nº 6/ 31 _07_2009#
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;"HH#
";UPCS#;Comunicar#;"400.10.040#
450.30.504#
500.10.001#
700.10.003#
700.10.006#
700.20.200#
700.20.400#
700.20.300#
700.20.402#
700.20.403#
700.20.404#
700.20.405#
700.20.407#
700.20.500#
700.20.600#";"Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Referenciação de utentes para cirurgias#
Registo clínico de utentes#
Prestação de cuidados de saúde personalizados#
Internamento de doentes agudos e crónicos#
Prestação de cuidados de emergência médica#
Realização de consultas de especialidade#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#
Prestação de assistência médica no estrangeiro#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#";"Cruzada#
Cruzada#
Suplementar#
Síntese (sintetiza)#
Síntese (sintetiza)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#

";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.402;Realização de consultas de especialidade ;"Cuidados de saúde que envolvem diagnóstico, prescrição e monitorização da evolução da doença realizada por especialidade médica.
Inicia-se com a referenciação do médico dos cuidados de saúde primários (no médico de família ou no médico assistente, fora do Serviço Nacional de Saúde -SNS) ou por solicitação de médico de uma outra especialidade hospitalar para uma unidade de referência e termina com a estabilização dos sintomas revelados mediante a frequência de consultas de especialidade.
Inclui o registo dos atos praticados no sistema de informação.
";"Consultas subsequentes, teleconsultas e consultas domiciliárias#
Consultas de medicina do trabalho#
Consultas externas# 

";;;"Circular Normativa DGS 6/2009#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"Circular Normativa  ACSS nº 6/ 31 _07_2009#
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;"HH#
SMT#";UPCS#;Iniciar#;"400.10.040#
450.30.504#
500.10.001#
700.10.001#
700.10.002#
700.10.006#
700.10.003#
700.10.004#
700.20.300#
700.20.401#
700.20.403#
700.20.404#
700.20.405#
700.20.407#
700.20.500#
700.20.600#
";"Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Referenciação de utentes para consultas#
Referenciação para a rede de cuidados continuados integrados#
Registo clínico de utentes#
Referenciação de utentes para cirurgias#
Registo de utilizadores de unidades de saúde#
Prestação de cuidados de emergência médica#
Realização de cirurgias de ambulatório#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#
Prestação de assistência médica no estrangeiro#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#
";"Cruzada#
Cruzada#
Suplementar#
Síntese (sintetiza)#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.403;Atendimentos urgentes;"Atendimento de episódios agudos de doença ou emergências.
Inicia com o registo do doente no serviço de urgência e termina com a emissão de nota de alta ou transferência para internamento.  
Inclui o registo dos actos praticados no sistema de informação.
";;;;"Circular Normativa DGS 6/2009#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"Circular Normativa  ACSS nº 6/ 31 _07_2009#
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;"HH#
";UPCS#;Comunicar#;"400.10.040#
400.10.036#
400.10.037#
400.10.038#
400.10.039#
450.30.504#
500.10.001#
700.10.006#
700.20.001#
700.20.102#
700.20.300#
700.20.400#
700.20.401#
700.20.402#
700.20.404#
700.20.406#
700.20.407#
700.20.500#
700.20.600#
";"Registo nacional de utentes#
Registo nacional de dadores de medula óssea#
Registo nacional de dador de sangue#
Registo nacional de não dador de órgãos#
Registo nacional do testamento vital#
Certificação de óbito#
Realização de auditorias#
Registo clínico de utentes#
Imunização#
Prevenção de crises pandémicas e situações de emergência sanitária ou de saúde pública#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade #
Realização de cuidados de saúde de ambulatório médico#
Apoio ao diagnóstico e terapêutica#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#";"Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Suplementar#
Síntese (sintetizado)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetiza)#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do  falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

