Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;
;"550.10.009

";Vigilância da fronteira;"Operações policiais destinadas a vigiar, patrulhar e controlar as fronteiras do espaço sob soberania e jurisdição nacional, do Continente e das Regiões Autónomas, bem como da fronteira comunitária.
Inicia a preparação com a decisão do Comandante, com a denúncia de infrações ou com a requisição de entidades/organismos parceiros. Termina com o relatório da operação ou da guia de patrulha.
Inclui a operacionalização da missão.";"Todas as operações policiais de vigilância das fronteiras terrestre, marítima ou aérea#
Aplica-se, ainda, às seguintes situações#
Preservação e proteção ambiental e da prevenção da criminalidade#
Garantir a livre circulação no território nacional e defesa de portos e aeroportos#
Vigiar e controlar as principais rotas internacionais aéreas e marítimas que intersetam o Espaço Estratégico de Interesse Nacional Permanente#";;"As operações de controlo das entradas e saídas de pessoas pelas fronteiras do território nacional devem ser consideradas em 550.10.008 – Controlo de pessoas nas fronteiras#
A fiscalização da carga e mercadorias nas fronteiras deve ser considerada em 500.10.301 – Realização de fiscalização#";"Lei Orgânica 6/2014#
RCM 19/2013#
Lei Orgânica 1-A/2009#
Lei Orgânica 6/2014#
Lei 63/2007#
Decreto Regulamentar 86/2007#
Lei 31-A/2009#";"MIFA2014 - Missões Específicas das Forças Armadas, Conselho Superior de Defesa Nacional a 30 de julho#
SF2014 - Sistema de Forças, Conselho de Chefes de Estado-Maior (CCEM), 2014#
Lei Orgânica 6/2014 (Conceito Estratégico Militar, art 3)#
Resolução do Conselho de Ministros 19/2013 - Conceito Estratégico de Defesa Nacional)#
Lei Orgânica 1-A/2009 - LOBOFA - Lei Orgânica de Bases da Organização das Forças Armadas, repúblicada pela Lei Orgânica 6/2014#
Lei 63/2007#
Decreto Regulamentar 86/2007#
Lei 31-A/2009 - Lei de Defesa Nacional#";PE;S;"GNR#
SEF#
FAP#
Marinha#
AAN#
AMN#";"GNR#
SEF#
FAP#
Marinha#
AAN#
AMN#
PJ#
AT#
ASAE#
ANS#
APA#
";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#";"150.20.103#
150.20.300#
150.30.001#
200.10.001#
300.10.005#
550.10.005#
550.10.008#
800.10.602#
600.10.500#
";"Planeamento operacional de atividades#
Avaliação de atividades#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Negociação e definição de posições nacionais#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Segurança de infraestruturas estratégicas#
Controlo de pessoas nas fronteiras#
Realização de estudos científicos e técnicos de apoio a políticas públicas e desenvolvimento local, regional e nacional#
Processamento de inquérito-crime#
";"Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Sucessão (antecessor)#

";Elevada;N;15;;"#Critério legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118): em que estabelece como prazo maior 15 anos.
#Critério de utilidade administrativa:
Informação necessária para o processamento do PN 150.20.103 - Planeamento operacional de atividades, dado que o controlo pode incidir, repetidamente, sobre os mesmos indivíduos, considerando no entanto o prazo de prescrição do ilícito criminal.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades e nas situações em que concorre com ilícitos criminais o processo dá origem ao PN 600.10.500 - Processamento de inquérito-crime.";;;;;;;;;;;;

;550.10.010;Ação de ordem e segurança em estabelecimento prisional;"Utilização dos meios comuns e dos meios especiais de segurança que têm em vista a manutenção da ordem e da segurança no estabelecimento prisional.
Inicia com a ação a realizar e termina com o registo da operação.
Inclui o controlo de visitantes efetuado no momento de entrada e saída no estabelecimento por elemento dos serviços de vigilância e segurança.";"Ações de observação de reclusos, nomeadamente, durante o período noturno#
Controlo periódico de presenças (contexto prisional)#
Batimento de grades#
Revista pessoal (em contexto prisional)#
Busca (em contexto prisional)#
Recurso a meios cinotécnicos e de videovigilância (em contexto prisional)#
Apreensão temporária de objetos a recluso#
Privação ou restrição do convívio com determinados reclusos ou do acesso a espaços comuns do estabelecimento prisional#
Utilização de algemas em recluso#
Colocação de recluso em cela de separação da restante população prisional e de colocação em quarto de segurança#
Utilização de meios coercivos em recluso#
Ações de vigilância e controlo de visitas a reclusos#
";;;"Portaria 286/2013#
DL 51/2011#
Lei 115/2009#
";"Portaria 286/2013, art 14#
DL 51/2011, Título VIII#
Lei 115/2009, art 63 e título XII#
";PE;N;"DGRSP#
EMGFA#
";;;"150.20.300#
150.40.001#
150.40.500#
500.20#
600.40.001#
600.40.002#";"Avaliação de atividades#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Ação disciplinar#
Acompanhamento da execução de pena e medida privativa da liberdade#
Execução de pena e medida privativa da liberdade em meio prisional#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Cruzada#";Elevada;S;1;;"Critério legal:
Conjugação da [DL 3/2014], Estatuto do corpo da guarda prisional, artº 7, Regime disciplinar, em que se determina que ""Aos trabalhadores do CGP é aplicável o Estatuto Disciplinar dos Trabalhadores Que Exercem Funções Públicas, aprovado pela [Lei 58/2008], de 9 de setembro"" com o prazo prescricional de infração disciplinar - artº 178, nº 1 da [Lei 35/2014] (que revoga a [Lei 58/2008]).";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas).";;;;;;;;;;;;

;550.10.011;Cibersegurança;"Operações de segurança e proteção no ciberespaço, nomeadamente das redes, dos sistemas e dos serviços vitais de informação e comunicação, contra ameaças que ponham em risco o espaço de liberdade individual e coletiva.
Inicia com a ação de vigilância, constatação de uma vulnerabilidade, existência de ameaça ou denúncia e termina com a reposição da segurança dos sistemas e infraestruturas de comunicação.
Inclui a prevenção, monotorização, análise de risco, a deteção de intrusão, coordenação das ações tendo em vista a reposição da segurança.";"Reporte de incidentes de cibersegurança, à interoperabilidade e o acesso entre os sistemas de informação das entidades que fazem parte do Sistema de Segurança Interna#


";;"A investigação e prevenção criminal da cibercriminalidade coadjuvação judiciária, a preservação da prova, a prevenção criminal deve ser considerada em ""Administração da justiça/Prevenção e investigação criminal"" (600.10)#";"RCM 36/2015#
RCM 12/2012#
Lei 53/2007#
Lei 49/2008#
";"Resolução do Conselho de Ministros 36/2015#
Resolução do Conselho de Ministros 12/2012 (implementação de uma estratégia global da Administração Pública na área das TIC)#
Lei 53/2007#
Lei 49/2008 (Lei de Organização da Investigação Criminal)#
";PE;S;"CNCS#


";"PJ#
PSP#
GNR#";"Assessorar#
Assessorar#
Assessorar#";"150.20.300#
150.30.001#
550.10.005#
500.20.002#
500.20.003#
500.20.300#
500.10.300#
550.30.002#";"Avaliação de atividades#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Segurança de infraestruturas estratégicas#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Realização de inspeção#
Ciberdefesa#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Cruzada#";Média;S;10;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância, 500.20.300 - Procedimento disciplinar) e inspetiva (500.10.300 - Realização de inspeção).";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Informação não recuperável noutro PN.";;;;;;;;;;;;

;550.10.300;Sinalização informativa e reguladora;"Definição da distribuição de sinalética destinada a transmitir aos utentes perigos, obrigações, restrições, proibições, indicações, avisos e orientações.
Inicia com a identificação de necessidades ou com o pedido de interessados e termina com o registo da retirada da sinalética.
Inclui diagnóstico, desenho do projeto, a indicação do cadastro da sinalética e colocação da sinalização.";"Sinalização de emergência e socorro colocada em instalações e equipamentos públicos#
Sinalização de locais de risco público#
Sinalização de contaminação de água#
Sinalização de obras em curso#
Sinalização de intervenção em arribas#
Sinalização de trânsito#

";;"A elaboração de planos de segurança ou de proteção deve ser considerada em processos de negócio de 150 – Planeamento e Gestão Estratégica em função do âmbito de aplicação nacional, regional, municipal ou organizacional do instrumento de planeamento#
A manutenção e reparação da sinalização devem ser consideradas em 300.40.503 – Conservação e valorização de edifícios, infraestruturas e equipamentos públicos#
A participação de danos em sinalização de segurança deve ser considerada em 300.40.509 – Manutenção e reparação de bens móveis duradouros#
O plano de segurança deve ser considerado em 150.10.200 – Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
A organização de ações de sensibilização e divulgação deve ser considerada em 900.10.502 – Organização e participação em iniciativas de prevenção e sensibilização#";"Lei 54/2005#
DL 44/2005#
Decreto Regulamentar 22-A/98#";"Lei 54/2005#
DL 44/2005#
Decreto Regulamentar 22-A/98#";PC;N;"AP#
";;;"150.20.300#
300.30.008#
450.10.063#
450.10.213#
500.10.001#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
800.10.302#";"Avaliação de atividades#
Registo de documentos e informação#
Licenciamento ou autorização de atividades de transporte, circulação e deslocação#
Licenciamento ou comunicação de ocupação de espaços públicos#
Realização de auditorias#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Monitorização de recursos naturais, espécies e paisagens#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#";Reduzida;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).
Nota: As ocorrências que possam manifestar inconformidades ou ilícitos são objeto de sanção administrativa ou de encaminhamento para investigação criminal, sendo suspensa a contagem do Prazo de conservação administrativa.";Data de conclusão do procedimento;Data de vigência da sinalética;E;"#Critério de densidade informacional:
Informação sintetizada recuperável em
PN 150.20.300 - Avaliação de atividades;
PN 300.30.008 - Registo de documentos e informação.";;;;;;;;;;;;

;550.10.301;Emissão de vistos;"Emissão de um documento a um cidadão estrangeiro, que não seja titular de autorização de residência ou não seja detentor de prorrogação de permanência, que o habilita a apresentar-se num posto de fronteira e a solicitar a entrada no país, e depois de autorizado, a entrar e permanecer em território nacional durante determinado período de tempo e para certas finalidades.
Inicia com a apresentação do pedido junto da autoridade competente e termina com a concessão de visto que é aposto no documento de viagem do respetivo titular, ou com o indeferimento do pedido.
Inclui a apreciação das condições do titular por parte das autoridades que emitem o visto e, em certos casos, estipulados por lei, a obtenção de pareceres prévios obrigatórios junto do Serviço de Estrangeiros e Fronteiras ou do Serviço de Informações de Segurança, consoante o caso.
";"Emissão de vistos para fins de escala aeroportuária, de curta duração, de estada temporária e para obtenção de autorização de residência#
Emissão de vistos por embaixadas e postos consulares#
Emissão de vistos de curta duração e especiais nos postos de fronteira pela autoridade de controlo fronteiriço#";;;"Lei 29/2012#
Lei 23/2007#
Decreto Regulamentar 84/2007#
Decreto Regulamentar 2/2013#
Regulamento (CE) 810/2009#
";"Lei 29/2012#
Lei 23/2007#
Decreto Regulamentar 84/2007#
Decreto Regulamentar 2/2013#
Regulamento (CE) N.º 810/2009 do Parlamento Europeu e do Conselho - Código Comunitário de Vistos#
";PE;S;"Cns#
SEF#";"SEF#
Cns#";"Apreciar#
Iniciar#";"500.30.005#
500.30.006#
500.30.500#
550.10.303#
550.10.306#
";"Abandono voluntário do território nacional#
Afastamento coercivo do território nacional#
Aplicação de medidas administrativas cautelares#
Autorização de residência#
Readmissão de estrangeiros em situação ilegal#";"Cruzada#
Cruzada#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
";Elevada;N;5;;"#Critério legal:
[Regulamento (CE) 810/2009] do Parlamento Europeu e do Conselho, Código Comunitário de Vistos, artº 24, nº 1 ""O visto pode ser emitido para uma, duas ou múltiplas entradas. O prazo de validade não pode exceder cinco anos"".

";Data de conclusão do procedimento;Após notificação da decisão sobre o pedido de visto.;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades;
Recuperável no
PN 400.10.042 - Identificação de estrangeiros.";Nota ao tipo de participação do SEF (vistos cujo dono do processo é o MNE, o SEF emite parecer prévio à emissão).;;;;;;;;;;;

;550.10.302;Autorização de trânsito para efeitos de afastamento por via aérea;"Operações decorrentes da emissão de pedido de trânsito aeroportuário, efetuado junto de um Estado-membro da UE, para efeitos de afastamento por via aérea de um cidadão de Estado terceiro, com ou sem escolta, nos casos em que o afastamento não se possa realizar em voo direto.
Inicia-se com a apresentação do pedido de trânsito e termina com a autorização do Estado requerido e a efetivação do afastamento, ou, excecionalmente, quando não haja resposta dentro dos prazos a que o referido Estado está obrigado, com a realização da operação de trânsito, mediante mera notificação.
Inclui preenchimento do pedido de autorização de trânsito aeroportuário.
";Operações de afastamento de cidadãos de Estado terceiro que requeiram trânsito aeroportuário em território de Estados Membros da União Europeia#;;;"Lei 29/2012#
Lei 23/2007#
Decreto Regulamentar 84/2007#
Diretiva (CE) 110/2003#";"Lei 29/2012#
Lei 23/2007, capítulo VIII#
Decreto Regulamentar 84/2007#
Diretiva 2003/110/CE do Conselho#";PE;N;SEF#;;;"150.20.300#
500.30.006#
600.40.300#";"Avaliação de atividades#
Afastamento coercivo do território nacional#
Expulsão judicial#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#";Reduzida;S;1;;"#Critério de utilidade administrativa:
Prazo necessário para a execução do procedimento instrumental para a concretização da medida de afastamento (PN 500.30.006 - Afastamento coercivo do território nacional; PN 600.40.300 - Expulsão judicial), no caso de um pedido de apoio apresentado por Portugal.";Data de conclusão do procedimento;Após conclusão do procedimento;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades;
PN 500.30.006 - Afastamento coercivo do território nacional.";;;;;;;;;;;;

;550.10.303;Autorização de residência;"Concessão de autorização a cidadãos de país terceiro para residência em território nacional.
Inicia com pedido de autorização de residência por parte do interessado e termina com a notificação da decisão.
Inclui fundamentação, análise dos requisitos e decisão.  
Inclui, ainda, cancelamento e renovação.
";"Autorizações de residência para#
Exercício de atividade profissional subordinada ou independente#
Atividade de investigação ou altamente qualificada#
Estudo, estágio profissional não remunerado ou voluntariado#
Investimento#
Vítimas de tráfico de seres humanos ou de auxílio à emigração ilegal#
Reagrupamento familiar#";;Os pedidos de nacionais de um Estado-membro da UE, de um Estado parte do EEE, nacionais de Estados terceiros, familiares de cidadão português e nacionais de Estados terceiros que residam em território nacional na qualidade de refugiados, beneficiários de proteção subsidiária prevista na legislação do asilo ou beneficiários de proteção temporária, devem ser considerados em 550.10.305 – Processamento de pedidos de asilo#;"Lei 29/2012#
Lei 23/2007#
";;PE;N;SEF#;;;"150.20.300#
400.10.025#
400.10.026#
400.10.028#
400.10.029#
500.30.005#
500.30.006#
500.30.500#
550.10.301#
550.10.304#
550.10.305#
600.40.#";"Avaliação de atividades#
Aquisição de nacionalidade#
Atribuição e registo de estatuto de igualdade#
Emissão de documentos de viagem a estrangeiros#
Emissão de título de residente#
Abandono voluntário do território nacional#
Afastamento coercivo do território nacional#
Aplicação de medidas administrativas cautelares#
Emissão de vistos#
Manifestações de interesse#
Processamento de pedidos de asilo#
Execução de penas e de medidas cautelares#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (antecessor)#
Cruzada#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
#";Elevada;S;5;;"#Critério legal:
[Lei 23/2007], Regime jurídico de entrada, permanência, saída e afastamento de estrangeiros do território nacional, artº 76 – Autorização de residência permanente
2 — O título de residência deve, porém, ser renovado de cinco em cinco anos ou sempre que se verifique a alteração dos elementos de identificação nele registados.
Artigo 80 – Concessão e renovação de autorização de residência permanente
1 — Sem prejuízo das disposições da presente lei relativas ao estatuto dos nacionais de Estados terceiros residentes de longa duração, beneficiam de uma autorização de residência permanente os cidadãos estrangeiros que, cumulativamente:
a) Sejam titulares de autorização de residência temporária há pelo menos cinco anos.
[Lei 37/81], Lei da nacionalidade, artº 6, nº 2, a)
2 - O Governo concede a nacionalidade, por naturalização, aos menores, nascidos no território português, filhos de estrangeiros, desde que preencham os requisitos das alíneas c) e d) do número anterior e desde que, no momento do pedido, se verifique uma das seguintes condições:
a) Um dos progenitores aqui resida legalmente há pelo menos cinco anos;
#Critério de utilidade administrativa:
Prazo de caducidade da autorização, processamento de novos títulos de residência e residência permanente, confirmação de dados no âmbito da aquisição de nacionalidade portuguesa (PN 400.10.025 - Aquisição de nacionalidade).";Data de conclusão do procedimento;Após a notificação da decisão sobre o pedido;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades;
Recuperável no
PN 400.10.042 - Identificação de estrangeiros.";;;;;;;;;;;;

;550.10.304;Manifestações de interesse;"Concessão de autorização de caráter excecional a nacionais de países terceiros que não reúnam todos os requisitos para exercício de atividade profissional subordinada, ou independente, para regularização da sua situação em território nacional.
Inicia com apresentação de manifestação de interesse do requerente e termina com a notificação da decisão sobre a concessão excecional de autorização de residência temporária.
Inclui abertura de procedimento oficioso, análise dos meios de prova relativos às condições que permitem beneficiar deste mecanismo.
";Regularização da situação de cidadão nacional de país terceiro que não reúnam todos os requisitos para residência no país, nomeadamente a posse de visto de residência para fins de trabalho subordinado ou independente#;;Os pedidos de nacionais de um Estado-membro da UE, de um Estado parte do EEE, nacionais de Estados terceiros, familiares de cidadão português e nacionais de Estados terceiros que residam em território nacional na qualidade de refugiados, beneficiários de proteção subsidiária prevista na legislação do asilo ou beneficiários de proteção temporária, devem ser considerados em 550.10.305 – Processamento de pedidos de asilo#;Lei 23/2007#;;PE;N;SEF#;;;"150.20.300#
400.10.029#
550.10.303#";"Avaliação de atividades#
Emissão de título de residente#
Autorização de residência#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#";Elevada;S;2;;"#Critério legal:
[Lei 23/2007], Regime jurídico de entrada, permanência, saída e afastamento de estrangeiros do território nacional, artº 72, nº 1, e).
#Critério de utilidade administrativa:
Prazo de caducidade (um ano) e tempo para processamento da autorização de prorrogação (prorrogável por igual período).";Data de conclusão do procedimento;Após a notificação da decisão sobre o pedido;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades;
Recuperável no
PN 400.10.042 - Identificação de estrangeiros.";;;;;;;;;;;;

;550.10.305;Processamento de pedidos de asilo;"Processamento dos pedidos e análise das condições de concessão de asilo ou proteção subsidiária no âmbito dos estatutos de requerente de asilo, de refugiado e de proteção subsidiária.
Inicia com o pedido do interessado junto da autoridade responsável sob a forma escrita ou oral, do qual, no segundo caso, é de imediato lavrado auto pela autoridade policial que recebe o pedido e remetido à autoridade responsável, e termina com decisão relativa à concessão ou recusa de estatuto de refugiado ou de proteção subsidiária.  
Inclui entrevista, análise dos fundamentos do pedido, análise de provas documentais quando existentes, verificação de que o requerente não beneficia de estatuto idêntico atribuído por outro Estado-membro e de que não beneficia de estatuto legal noutro país para além do país de origem, eventual realização de perícias médico-legais, recolha de informação sobre o país de origem e sobre os factos invocados para o pedido de proteção, parecer do Conselho Português para os Refugiados, elaboração de proposta fundamentada de admissibilidade ou não admissibilidade do pedido.
Em caso de admissibilidade do pedido segue-se uma segunda fase do procedimento onde é efetuada uma instrução mais detalhada que culmina na apresentação de proposta fundamentada ao membro do governo responsável pela área da administração interna de concessão ou recusa do estatuto de refugiado ou de proteção subsidiária.
";"Estrangeiros e apátridas perseguidos ou gravemente ameaçados de perseguição, em consequência de atividade exercida no Estado da sua nacionalidade ou da sua residência habitual, em favor da democracia, libertação social e nacional, da paz, liberdade e direitos da pessoa humana ou receando ser perseguidos em virtude da sua raça, religião, nacionalidade, opiniões políticas e que por essa razão não queiram regressar ao seu Estado de nacionalidade ou da sua residência habitual#
Estrangeiros e apátridas que sejam impedidos ou se sintam impossibilitados de regressar ao país da sua nacionalidade ou da sua residência habitual, quer atendendo à sistemática violação dos direitos humanos que aí se verifique, quer por correrem o risco de sofrer ofensa grave que ponha em risco a sua vida ou a integridade física#
";;;"Lei 26/2014#
Lei 27/2008#";;PE;S;SEF#;"PSP#
GNR#
Cns#
PJ#
PMar#";"Iniciar#
Iniciar#
Iniciar#
Iniciar#
Iniciar#";"150.20.300#
400.10.028#
400.10.029#
500.30.005#
550.10.008#
550.10.303#";"Avaliação de atividades#
Emissão de documentos de viagem a estrangeiros#
Emissão de título de residente#
Abandono voluntário do território nacional#
Controlo de pessoas nas fronteiras#
Autorização de residência#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#";Reduzida;S;5;;"#Critério legal:
[Lei 27/2008], Concessão do asilo ou proteção subsidiária, artº 67 - Título de residência, ""1 — Aos beneficiários do estatuto de refugiado é concedida uma autorização de residência válida pelo período inicial de cinco anos"".
#Critério de utilidade administrativa:
Data de validade da autorização: O direito de asilo pode ter validade até cinco anos e ser reapreciado e prorrogado mantendo-se os pressupostos para o reconhecimento daquele direito";Data de conclusão do procedimento;Após a notificação da decisão sobre o pedido;C;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades;
Recuperável no
PN 400.10.042 - Identificação de estrangeiros.";;;;;;;;;;;;

;"550.10.306


";Readmissão de estrangeiros em situação ilegal;"Processamento dos pedidos de readmissão que ocorrem nos termos de convenções internacionais, ao abrigo das quais os cidadãos estrangeiros que se encontrem ilegalmente no território de um Estado, vindos diretamente de outro Estado, podem ser por este readmitidos, mediante pedido formulado pelo Estado em cujo território se encontrem.
Inicia com a receção do pedido do Estado requerente e termina com a aceitação e readmissão do cidadão estrangeiro, ou com a recusa do pedido.
Inclui tratamento do pedido formulado pelo Estado requerente e, se existente, do auto de declarações e documentação identificativa disponível do cidadão, consulta informática, e se necessário, do processo de residente, decisão e sua comunicação ao Estado requerente e ao departamento responsável pelo processo de residente.
";Casos em que haja um acordo ou convenção internacional de readmissão#;;A readmissão ativa deve ser considerada em 500.30.006 – Afastamento coercivo do território nacional#;"Lei 29/2012#
Lei 23/2007#
DL 252/2000#";"Lei 29/2012#
Lei 23/2007, art 163 a 163#
DL 252/2000#";PE;N;SEF#;;;"150.20.300#
500.30.001#
500.30.005#
500.30.006#
500.30.007#
550.10.301#
550.10.008#";"Avaliação de atividades#
Processamento de contraordenações#
Abandono voluntário do território nacional#
Afastamento coercivo do território nacional#
Condução à fronteira#
Emissão de vistos#
Controlo de pessoas nas fronteiras#";"Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#";Média;N;3;;"#Critério legal:
[Lei 23/2007], Regime jurídico de entrada, permanência, saída e afastamento de estrangeiros do território nacional, artº 167 – Interdição de entrada ""Ao cidadão estrangeiro reenviado para outro Estado ao abrigo de convenção internacional é vedada a entrada no País pelo período de três anos"".
#Critério de utilidade administrativa:
Prazo em que não deve ser emitido visto (PN 550.10.301 - Emissão de vistos) ou autorização de entrada após controlo de fronteira (PN 550.10.008 - Controlo de pessoas nas fronteiras) (nos casos de readmissão ativa).

";Data de conclusão do procedimento;Após conclusão do procedimento (readmissão ativa);E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.300 - Avaliação de atividades;
Recuperável no
PN 400.10.042 - Identificação de estrangeiros.
Os dados relativos à readmissão, designadamente em caso de readmissão passiva, ficam registados no processo do cidadão.";;;;;;;;;;;;

;550.10.307;Implementação de medidas de segurança de medicamentos e produtos de saúde;"Operações de segurança e aplicação de medidas de minimização do risco de medicamentos e produtos de saúde, tendo como objetivo a salvaguarda da saúde pública.
Inicia com a submissão da medida pelos titulares ou com a elaboração de proposta de medida pela autoridade do medicamento e termina com o registo da revogação da autorização de introdução no mercado.
Inclui parecer de avaliação de publicidade, indicação de medida a aplicar, validação e avaliação da medida, verificação da implementação.
";"Elaboração do Boletim de Farmacovigilância, destinado aos profissionais de saúde, com informação sobre efeitos adversos de medicamentos autorizados, quer a nível nacional quer europeu#
Validação de comunicações dirigidas aos profissionais de saúde (DHPC – Direct Healthcare Professional Communication)#
Acompanhamento da implementação das Medidas Urgentes de Segurança (MUS)#
Avaliação de materiais educacionais#
";;"A revogação de AM por medidas de segurança deve ser considerada em 450.10.640 – Autorização de introdução de produtos e substâncias no mercado#
As alterações para implementação das recomendações do PRAC decorrentes de avaliação de sinais de segurança(C.I.z) do tipo IAIN) devem ser consideradas em  450.10.640 – Autorização de introdução de produtos e substâncias no mercado#";Regulamento de Execução (UE) 520/2012#;Regulamento de Execução (UE) 520/2012, art 12, nº 2#;PE;N;INFARMED#;;;"150.20.300#
300.30.008#
450.10.640#
500.10.001#
800.10.304#
800.10.306#
800.10.606#";"Avaliação de atividades#
Registo de documentos e informação#
Autorização de introdução de produtos e substâncias no mercado#
Realização de auditorias#
Monitorização de segurança de medicamentos após autorização de introdução no mercado (AIM)#
Monitorização da segurança de produtos de saúde#
Avaliação da rutura de stocks de medicamentos e identificação de alternativas terapêuticas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Cruzada#
Cruzada#
Síntese (sintetiza)#";Elevada;N;10;;"#Critério legal:
[Regulamento de execução (UE) 520/2012], artº 12, nº 2 ""Os titulares de autorização de introdução no mercado devem tomar as medidas necessárias para que os elementos referidos no artigo 2.o sejam conservados durante pelo menos cinco anos depois de o titular da autorização de introdução no mercado ter posto formalmente termo ao sistema tal como descrito no dossiê principal do sistema de farmacovigilância. Os dados e documentos de farmacovigilância relativos a cada medicamento autorizado devem ser conservados enquanto o medicamento for autorizado e durante pelo menos 10 anos depois de a autorização de introdução no mercado ter deixado de existir.""";"Conforme disposição legal
5 - Data em que a autorização de introdução no mercado deixe de existir, nos termos do n.º 2, do art. 12.º, [Regulamento de execução (UE) 520/2012]";Fim da validade da autorização de introdução no mercado;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas).
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;;;;;;;;;;;

