Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;
;500.20.001;Realização de averiguações;"Apuramento dos factos que determinaram a avaliação de desempenho negativo do trabalhador e da eventual violação culposa de deveres funcionais no caso de infração disciplinar.
Inicia com a participação do dirigente e termina com o relatório e decisão de arquivamento ou com a decisão de instauração de procedimento disciplinar.
Inclui nomeação do averiguante, audição do trabalhador, dos avaliadores, quando devido, e de eventuais testemunhas e elaboração de relatório.";"Averiguações realizadas na sequência de avaliações negativas de desempenho#
";;;Lei 35/2014#;;PC;S;AP#;AP#;Comunicar#;"150.20.300#
250.20.800#
300.30.008#
500.10.001#
500.20.300#
600.10.500#";"Avaliação de atividades#
Avaliação individual do desempenho#
Registo de documentos e informação#
Realização de auditorias#
Procedimento disciplinar#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Suplementar#
Sucessão (sucessor)#
Sucessão (antecessor)#";Média;S;1;;"#Critério legal:
[Lei 35/2014], artº 232
""5 - O procedimento de averiguações prescreve decorridos três meses, contados da data em que foi instaurado quando, nesse prazo, não tenha tido lugar a receção do relatório final pela entidade competente.
6 - Quando, no processo de averiguações, sejam detetados indícios de violação de outros deveres funcionais por parte de quaisquer intervenientes nos processos de avaliação do desempenho, o instrutor participa-os ao dirigente máximo do órgão ou serviço, para efeitos de eventual instauração do correspondente procedimento de inquérito ou disciplinar.""

Se houver matéria de facto dá origem a procedimento disciplinar.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;Grupo da classe 500;;;;;;;;;;

;500.20.002;Realização de inquérito;"Apuramento de factos determinados para verificação de existência de matéria disciplinar sobre serviços,  órgãos ou agentes.
Inicia com a denúncia ou por decisão do dirigente e termina com a elaboração do relatório final e decisão.
Inclui anúncio público de abertura de inquérito, notificação de queixoso e recolha de prova e declarações.";Processos instaurados aos auditores de justiça#;;;Lei 35/2014#;;PC;S;AP#;AP#;Comunicar#;"150.20.300#
300.30.008#
500.10.001#
500.20.300#
550.10.001#
550.10.002#
550.10.004#
550.10.005#
550.10.006#
550.10.007#
550.10.011#
550.10.300#
550.10.600#
550.20.001#
550.20.002#
550.20.004#
550.20.005#
550.20.500#
600.10.500#
";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Procedimento disciplinar#
Segurança de espaços públicos e abertos ao público#
Ação de segurança a eventos de alto risco#
Apoio de forças de segurança a diligências#
Segurança de infraestruturas estratégicas#
Segurança a órgãos de soberania e altas entidades#
Prestação de escolta e guarda de honra#
Cibersegurança#
Sinalização informativa e reguladora#
Reposição da ordem e gestão de incidentes de segurança#
Emissão de avisos e declaração de alertas#
Ação de vigilância#
Realização de piquetes ocasionais de prevenção#
Identificação de recursos e meios mobilizáveis para atuação no âmbito da proteção e socorro#
Ação de proteção e socorro#
Processamento de inquérito-crime#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
Síntese (sintetiza)#
Suplementar#
Sucessão (antecessor)#
";Média;S;1;;"#Critério legal:
[Lei 35/2014], artº 231
Relatório e trâmites ulteriores
""1 - Concluída a instrução, o inquiridor ou sindicante elabora, no prazo de 10 dias, o seu relatório, que remete imediatamente à entidade que mandou instaurar o procedimento.""

Se houver matéria de facto dá origem a procedimento disciplinar.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;Grupo da classe 500;;;;;;;;;;

;500.20.003;Realização de sindicância;"Averiguração geral acerca do funcionamento do órgão, serviço ou unidade orgânica.
Inicia com a decisão do membro do governo ou do dirigente méximo do serviço e inclui o anúncio público da sindicância e termina com a elaboração de relatório e decisão final.
Inclui recolha de prova e declarações e análise de queixas.";;;;Lei 35/2014#;;PC;S;AP#;AP#;Comunicar#;"150.20.300#
300.30.008#
500.10.001#
500.20.300#
550.10.001#
550.10.002#
550.10.004#
550.10.005#
550.10.006#
550.10.007#
550.10.011#
550.10.300#
550.10.600#
550.20.001#
550.20.002#
550.20.004#
550.20.005#
550.20.500#
600.10.501#
";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Procedimento disciplinar#
Segurança de espaços públicos e abertos ao público#
Ação de segurança a eventos de alto risco#
Apoio de forças de segurança a diligências#
Segurança de infraestruturas estratégicas#
Segurança a órgãos de soberania e altas entidades#
Prestação de escolta e guarda de honra#
Cibersegurança#
Sinalização informativa e reguladora#
Reposição da ordem e gestão de incidentes de segurança#
Emissão de avisos e declaração de alertas#
Ação de vigilância#
Realização de piquetes de prevenção#
Identificação de recursos e meios mobilizáveis para atuação no âmbito da proteção e socorro#
Ação de proteção e socorro#
Processamento de inquérito tutelar educativo#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
";Média;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27;
[Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40).

Nota: As occorrências que revelem inconformidades ou ilicitos são objeto de sanção administrativa ou de encaminhamento para investigação criminal, sendo suspensa a contagem do Prazo de conservação administrativa.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;Grupo da classe 500;;;;;;;;;;

Harmonização;500.20.004;"Realização de investigação técnica a acidentes e incidentes
";"Averiguração técnica/especializada às condições de anomalia, avaria, erro ou contingência em estruturas ou meios de transporte, equipamentos ou serviços, para identificar as causas ou fatores que concorreram para o acidente ou incidente.
Inicia com a comunicação e termina com o relatório final.
Inclui a conferência de entidades, a designação de especialista, a recolha de elementos e a análise das peritagens para a produção do relatório final.
";"Processos inspetivos de cariz de averiguação, inquérito e/ou sindicância que não possuam carácter disciplinar#
Investigação técnica de acidente ferroviário#
Investigação técnica de acidente aeronáutico#
Investigação técnica de acidente em obra hidráulica#
Investigação técnica de acidente em edifícios#";;"Processamento de indemnizações por prejuízos causados no património público ou de particulares deve ser considerado em 350.10.508 - Processamento de indemnizações e injunções.
As peritagens devem ser consideradas em 800.10.603 - Realização de perícias. ";DL 344/2007#;;PE;S;"APA#
ANAC#
GAMA#
GPIAAF#
";"ANPC#
CP#
IP, SA#";"Assessorar#
Assessorar#
Assessorar#";"550.20.001
800.10.603";"Emissão de avisos e declaração de alertas#
Realização de perícias#";"Sucessão (antecessor)#
Cruzada#";Reduzida;N;10;;"#Critério legal:
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";;;;;;;;;;;;;;;;

Harmonização;500.20.004.01;Realização de investigação técnica a acidentes e incidentes: Execução do processo;"Desenvolvimento de todas as fases do processo com exceção da elaboração do relatório final.
Inclui o planeamento dos processos, a comunicação ao inspecionado, a recolha de elementos, a notificação das conclusões e  recomendações provisórias e as alegações produzidas no âmbito do procedimento do contraditório.";;;;;;;;;;;;;;;;10;;"#Critério legal:
[Lei 98/97, artº 70]
Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
Aplica-se complementarmente para os processos tributários - Critério legal - [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Sintetizado no
PN 500.10.300.02 - Realização de inspeção: elaboração do relatório final.";Garantir que as fases de execução das difrenetes tipologias de processos inspetivos ficam contempladas, preservando, em termos de destino final, os relatórios produzidos no âmbito desses processos.;;;;;;;;;;;

Harmonização;500.20.004.02;Realização de investigação técnica a acidentes e incidentes: Elaboração do relatório final;Avaliação dos resultados dos processos e elaboração do relatório final.;;;;;;;;;;;;;;;;10;;"#Critério legal:
[Lei 98/97, artº 70]
Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
Aplica-se complementarmente para os processos tributários - Critério legal - [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Informação detalhada não recuperável noutros PN;
Sintetiza a informação em
PN 300.10.001 - Contratação de empreitadas de obras públicas;
PN 300.40.003 - Edificação de iniciativa pública.";Garantir que as fases de execução das difernetes tipologias de processos inspetivos ficam contempladas, preservando, em termos de destino final, os relatórios produzidos no âmbito desses processos.;;;;;;;;;;;

;500.20.300;Procedimento disciplinar;"Averiguação de atos praticados por trabalhadores, alunos ou formandos e outros pessoas passíveis de serem considerados infrações disciplinares.
Inicia com a participação ou queixa e termina com o relatório final e tomada de decisão.
Inclui designação de instrutor, notificação do arguido, audição de testemunhas, eventual consulta do órgão representativo do infrator e apresentação de proposta de arquivamento ou sancionatória.
";"Infração disciplinar praticada por trabalhador#
Infração disciplinar praticada pelo auditor de justiça#
Revisão do procedimento disciplinar#";;"A aplicação de eventual sanção deve ser considerada em 500.30.004 – Aplicação de sanções disciplinares#
As medidas disciplinares relativos a:
Reclusos devem ser consideradas em 600.40.002 – Execução de pena e medida privativa da liberdade em meio prisional#
Internado em Centro Educativo devem ser consideradas em 600.40.100 – Execução de medida de internamento em centro educativo#
";"Lei 4/2015#
Lei 35/2014#
Lei 2/2008#
DL 197/2012#";DL 197/2012 de 24/08 altera a Lei 15/2009;PC;S;AP#;AP#;Comunicar#;"150.20.403#
150.10.700#
250.20.001#
500.10.001#
500.20.001#
500.20.002#
500.20.003#
500.20.600#
500.30.004#
550.10.001#
550.10.002#
550.10.004#
550.10.005#
550.10.006#
550.10.011#
550.10.300#
550.10.600#
550.20.002#
550.20.005#
550.20.500#
600.10.500#
";"Caracterização de recursos humanos#
Reunião de órgãos deliberativos#
Registo biográfico de trabalhadores#
Realização de auditorias#
Realização de averiguações#
Realização de inquérito#
Realização de sindicância#
Reabilitação de infratores#
Aplicação de sanções disciplinares#
Segurança de espaços públicos e abertos ao público#
Ação de segurança a eventos de alto risco#
Apoio de forças de segurança a diligências#
Segurança de infraestruturas estratégicas#
Segurança a órgãos de soberania e altas entidades#
Cibersegurança#
Sinalização informativa e reguladora#
Reposição da ordem e gestão de incidentes de segurança#
Ação de vigilância#
Identificação de recursos e meios mobilizáveis para atuação no âmbito da proteção e socorro#
Ação de proteção e socorro#
Processamento de inquérito-crime#
";"Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
Sucessão (sucessor)#
";Média;S;55;;"#Critério legal:
[Lei 35/2014], Lei Geral do Trabalho em Funções Públicas, artº 235 - Requisitos da revisão
1 - A revisão do procedimento disciplinar é admitida, a todo o tempo, quando se verifiquem circunstâncias ou meios de prova suscetíveis de demonstrar a inexistência dos factos que determinaram a condenação, desde que não pudessem ter sido utilizados pelo trabalhador no procedimento disciplinar.
Conjugado com o critério de utilidade administrativa em que se estabeleceu 55 anos como prazo máximo de vida ativa do trabalhador.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação síntese recuperável em
PN 150.20.403 - Caracterização de recursos humanos;
PN 250.20.001 - Registo biográfico de trabalhadores;
PN 650.20.604 - Processamento de dados cadastrais de utentes em respostas sociais de acolhimento;
PN 750.10.300 - Processamento dos dados cadastrais de alunos ou formandos.";;Grupo da classe 500;;;;;;;;;;

;500.20.600;Reabilitação de infratores;"Concessão de reabilitação, por boa conduta, a trabalhadores punidos com quaisquer sanções disciplinares. 
Inicia com o pedido do interessado, ou do seu representante, e termina com a decisão.
Inclui apresentação de meios de prova.
";Trabalhadores condenados em quaisquer sanções disciplinares#;;;Lei 35/2014#;;PC;S;AP#;AP#;Comunicar#;"150.20.403#
250.20.001#
500.20.300#";"Caracterização de recursos humanos#
Registo biográfico de trabalhadores#
Procedimento disciplinar#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#";Média;S;1;;"#Critério legal:
[Lei 35/2014], artº 240 - ""4 - A reabilitação faz cessar as incapacidades e demais efeitos da condenação ainda subsistentes, sendo registada no processo individual do trabalhador.""
#Critério de utilidade administrativa:
- Prazo para registo no PN 250.20.001 - Registo biográfico de trabalhadores.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação síntese recuperável em
PN 150.20.403 - Caracterização de recursos humanos;
PN 250.20.001 - Registo biográfico de trabalhadores.";;;;;;;;;;;;

;500.30;Ação sancionatória e cautelar;Compreende as atividades de processamento de medidas cautelares e de sanções previstas na lei, decididas por autoridades administrativas no quadro de ações disciplinares ou de inspeção, auditoria ou similares.;Instrução de processos de embargo administrativo e de contraordenações (decididas por autoridades administrativas) ou de outras sanções administrativas, como seja a decisão de retenção de fundos por incumprimento ou falta de informação#;;"O processamento de penas e de medidas cautelares decididas por autoridades judiciais deve ser considerado em ""Administração da justiça/ Execução de penas, medidas e títulos executivos"" (600.40).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;500.30.001;Processamento de contraordenações;"Procedimento sancionatório na sequência da prática de ato ilícito e censurável que implique pagamento de coima.
Inicia com o auto de notícia ou denúncia de particular e termina com a notificação da decisão administrativa final.
Inclui notificação, designação do instrutor, apresentação de defesa por parte do arguido com arrolamento de testemunhas, audição de testemunhas, análise de produção de prova, redação de ata, proposta de decisão final e comprovativo de pagamento.";"Contraordenações no âmbito do regime geral e dos regimes especiais#
Sanção acessória de cessação de licenças ou autorizações#
Sanção acessória de inibição de conduzir#
Sanção acessória de perda de benefícios fiscais#
Sanção acessória de remoção de veículos da via pública#
Procedimento de redução de coimas#";;"O pagamento da coima deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A guarda dos veículos removidos deve ser considerada em 300.10.700 – Depósito de bens não culturais#
A fase judicial de impugnação ou de recurso, através da qual o infrator condenado pode suscitar a reapreciação dos factos perante o tribunal, ou de solicitação de intervenção do Tribunal pela entidade autuante devem ser consideradas em Administração da Justiça (600)#";"Declaração de Retificação 70/2010#
Lei 72/2013#
Lei 50/2006#
Lei 109/2001#
Lei 15/2001#
DL 244/95#
DL 64/89#
Lei 11/87#
DL 433/82#";Lei 11/87, art 47#;PC;S;ECS#;AP#;Comunicar;"150.20.300#
150.40.500#
300.10.700#
300.50.005#
350.30.001#
400.10.001#
400.10.009#
400.10.034#
400.10.200#
400.10.406#
400.10.409#
400.30.001#
500.10.001#
500.10.300#
500.10.301#
550.10.001#
550.10.002#
550.10.004#
550.10.005#
550.10.006#
550.10.008#
550.10.306#
550.10.600#
500.40.001#
500.40.500#
600.30.800#
600.40.500#
800.10.301#";"Avaliação de atividades#
Realização de operações estatísticas oficiais#
Depósito de bens não culturais#
Afetação e utilização provisória de bens apreendidos#
Cobrança de receitas e pagamento de despesas#
Registo civil#
Registo Nacional de Pessoas Coletivas#
Registo de infrações do condutor#
Registo comercial#
Registo predial#
Registo de veículos a motor e respetivos reboques#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Segurança de espaços públicos e abertos ao público#
Ação de segurança a eventos de alto risco#
Apoio de forças de segurança a diligências#
Segurança de infraestruturas estratégicas#
Segurança a órgãos de soberania e altas entidades#
Controlo de pessoas nas fronteiras#
Readmissão de estrangeiros em situação ilegal#
Reposição da ordem e gestão de incidentes de segurança#
Processamento de reclamações de atos administrativos#
Processamento de recursos hierárquicos#
Ação em matéria penal#
Ação executiva#
Monitorização de índices da qualidade ambiental#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27;
[Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40).

Nota: As ocorrências que revelem inconformidades ou ilícitos são objeto de sanção administrativa ou de encaminhamento para investigação criminal, sendo suspensa a contagem do prazo de conservação administrativa.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação síntese recuperável complementarmente em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão.";;;;;;;;;;;;

;500.30.002;Aplicação de sanções administrativas inominadas;"Imposição de medidas punitivas a particulares pela violação de determinados deveres administrativos que não se consubstanciam na aplicação de coimas.
Inicia com o auto de notícia e termina com a notificação da sanção ao interessado.
Inclui análise da situação e definição da sanção a aplicar.";"Encerramento de estabelecimentos#
Inabilitações profissionais e a multas#";;O pagamento da multa deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;;Vários regimes jurídicos;PC;S;ECS#;AP#;Comunicar#;"150.20.300#
150.40.500#
300.10.001#
300.10.002#
300.10.003#
300.10.004#
300.10.005#
300.20.001#
300.20.200#
300.20.400#
350.10.600#
500.10.001#
500.10.300#
500.10.301#
500.30.500#
500.40.001#
500.40.500#
600.30.800#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Contratação de empreitadas de obras públicas#
Contratação de fornecimento de serviços públicos essenciais#
Transação e transmissão de bens imóveis#
Transação e transmissão de bens móveis culturais#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Constituição e acompanhamento de parcerias público-privadas#
Concessão de obras públicas#
Concessão de serviços e do uso ou exploração de bens do domínio público#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Aplicação de medidas administrativas cautelares#
Processamento de reclamações de atos administrativos#
Processamento de recursos hierárquicos#
Ação em matéria penal#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor#";Média;N;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27;
[Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40).

Nota: As ocorrências que revelem inconformidades ou ilícitos são objeto de sanção administrativa ou de encaminhamento para investigação criminal, sendo suspensa a contagem do prazo de conservação administrativa.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação síntese recuperável complementarmente em
PN 150.20.300 Avaliação de atividades;
PN 150.40.500 Recolha e tratamento de dados estatísticos de apoio à gestão.";;;;;;;;;;;;

;500.30.003;Aplicação de sanções contratuais;"Imposição de sanções administrativas por incumprimento de obrigações contratuais no âmbito de contratos administrativos, designadamente empreitadas de obras públicas, aquisição de bens e serviços, concessões e outros contratos.
Inicia com a verificação da ocorrência e termina com o cumprimento da sanção.
Inclui verificação da existência de caução,  notificação ao concessionário ou adjudicatário.";;;;DL 18/2008#;Código dos Contratos públicos aprovado  pelo DL 18/2008;PC;N;AP#;;;"150.20.300#
300.10.001#
300.10.002#
300.10.003#
300.10.004#
300.10.005#
300.20.001#
300.20.200#
300.20.400#
350.10.600#
500.10.001#
500.10.300#
500.40.001#
500.40.500#
600.30.800#";"Avaliação de atividades#
Contratação de empreitadas de obras públicas#
Contratação de fornecimento de serviços públicos essenciais#
Transação e transmissão de bens imóveis#
Transação e transmissão de bens móveis culturais#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Constituição e acompanhamento de parcerias público-privadas#
Concessão de obras públicas#
Concessão de serviços e do uso ou exploração de bens do domínio público#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de fiscalização#
Processamento de reclamações de atos administrativos#
Processamento de recursos hierárquicos#
Ação em matéria penal#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Suplementar#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor#";Média;N;5;;"#Critério legal:
[Lei 109/2001], artº único, que altera o [DL 433/82].
Considerou-se o prazo maior para a prescrição da contraordenação.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação síntese recuperável no
PN 150.20.300 - Avaliação de atividades.";;;;;;;;;;;;

;500.30.004;Aplicação de sanções disciplinares;"Processamento de penas na sequência de procedimento disciplinar comum.
Inicia com a decisão da pena a aplicar pelo órgão competente e termina com o cumprimento da sanção.
Inclui notificação da pena ao arguido, ao instrutor e às entidades envolvidas, quando devido.";"Expulsão de alunos por excesso de faltas#
Sanções a auditores de justiça do CEJ de acordo com o respetivo regime disciplinar#";;A demissão ou despedimento por facto imputável ao trabalhador ou a cessação da comissão de serviço devem ser consideradas em 250.10.800 – Cessação da relação jurídica de emprego ou de funções#;Lei 35/2015#;Lei 35/2015;PC;N;AP#;;;"150.20.403#
250.10.800#
250.20.001#
500.10.001#
500.20.300#
500.40.001#
500.40.500#
600.30.800#
900.20.201#";"Caracterização de recursos humanos#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Realização de auditorias#
Procedimento disciplinar#
Processamento de reclamações de atos administrativos#
Processamento de recursos hierárquicos#
Ação em matéria penal#
Edição e publicação de conteúdos#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Suplementar#
Síntese  (Sintetiza)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#";Média;S;55;;"#Critério legal:
[Lei 35/2014], Lei Geral do Trabalho em Funções Públicas, artº 235 - Requisitos da revisão
1 - A revisão do procedimento disciplinar é admitida, a todo o tempo, quando se verifiquem circunstâncias ou meios de prova suscetíveis de demonstrar a inexistência dos factos que determinaram a condenação, desde que não pudessem ter sido utilizados pelo trabalhador no procedimento disciplinar.
Conjugado com o critério de utilidade administrativa em que se estabeleceu 55 anos como prazo máximo de vida ativa do trabalhador.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação síntese recuperável em
PN 150.20.403 - Caracterização de recursos humanos;
PN 250.20.001 - Registo biográfico de trabalhadores.";;;;;;;;;;;;

;500.30.005;Abandono voluntário do território nacional;"Aplicação de medida conducente ao abandono voluntário de Portugal por parte de cidadãos estrangeiros que tenham entrado e permanecido ilegalmente no país, e em relação aos quais não se tenha determinado detenção, ou cujas autorizações de residência tenham sido canceladas, e que sejam notificados para abandonar o território nacional no prazo fixado.
Inicia com a notificação do visado e termina com a saída de território nacional do visado, ou com a abertura de processo de afastamento coercivo, nos casos em que o cidadão não abandone o território voluntariamente.
Inclui apreciação da situação do visado e emissão de uma notificação para abandono voluntário.
";Cidadãos estrangeiros que se encontrem em território nacional em situação irregular e aos cidadãos a quem seja cancelada a respetiva autorização de residência#;;"A expulsão administrativa de cidadãos estrangeiros deve ser considerada em 500.30.006 – Afastamento coercivo do território nacional#
A expulsão judicial em 600.40.300 – Expulsão judicial#";"Lei 23/2007#
Lei 29/2012#";Lei 23/2007, (alterada por Lei 29/2012)#;PE;N;SEF#;;;"150.20.300#
500.30.007#
300.30.008#
500.30.006#
550.10.008#
550.10.301#
550.10.303#
550.10.305#
550.10.306#";"Avaliação de atividades#
Condução à fronteira#
Registo de documentos e informação#
Afastamento coercivo do território nacional#
Controlo de pessoas nas fronteiras#
Emissão de vistos#
Autorização de residência#
Processamento de pedidos de asilo#
Readmissão de estrangeiros em situação ilegal#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;5;;"#Critério legal:
[Lei 23/2007], artº 144, Prazo de interdição de entrada ""Ao cidadão estrangeiro sujeito a decisão de afastamento é vedada a entrada em território nacional por período até cinco anos (...)"".
#Critério de utilidade administrativa:
Necessidade para controlo de fronteira e controlo de medidas de interdição de entrada (a sua violação é criminalizada, prescrevendo a prática deste crime ao fim de cinco anos) PN 550.10.008 - Controlo de fronteiras;
Necessidade para apreciação de pedidos de visto PN 550.10.301 - Emissão de vistos;
Necessidade para processamento de autorização de residência PN 550.10.303 - Autorização de residência.";Data de conclusão do procedimento;Após saída do visado do território nacional ou com a abertura de processo de afastamento coercivo.;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

